UniqueCount	AmbigCount
824	0
2	622
5	493
12	498
5	447
12	490
1	160
19	73
0	73
246	2737
9	2737
1159	1029
0	1029
1	372
0	360
0	300
11	345
0	274
0	268
5	364
0	293
62	237
2	237
13	1659
0	1375
97	1348
13383	15
4	3320
1010	5265
27	3184
1	3334
0	181
22	181
2679	1
15	0
3	2480
0	2167
0	2259
0	0
0	0
1	0
318	1033
17	1033
1161	1188
39	1188
1468	0
6	21
4	21
33	0
5	342
0	261
16	217
0	1124
0	1071
0	1102
4	1098
2	1067
0	1087
4	1077
2	1056
81	0
1530	0
152	1369
4	1396
38	1461
3	1378
0	1455
34	0
84	835
6	804
22	835
0	0
53	375
81	375
2231	0
0	0
0	0
1	13296
1	13265
1	13752
0	0
6	589
73	589
1245	3
0	2
0	2
0	2
654	0
0	67
9	66
2	38
2	64
6	7
1	7
1	5
0	41
0	41
0	0
0	0
0	357
30	357
6090	6
1387	1
0	0
54	139
2	139
0	0
1738	1
24	74
0	74
675	5097
30	5158
114	4585
2	4586
1202	1
2729	1
0	7
0	4
0	7
0	4
0	5
0	0
25	4526
792	4526
1092	6694
107	6694
0	10
0	14
0	10
0	14
0	90
41	90
0	3268
19	3268
0	0
324	1
4335	7
8210	17750
0	17746
2688	2
84	192
2	192
115	1594
5	1466
7	1472
2	1597
0	105
31	105
4	51
1	51
0	36
4	0
1	128
9	120
1	124
14	0
0	16
0	13
0	14
0	14
0	12
1735	0
18	81
0	81
3638	3
411	0
1548	0
0	195
5	232
2	226
0	187
7	173
352	247
7	247
5	226
28	230
0	234
0	220
2990	20
1103	20
126	2957
1	2957
688	2962
0	2962
16	0
4057	7
3	584
63	617
0	617
14	0
150	306
0	296
0	266
0	276
0	173
2	73
0	69
0	73
0	66
159	0
10	2561
1	3038
0	2645
19	2602
0	1925
1	527
0	737
18	652
0	678
3	630
1227	1
380	0
0	1159
0	1010
0	1054
0	1043
7821	4
1020	0
0	0
1472	1
601	1
0	459
0	328
6	421
4	438
3	427
0	373
8	787
3	724
4	640
19	0
3	0
608	9
858	8
25	136
10	136
1	0
39	0
8	7915
22	8238
15	8092
161	852
51	811
71	793
284	2212
1	2148
58	2475
1537	0
600	5499
92	5547
5	5216
1904	0
3908	5
0	1006
0	599
41	1110
0	1080
5978	5
246	308
55	305
2047	1
72	0
0	2
0	2
0	895
0	949
0	752
2	870
13	793
0	0
667	0
153	0
8	0
37	1240
37	1240
93	816
0	816
766	3640
125	3640
436	0
1157	2
8423	4
5	29
0	29
0	0
1435	1
479	0
81	362
0	362
28	0
0	1618
0	1618
0	1608
339	0
117	1
28	0
50	357
4	357
13	0
91	640
24	642
0	640
186	0
4	10
0	10
4	0
0	0
0	0
17	0
21	23
0	23
1476	2
0	0
3365	21049
229	21049
0	0
35	1593
2	1593
0	1591
0	14
0	14
0	0
0	0
8727	4
145	0
22	0
16	45
0	45
0	0
16	1453
43	1325
21	547
280	0
3	6
0	6
8252	5
10	147
1	147
4926	1
0	65
0	101
0	105
0	66
0	100
0	104
0	80
577	0
54	415
1	415
7	0
22	0
3	0
126	282
6	282
928	1
379	0
356	318
0	318
47	0
18548	16
0	0
9	0
520	0
3	0
1672	0
145	0
0	0
644	5634
32	6781
280	5457
0	7155
164	6322
246	5418
110	5729
228	5586
30	5477
0	6377
379	1666
0	1666
4	1176
561	0
2	599
0	609
10	673
4	623
24	610
6	590
934	6865
2	6865
2660	1
232	1795
25	1795
3762	3
586	2674
0	2674
0	10
1	12
0	12
0	12
0	190
0	138
0	168
0	99
1	190
9	1141
9	1223
5	1169
18	1211
7	1245
4	1189
0	0
47	0
0	8
0	8
2	1186
0	1286
0	1297
0	1347
0	1305
0	1298
1665	0
9	101
2	101
0	101
3	0
120	836
29	836
24	1636
12	1389
17	1437
1	0
1	6
0	6
0	6022
2	6208
0	6114
0	5997
6	15
6	16
1	16
93	8729
37	8697
37	8721
48	39213
5287	39217
117	0
0	0
14	0
351	0
3	8
0	8
11746	13
4583	10
804	1
0	2089
1	1922
6	1879
0	1870
10	0
50	0
0	87
0	87
0	84
4	80
0	79
0	73
48	533
0	533
180	10
242	1279
97	1279
19694	14
2030	0
4	0
0	948
4	760
3	638
6	742
573	0
92	0
89	2121
13	2124
2	2124
93	2526
2	2626
25	2561
5	2542
4	2230
7	2107
267	0
25	684
31	684
7	0
0	0
923	1
62	0
2421	2
379	0
54	1251
7	1251
164	2667
72	2667
5777	0
0	0
0	0
185	971
20	971
337	202
0	201
97	500
21	500
398	0
1	3
0	3
