UniqueCount	AmbigCount
794	0
5	648
3	382
8	550
17	543
79	607
1	183
30	163
7	163
233	2891
8	2891
1374	1361
0	1361
1	440
0	423
0	395
13	400
0	338
0	338
21	427
0	378
124	265
1	265
25	2080
1	1610
61	1696
17554	4
19	7113
2501	11035
64	5852
5	7132
2	224
31	224
4634	0
14	0
13	3933
1	3333
0	3586
0	0
0	0
0	0
725	1583
5	1583
2490	2183
99	2183
1986	0
2	58
13	58
64	0
10	330
0	256
27	233
0	1945
2	1827
0	1878
4	1863
0	1814
0	1888
5	1870
3	1815
97	2
1853	3
366	2169
9	2185
27	2257
0	2166
0	2246
47	0
312	1871
25	1799
32	1871
0	0
40	311
80	311
3630	0
0	0
1	0
0	18844
6	18902
0	19731
0	0
1	435
60	435
1322	0
0	2
10	4
4	4
797	1
0	52
11	52
2	37
2	51
23	14
3	14
3	13
0	43
0	43
2	0
0	0
0	858
58	858
13628	7
2036	1
0	0
56	138
0	138
1	0
3116	0
33	163
0	163
493	5717
158	5739
86	4996
4	4994
1722	1
3277	0
0	24
1	20
0	21
0	19
0	16
0	0
54	7453
1499	7454
1334	7927
134	7926
0	13
0	19
0	17
0	15
0	117
32	117
0	1415
2	1415
0	0
371	0
5362	1
18937	28047
4	28044
3494	0
113	248
7	248
247	1929
8	1732
11	1737
1	1932
1	131
66	131
22	170
1	170
0	120
10	0
0	168
7	167
5	152
18	0
0	7
0	7
0	5
0	5
0	6
1256	2
32	86
0	86
6213	1
461	0
1945	2
0	294
4	352
29	354
0	294
38	252
319	250
4	250
15	326
9	308
0	345
0	326
7137	22
2363	21
147	2385
1	2385
1289	4071
0	4071
10	0
5083	3
2	820
63	865
11	865
15	0
181	481
0	380
0	353
0	457
3	287
0	91
0	81
0	83
0	72
279	0
2	2810
2	3283
0	2723
22	2836
0	2024
8	991
0	1460
22	1230
11	1288
12	1207
1734	0
504	0
0	1267
1	1074
0	1103
0	1132
10494	6
1251	1
0	0
2560	0
1028	0
0	460
0	331
12	412
1	431
1	425
0	377
24	1521
5	1359
8	1281
27	0
5	0
1055	2
1383	2
80	287
17	287
1	0
71	0
31	9720
14	10116
66	9848
259	1156
72	1126
73	1109
305	3442
19	3431
219	3965
2099	1
809	6193
115	6227
59	5999
2775	3
7115	6
2	1623
1	825
194	1739
0	1650
10267	4
311	216
94	215
3141	0
92	1
0	8
0	8
1	2633
0	2892
2	2324
50	2649
39	2289
0	0
573	0
93	0
6	0
63	600
9	600
174	911
1	911
1206	5728
213	5727
585	1
3078	8
11949	8
7	40
1	40
0	0
1822	0
480	0
336	1392
4	1392
37	0
0	1165
0	1168
0	1168
524	1
374	0
40	0
71	402
1	402
10	0
87	737
24	737
0	736
221	0
0	6
0	6
1	0
0	0
4	0
28	0
20	34
0	34
1906	0
1	0
6177	29664
188	29661
0	0
21	946
0	946
0	944
0	13
1	13
0	0
0	0
10949	7
121	0
45	0
50	84
0	84
0	0
29	1586
115	1378
4	519
297	0
0	3
0	3
21700	15
51	368
2	368
8425	3
1	168
0	237
0	252
0	146
0	239
0	254
0	194
911	0
89	504
0	504
24	0
16	0
1	0
90	318
4	318
676	0
540	0
420	302
0	302
380	0
30190	20
0	0
19	0
471	0
6	0
2380	1
237	0
0	0
1482	9042
129	10825
747	9278
2	11376
224	9787
964	6964
63	7165
185	6251
53	6233
3	7627
783	2593
4	2593
16	1937
784	0
2	463
0	554
22	600
27	503
12	447
19	474
1244	8612
1	8612
2161	0
432	1995
13	1995
2972	3
490	2389
0	2389
0	7
1	10
0	10
0	10
0	168
5	111
0	146
0	75
0	168
55	1254
62	1284
15	1213
15	1203
14	1229
8	1258
0	0
68	0
0	12
0	12
1	1533
0	1703
0	1688
0	1782
20	1689
14	1690
3301	0
5	191
2	191
0	191
7	0
165	815
37	815
53	2307
22	1879
58	1961
1	0
6	27
3	27
0	6153
1	6362
0	6255
3	6114
8	56
0	56
3	56
203	11299
114	11281
47	11293
25	51264
7428	51265
132	0
0	0
28	0
426	0
6	4
0	4
36954	3
7200	4
1028	1
1	1926
5	1737
7	1701
0	1719
9	0
95	0
3	118
1	84
2	78
1	97
1	106
1	91
42	525
0	525
250	3
418	1182
99	1182
25036	11
2862	2
3	3
2	959
16	753
5	621
3	712
756	0
86	0
137	2479
10	2481
2	2483
243	3557
6	3690
96	3600
7	3575
12	3065
29	2921
535	0
0	1121
73	1121
5	0
0	0
1065	0
115	1
3058	2
759	0
123	1565
11	1565
147	2101
37	2101
7831	2
0	0
0	0
351	1871
57	1871
820	772
0	772
253	683
33	683
648	2
14	85
0	85
234	2568
180	2420
10	2122
115	3064
174	3047
82	3161
3	3157
9634	3
0	0
11	0
136	0
407	556
8	556
1107	1
155	0
159	660
0	456
0	517
0	429
0	375
0	313
0	267
829	0
4948	5
20224	8
712	4634
109	4635
0	187
0	161
3	161
0	137
0	157
0	163
0	157
2	175
0	165
0	154
0	174
0	158
2	159
327	1170
9	1170
317	0
10	84
19	84
4	0
6560	5
237	414
8	414
73	0
3	5
0	5
0	0
0	0
358	0
359	3439
79	3439
669	0
1080	0
41	693
10	511
0	703
7	645
4	638
1	592
1	139
22	301
0	284
236	0
108	0
0	0
151	1
0	633
112	633
35	98
0	98
18	1784
924	1675
131	1502
369	4560
14	3933
9	4020
20897	3
6	0
0	0
10557	4
14	119
0	154
27	145
2	137
694	4341
0	4340
4	262
3	243
4	276
1693	1
0	0
687	0
0	858
71	803
1	834
5	802
10	702
0	765
13	552
1755	1
0	6
0	10
0	10
0	9
0	0
24	0
331	0
530	0
7	159
0	159
67	330
0	328
6440	3
7	203
5	203
1	195
212	0
0	6551
100	4656
172	6063
2	6129
4	4652
14	0
216	0
0	0
89	0
0	7037
0	6502
0	6548
195	325
6	325
960	9846
106	9846
6	0
47	610
6	610
551	5725
5	5725
207	1
1376	0
152	1259
24	1144
1	1196
3620	0
868	0
136	550
7	550
0	1648
0	1648
2309	2
966	0
6072	6487
1	6486
433	4962
39	4963
367	104
0	104
122	14252
17	13522
1	13751
0	13395
17	13891
70	10867
141	1463
24	1463
31	0
776	0
1456	3
390	0
5	0
0	4
0	4
888	2
1383	12287
22	12287
55553	29
6603	5
1299	11616
3	11620
6	11620
9706	8
12	23
4	23
0	0
0	0
4	0
6888	6
0	13
0	11
0	10
0	4
0	10
0	13
0	10
0	10
0	10
0	19
0	15
0	18
0	19
129	3664
0	3664
233	0
1557	1
3	0
20	332
221	333
251	0
49	0
4	22
0	22
17	0
235	723
5	723
38	0
59	0
2449	1
0	0
1332	0
75	0
579	743
14	743
0	0
19	131
1	131
44	0
0	0
3000	0
5734	12
0	430
0	411
0	326
770	0
6	196
0	182
0	160
1	189
2118	2677
0	2666
16	2692
3	2666
1	51
0	51
823	0
30	0
5110	1
1640	0
5082	0
6158	4
18505	142
13	2323
0	2080
24	1837
147	0
1787	5643
12	5643
2966	0
0	1219
320	1219
37	0
0	0
0	0
405	0
2589	4
145	1
16	338
0	279
6	292
1013	1339
2	341
0	435
29	1723
9	339
42	2024
88	2004
73	2024
400	1633
33	1633
705	4248
28	4257
51	4252
1018	0
986	2324
114	2324
0	1429
0	1333
3	1311
0	970
0	1078
0	1354
288	776
29	793
69	719
0	0
50643	23
483	0
51	531
34	531
0	0
0	1
0	1
682	3
822	0
43	0
1125	1
0	0
0	0
9	559
4	467
33	1363
16	0
0	1591
6	1591
0	0
2115	0
2076	0
67	553
7	553
2	430
78	430
704	2202
0	2203
3	1863
17004	8
0	2091
0	2153
0	1498
0	1154
15	1139
0	1900
0	1436
535	0
157	0
61	0
0	1158
4	998
3	978
1	939
0	1207
74	1106
1	1190
0	1002
0	1008
0	998
0	988
0	994
0	5498
0	5498
2588	1
2928	0
3	31
0	31
0	0
0	0
472	722
25	722
269	0
43	1526
19	1516
1	1562
0	1529
0	1378
0	1404
1	1518
0	1523
5	1526
2	0
2027	2
1599	1
79	704
9	657
2	758
43	0
10	5876
180	5899
7	5899
675	942
3	942
18	91
10	91
403	1598
10	1598
0	61
1	61
1334	0
44	0
0	2
7	2
153	477
1	477
40	369
20	369
131	0
791	2898
0	2898
20	0
3962	1
45	0
2	7
1	7
0	4
0	4
0	3
0	0
0	2601
3	2601
0	10281
0	9737
0	9926
2	9928
182	0
6	0
0	0
0	0
0	603
10	608
54	604
85	944
0	925
0	944
8	19
0	19
0	0
158	658
0	658
20	842
0	903
0	808
88	0
28	0
142	0
34	398
6	394
2	398
31	0
437	0
152	0
10	105
0	105
3	350
1	274
1	343
4	339
0	160
0	222
1	304
4	388
0	229
0	329
2	371
0	263
0	269
1	291
1098	0
45	10
0	10
0	0
58	572
40	572
0	90
0	90
22	0
409	2
42	0
7	265
7	206
3	165
25	190
16	204
10	203
0	84
2	2469
139	3053
2	3263
1	2915
0	0
3334	0
0	1898
1417	1898
6	943
3	767
66	840
2	727
151	4280
2	4207
49	4200
29	4269
161	0
4261	0
8137	44339
5	44335
119	643
81	643
0	360
0	1066
22	1029
1	1009
1	848
48	1045
