UniqueCount	AmbigCount
137	0
0	196
1	113
0	151
4	151
32	186
2	35
11	35
0	35
43	668
0	668
727	427
0	427
0	61
0	60
0	49
1	55
0	41
0	41
3	59
0	47
55	131
3	131
1	2192
0	1934
31	1712
4225	1
0	3452
968	4511
26	1479
0	3468
2	82
7	82
1501	0
22	0
0	764
0	636
0	651
0	3
0	3
0	3
124	289
1	289
677	718
20	718
293	1
1	43
1	43
30	0
1	265
0	242
8	180
0	852
0	836
0	844
0	842
0	834
1	842
0	836
0	828
60	0
459	0
45	431
1	437
8	464
0	431
0	460
27	0
29	242
1	230
3	242
0	0
34	129
19	129
1488	0
0	0
1	0
0	9733
2	9455
0	9958
0	0
0	165
23	165
464	0
0	0
0	0
1	0
164	0
0	146
15	143
0	80
1	138
10	3
3	3
0	3
0	25
0	25
0	0
0	0
0	81
4	81
1123	0
520	0
77	0
2	5
0	5
0	0
2096	1
1	22
0	22
79	785
13	785
18	727
0	725
357	0
735	0
0	7
0	4
0	5
0	4
0	5
0	0
18	1756
380	1756
210	1504
23	1504
0	11
4	17
0	13
0	15
0	50
23	50
0	1741
1	1741
2	0
145	0
1303	0
4026	10348
0	10348
1063	2
15	86
0	86
31	552
0	511
0	511
0	552
0	19
7	19
2	24
0	24
0	16
9	0
0	158
16	149
10	145
4	0
0	34
0	29
0	21
0	27
0	21
316	0
10	22
0	22
551	0
151	0
417	0
0	48
1	52
3	50
3	46
5	45
31	45
14	45
4	39
1	39
0	40
0	39
730	0
334	0
87	3339
5	3339
286	1004
0	1004
4	0
1424	0
1	234
17	241
0	241
25	3
105	223
0	142
0	128
0	206
3	149
0	72
0	65
0	70
0	57
261	0
34	1003
2	1258
0	1031
36	1010
0	722
6	225
0	324
10	287
1	280
8	234
339	0
326	0
0	443
0	392
0	394
0	375
2065	0
702	0
0	0
303	1
269	0
1	191
0	113
9	166
0	174
1	175
0	151
0	355
0	318
1	321
5	0
0	0
155	0
110	0
17	43
8	43
0	0
4	0
2	1876
3	1888
7	1849
133	431
38	400
77	426
82	351
0	349
21	414
952	0
166	1417
27	1421
1	1370
822	0
2217	0
0	348
0	217
42	369
0	362
3150	1
424	111
66	111
553	0
98	0
0	26
0	26
1	1012
0	1093
3	814
6	1005
6	935
0	0
114	0
7	0
0	0
26	361
6	361
74	392
0	392
287	2463
51	2463
134	0
516	1
1824	0
0	9
1	9
0	0
597	0
293	0
14	84
0	84
17	0
0	303
0	303
0	303
197	0
188	0
28	0
9	51
2	51
4	0
30	299
2	299
0	294
35	0
6	8
0	8
3	0
0	0
3	0
34	0
5	15
0	15
1211	1
2	0
699	5909
52	5909
0	0
10	322
0	322
0	320
0	3
0	3
0	0
0	0
6632	2
6	0
3	0
2	2
0	2
0	0
1	235
20	175
0	102
79	0
3	6
0	6
2033	0
3	63
0	63
995	1
0	38
0	59
0	53
0	36
0	60
0	54
0	39
252	0
76	419
0	419
53	0
15	18
