UniqueCount	AmbigCount
236	0
0	145
0	138
0	128
0	120
0	130
1	89
11	84
0	84
24	958
0	958
332	868
0	868
0	19
0	17
0	17
0	19
0	15
0	15
0	17
0	15
7	149
0	149
0	2166
0	1938
60	1890
4252	0
22	11636
19	13019
6	7362
5	11634
0	189
5	189
1392	0
29	0
0	1043
0	977
0	985
0	3
0	3
5	3
87	753
1	753
141	797
6	797
429	0
9	156
2	156
66	0
0	215
0	168
24	179
0	1030
0	1014
0	1011
0	1011
0	1014
0	1033
0	996
0	977
109	0
412	0
4	212
0	214
0	220
0	213
0	219
142	0
13	418
3	416
3	418
1	0
24	208
11	208
2238	0
0	0
1	0
0	13687
0	13623
0	13895
0	0
4	139
13	139
456	10
0	1
1	1
0	1
241	0
0	128
4	128
6	108
0	128
7	14
1	14
0	13
0	284
0	284
1	0
0	0
0	344
10	344
1020	0
462	0
72	0
1	17
0	17
2	0
1475	0
0	24
0	24
15	1886
2	1886
7	1842
0	1836
447	0
1154	0
0	4
0	4
0	4
0	4
0	3
0	0
2	2041
130	2041
57	2054
6	2054
0	24
0	29
0	28
0	25
0	52
6	52
0	229
0	229
4	0
373	0
1272	0
1239	9194
4	9194
1203	0
10	75
3	75
29	709
0	670
0	675
0	709
0	45
3	45
0	22
0	22
0	16
8	0
0	173
1	165
5	172
7	0
0	44
0	41
0	43
0	39
0	39
648	0
7	36
0	36
1678	0
56	0
431	0
0	143
0	143
1	136
0	136
3	128
50	86
10	86
0	62
3	60
0	62
0	62
392	0
210	0
60	4386
22	4386
145	1399
0	1399
10	0
1173	0
0	710
32	725
1	725
80	35
67	226
0	167
0	143
0	167
0	123
1	52
0	49
1	51
0	45
597	0
3	1243
1	1378
0	1266
2	1261
2	1136
0	348
0	390
6	361
1	380
2	316
485	0
461	0
0	725
0	684
0	703
1	678
2131	0
1189	0
1	0
546	0
381	0
0	230
0	187
1	220
1	225
0	224
0	185
0	330
0	305
2	306
21	0
0	0
187	0
148	0
12	38
2	38
0	5
2	0
6	1992
0	2027
6	2008
190	1018
29	962
36	1016
68	678
0	625
1	735
991	0
129	2221
15	2228
1	2168
751	0
2881	0
0	369
0	297
5	384
0	373
4800	0
122	248
12	248
655	0
152	0
0	6
0	6
0	741
0	754
0	669
1	728
10	722
0	0
75	0
32	0
6	0
2	477
4	477
15	417
4	417
110	1920
25	1920
269	0
197	2
1637	2
0	19
0	19
0	0
739	0
369	0
10	34
0	34
6	0
0	432
0	432
0	432
291	0
47	0
40	0
11	167
0	167
7	0
9	380
5	381
0	379
107	5
7	22
0	17
3	0
3	0
80	0
58	0
3	6
0	6
701	0
5	0
468	10023
39	10023
1	0
5	376
0	376
0	376
0	9
0	9
1	0
0	0
6585	0
17	0
0	0
2	2
0	2
0	0
0	15
0	11
0	7
10	0
2	8
0	8
481	0
2	41
0	41
112	0
0	38
0	47
0	49
0	24
0	47
0	49
0	44
293	0
33	573
0	573
43	0
29	49
1	49
59	305
2	305
2206	0
201	0
35	240
0	240
14	0
31133	0
5	0
101	0
392	0
4	0
273	0
37	0
0	0
250	3434
3	3528
12	3081
0	3547
12	3435
24	978
7	1012
9	977
4	889
0	1031
38	183
0	183
0	114
513	0
0	278
0	308
0	317
1	316
3	280
1	270
153	1870
0	1870
433	0
108	1801
0	1801
874	74
90	983
0	983
0	11
0	11
0	11
0	11
0	130
0	125
0	108
0	98
0	130
3	206
0	209
0	208
0	208
0	211
0	206
0	0
122	0
0	8
0	8
0	467
0	480
0	479
0	486
4	474
0	480
549	0
3	24
0	24
1	24
36	0
25	340
1	340
0	1150
9	1067
4	1015
4	0
31	98
6	98
0	1590
0	1619
0	1608
0	1591
0	25
0	25
1	25
9	2016
6	2005
0	2013
0	563
22	563
101	12
0	0
2	0
334	0
5	6
0	6
5032	0
1266	0
234	0
0	1712
1	1631
2	1599
0	1646
5	0
16	0
0	53
0	53
0	50
0	47
0	52
0	46
3	261
0	261
18	1
43	338
6	338
3567	48
1493	48
3	1
0	481
1	430
0	383
1	440
231	0
97	0
24	1183
1	1183
0	1183
1	748
0	755
1	580
0	750
0	517
2	511
4	149
11	1423
30	1423
9	0
0	0
633	0
57	0
1490	0
500	0
10	473
1	473
23	1001
8	1001
849	0
1	0
0	0
35	460
12	460
914	110
0	110
35	257
2	257
562	0
0	4
0	4
0	224
8	210
0	184
0	141
1	141
1	141
0	141
8709	1
0	0
131	94
98	0
38	127
0	127
691	0
77	0
6	105
0	73
0	76
0	74
0	66
0	56
3	54
298	0
510	0
9407	0
28	297
3	297
0	40
0	42
0	41
0	37
0	45
0	37
0	38
0	40
0	42
1	43
0	46
0	42
0	42
461	6331
15	6331
119	0
11	16
1	16
0	0
7739	0
96	377
1	377
29	0
2	7
0	7
0	0
0	0
325	0
29	754
1	754
184	0
179	0
2	197
0	179
0	201
0	190
1	183
0	166
2	327
2	468
0	457
5	0
21	0
0	0
576	0
0	398
26	398
8	70
0	70
0	146
18	143
7	117
3	1744
9	1559
3	1652
1692	0
1	0
0	0
2583	0
4	88
0	94
4	91
0	93
69	1844
0	1844
0	58
0	58
0	58
755	0
177	94
295	0
0	165
3	159
0	164
0	159
5	148
0	161
0	133
547	0
0	17
4	19
0	19
0	16
0	0
30	0
278	0
261	0
4	368
0	368
34	396
0	161
2012	235
1	175
4	175
0	170
207	0
0	3153
26	2166
19	3060
0	3007
3	2164
25	0
70	35
0	35
420	0
2	1804
0	1717
0	1744
71	186
0	186
55	1814
13	1814
22	0
10	317
4	317
81	3186
3	3186
69	0
840	0
39	439
3	423
0	409
1279	0
215	2
24	260
2	204
0	253
1	253
1130	0
255	0
3046	7206
4	7206
15	1101
7	1101
230	257
0	257
0	1339
0	1320
0	1327
0	1312
1	1329
3	1066
4	356
5	356
23	0
372	0
832	0
94	0
0	0
0	7
0	7
205	0
37	2509
1	2509
21536	0
4254	0
86	2642
1	2643
2	2643
893	0
0	5
0	5
0	0
1	2
0	0
4720	0
0	18
0	18
0	18
1	18
0	18
0	18
0	18
0	18
0	18
0	10
0	7
0	10
0	10
76	1385
0	1385
593	0
1005	0
67	0
9	626
116	626
108	0
0	0
7	42
0	42
3	0
41	669
0	669
21	0
132	0
1644	0
0	0
1453	0
65	0
158	881
14	881
0	0
13	80
0	80
71	0
0	0
2440	0
2728	0
1	47
0	47
0	34
983	0
2	196
0	193
0	172
3	182
654	1404
0	1411
0	1411
0	1411
0	61
0	83
1219	22
23	0
1067	0
714	3650
6289	3650
1824	0
12663	1670
0	286
0	267
0	267
50	0
489	2521
1	2521
891	0
1	966
124	966
7	0
0	0
0	0
302	0
692	0
93	0
2	92
0	78
0	86
423	1575
0	145
0	160
1	1724
0	145
0	472
5	470
2	472
42	508
1	508
24	440
5	441
8	441
1040	0
64	609
13	609
0	459
0	430
0	441
0	358
0	376
0	431
34	312
5	316
17	316
2	0
9236	0
47	0
10	239
10	239
4	0
0	0
0	0
465	0
275	0
15	0
528	0
0	0
0	0
0	193
0	179
19	408
46	0
1	649
0	649
0	0
1652	0
1565	0
1	196
0	196
3	438
29	438
80	695
0	695
0	660
16771	0
0	797
0	813
0	533
0	420
1	414
0	750
0	517
498	0
200	0
10	0
0	711
0	642
0	641
0	546
0	715
4	657
0	711
0	648
0	646
0	646
0	644
0	642
6	567
0	567
1410	0
781	0
0	30
0	30
1	0
0	0
12	138
0	138
94	0
4	645
0	645
0	648
1	646
0	625
0	626
0	645
0	644
0	643
1	0
62	0
872	0
4	302
3	291
0	307
56	0
6	1126
20	1126
2	1122
73	414
0	414
0	13
0	13
34	358
0	358
0	19
0	19
556	0
105	0
0	1
9	1
230	385
0	385
10	312
5	312
33	0
181	1140
0	1140
0	0
1210	0
63	1
21	148
9	148
0	10
0	6
0	6
0	9
0	6127
10	6127
0	1761
0	1701
1	1728
2	1728
26	0
3	0
0	0
0	0
0	533
2	533
11	532
7	181
0	181
0	182
2	4
1	4
0	0
82	416
0	416
8	655
0	677
1	645
140	0
1	0
50	0
5	209
3	207
0	209
43	0
718	0
75	0
4	125
0	125
0	236
0	214
0	236
0	235
0	181
0	198
0	223
0	245
0	198
0	228
0	232
0	213
0	208
0	210
465	78
9	103
0	25
0	0
27	192
1	186
0	52
0	52
10	0
118	0
4	0
0	68
0	58
3	49
0	60
8	58
0	62
0	37
0	457
1	506
0	526
0	496
0	0
536	0
0	196
27	196
0	40
0	36
5	37
0	30
5	744
0	738
4	737
0	743
349	0
296	0
617	10410
2	10410
10	145
39	145
0	70
0	543
2	549
2	534
0	522
0	541
0	504
0	509
0	546
0	531
0	529
6	516
0	546
0	4
0	4
0	4
63	1214
9	1214
12	0
0	196
13	196
1198	0
2	0
0	0
0	711
6	679
1	661
35	677
0	192
0	178
0	184
0	186
1	185
5	1484
0	1467
0	1468
0	1467
6	128
15	128
10	0
3174	0
324	0
12	0
2	1
96	891
2	891
2	144
92	0
28	188
2	188
347	0
46	361
0	361
297	27
116	0
7	719
5	648
0	565
18	27
41	570
3	570
0	0
0	0
57	0
96	0
7	4
2	4
32	1079
26	1079
213	0
0	10
0	10
237	0
0	3034
0	2302
0	2916
0	2879
6	2917
0	1391
0	1391
68	736
0	736
29	2619
6	2625
0	2613
0	0
3	1815
14	1815
8	1815
0	1782
450	2
13	16
0	16
24	0
131	0
0	0
1952	139
33	0
3	0
10	0
7	0
61	2
0	1731
0	1731
292	0
138	973
31	973
1243	69
0	2881
4	2756
21	2859
7	102
0	102
5	2495
1	2500
5	2499
74	0
84	4
2349	4
10	700
1	719
2	659
0	598
3	58
0	173
11	173
16	296
1	281
13	296
0	260
458	0
3	166
50	166
49	0
81	2969
86	2969
1309	0
370	1
28	450
39	451
3	40
0	40
0	40
283	0
15	224
0	224
24	174
0	201
0	193
0	194
0	187
0	192
0	191
0	180
2	193
182	2155
8	2150
0	2083
257	0
2	806
105	806
144	0
119	1714
0	1714
10553	70200
36	70200
1131	0
74	1577
29	1579
2	1579
0	143
0	155
0	152
0	154
0	149
0	157
0	154
0	153
0	153
0	151
0	154
0	158
0	156
0	155
0	157
0	153
0	154
0	151
0	152
0	934
0	1030
3	707
520	0
71	24
0	26
0	2
0	0
8550	0
0	173
0	169
3	163
6	390
2	390
45	214
14	258
14	447
0	403
1	0
0	999
1	934
1	922
9	954
189	0
451	0
83	104
2	104
576	0
0	1217
2	1120
8	1099
8	1094
1100	0
145	0
1	0
12	0
0	0
8	0
6875	0
0	336
0	318
0	293
3	262
0	278
0	291
6	0
105	0
0	0
416	0
85	863
0	863
0	774
324	0
0	0
690	0
354	0
82	1052
32	1052
0	1
0	2
0	2
0	1
628	0
1721	0
475	0
2928	12
10	19
0	19
257	0
447	0
6005	0
1	86
0	86
12	0
15	317
3	263
0	317
0	263
0	263
0	263
1	1
0	1
207	0
0	0
12	457
274	457
957	0
345	0
654	0
841	0
1422	0
272	0
6	39
0	39
28	2020
0	2013
8	2020
20	1905
64	0
5	60
0	61
3	61
639	0
2571	16840
77	16793
115	16030
4	16814
0	2
0	2
3	0
10	1053
23	1074
0	1109
0	1103
0	1109
0	1100
986	0
690	0
0	304
5	304
0	102
0	96
0	102
0	111
0	111
72	0
69	0
23	575
7	575
46	0
656	448
6	448
63	0
0	1
0	1
21	839
0	837
1	0
0	0
0	831
3	803
0	708
0	23
9	23
1	0
1200	225
0	219
0	217
0	228
0	202
837	0
0	0
48	0
76	0
3	396
0	400
0	376
1	379
0	389
14255	2625
0	2519
3049	0
326	0
0	65
0	64
0	65
1	65
608	0
29	818
4	817
6	818
0	0
0	910
0	887
6	872
0	762
269	809
0	760
59	2240
0	2240
1	0
0	4
0	4
0	4
0	4
0	4
35	585
7	574
0	534
0	586
0	475
25	475
0	19
2	19
0	1062
0	1062
319	0
0	142
120	142
0	84
0	86
0	86
6	84
0	84
0	0
639	0
425	7450
193	6922
0	7450
10	946
1	723
0	554
0	737
0	732
7	941
0	953
0	551
0	938
0	772
0	916
0	550
0	731
1729	0
12	0
1300	459
146	2686
91	2686
730	0
0	541
3	503
2	484
1	0
0	0
41	301
1	301
9	104
13	104
1	0
0	0
0	27458
0	26358
1	26288
0	26357
14	26336
48	24116
0	26312
8	26345
8	0
8	0
14	0
0	502
14	502
7854	31623
2321	27237
0	20427
443	38169
0	38171
4	38170
2	38168
0	472
0	472
1	663
0	679
36	678
13	678
487	0
40	323
3	323
36	0
18	1322
2	1322
27	310
1	294
0	16
23	408
0	408
0	408
46	433
0	433
0	1
0	1
0	1
8	602
11	599
0	576
0	600
148	0
0	546
0	530
0	544
0	0
1	63
1	63
3	0
27	4
3	4
13	1806
1	1796
59	1776
17	1826
2	0
12	418
0	418
0	310
0	278
1054	0
4	0
1	0
1	0
232	0
16	0
4	0
131	0
3020	0
4918	0
0	361
1	334
0	361
0	361
40	111
3	111
0	518
0	428
0	466
0	556
0	540
14	705
68	1352
0	1296
6	7
9	63
315	0
103	0
0	64
0	66
1	62
0	81
2	81
0	47
268	1
0	161
0	153
1	160
0	161
0	139
157	0
4	235
0	243
0	228
0	174
7139	0
578	0
23945	2
23	60
1	60
173	12
658	0
56	1528
0	1528
529	0
4	0
0	1946
0	1693
0	1724
59	519
54	519
236	0
797	0
2053	0
1190	0
108	0
2247	0
7472	0
3	253
2	233
3	223
4225	0
38	3345
1	3168
9	3345
1044	165
80	2039
0	1873
1	1980
0	1974
998	0
299	0
0	952
0	994
3	1003
0	1005
220	0
0	1037
9	1034
0	1025
3	1037
0	25
0	25
0	25
0	25
0	24
0	25
0	25
2060	0
4	229
306	926
5	926
33	733
0	760
0	684
4	22
0	22
0	727
15	707
0	650
1	660
0	689
0	0
693	0
22	166
4	166
51	559
0	559
0	43
2	43
0	267
0	263
8	267
516	0
370	0
558	0
0	0
0	462
0	470
0	468
0	460
20	145
0	145
0	120
0	1008
35	1017
0	1023
2	1022
0	1020
154	856
0	856
0	179
31	180
4	186
0	186
0	129
8	178
0	171
0	152
2	0
2921	0
273	0
0	302
0	329
0	293
0	314
7	298
415	0
0	375
1	347
0	311
8	2465
0	2465
278	0
187	0
13	986
0	1115
0	1079
5	1034
2060	0
0	0
210	2
49	113
1	113
1623	0
1160	0
0	0
139	13
10	122
0	122
3	1070
13	1068
0	1065
1	1065
2880	0
0	29
0	29
0	117
3	117
647	0
301	3348
23	3140
3	3266
50	1379
55	1491
9	1491
578	0
19	0
0	0
52	844
21	844
0	66
0	77
0	76
0	77
0	77
0	71
0	74
0	43
16	0
10	0
151	0
0	88
0	137
0	129
0	135
6	127
0	88
0	93
2	132
0	119
0	124
0	132
0	124
0	122
0	129
0	83
3179	0
6057	3
48	0
0	236
0	220
1	178
107	0
0	0
833	0
0	0
0	1853
6	1698
0	1753
414	1
294	51
21	171
9	222
15044	0
312	0
107	554
6	554
1184	28913
44	28913
2	5
0	5
0	0
0	0
5	0
217	0
3	0
0	0
48	0
276	0
10	231
1	231
1945	3
11	211
8	208
103	0
94	0
23	197
1	210
0	188
0	49
2	49
0	0
56	593
36	593
0	69
1	62
0	59
0	0
320	0
0	417
0	418
0	419
0	419
0	418
0	417
34	0
0	0
1231	0
0	2170
0	2055
1	2109
0	2109
0	2149
1	2151
6	65
0	65
323	0
6559	710
43	0
34	0
4011	1
1	0
525	0
3593	3340
0	3340
331	0
16	0
0	1172
6	1061
3	1124
0	0
67	0
11820	710
291	168
0	168
0	203
1	189
0	204
0	194
0	194
1	0
0	835
16	835
0	1009
0	1009
4321	0
1150	0
3680	258
6594	258
0	1
0	1
49	0
3238	0
37	449
0	449
12	183
1	164
0	183
43	0
688	0
217	0
1401	0
0	946
0	906
0	646
0	942
0	923
0	923
0	904
0	903
0	924
2	942
2	908
956	2
2	2
621	0
0	10
0	11
0	11
0	10
0	72
0	68
0	72
0	72
0	65
626	0
10	293
12	293
0	289
726	0
1	0
0	39
0	26
0	31
0	35
0	0
0	0
631	3
13	0
249	0
282	3980
0	3979
0	686
2	650
0	675
0	35
0	35
0	39
0	31
1	31
26	0
0	1
0	1
938	0
284	0
8	113
0	113
0	490
11	493
1	493
0	427
0	487
4	405
0	467
0	487
0	427
0	467
0	57
0	57
0	56
580	16
0	71
13	66
3	64
1	64
0	0
11	0
120	351
0	351
955	0
170	0
10	402
17	402
2	1619
0	1514
0	1582
0	1540
751	0
0	0
185	1789
7	1789
0	151
0	133
0	142
0	5
0	5
2	0
246	0
5	273
3	273
0	0
556	0
124	0
2855	0
0	16
0	16
0	16
834	0
0	407
21	407
43	0
3	64
0	64
531	0
829	0
535	0
22	231
3	231
2	0
4	2059
0	2071
6	2056
0	1
42	0
673	0
0	15
0	11
0	10
0	14
7	601
0	601
30	660
7	660
0	572
0	0
45	0
5	1919
2	1760
5	1748
46	0
77	804
1	634
1055	170
1626	0
3	60
5	60
92	1085
6	1086
48	0
1	4
0	4
22	0
71	0
8	387
17	387
29	387
1746	0
2	25
0	25
1	2
0	2
0	0
0	0
138	2582
4	2582
3	2582
0	290
4	251
1	230
1	173
11	102
5	102
4	86
2	0
71	1506
0	1506
822	0
35	425
1	425
0	170
8	205
0	189
1	155
17	397
6	421
7	418
0	418
6	5521
10	5377
0	5301
0	5375
0	17
5	17
65	0
56	450
0	450
0	6
0	6
0	0
0	0
519	0
214	0
3	562
3	522
0	508
0	505
0	0
0	0
45	50
0	50
1	8170
0	8170
0	8150
7	0
15	213
3	213
9	0
0	21
1	21
0	35
0	33
2	33
0	352
33	352
24	727
5	638
0	696
344	1893
0	1893
918	1
78	178
8	179
22	621
1	621
0	0
0	0
0	670
58	779
6	779
30	469
7	539
3	539
1	539
25	824
12	824
0	229
0	224
0	229
0	236
0	222
617	0
149	1400
0	1400
2517	0
9466	0
0	122
8	122
7	0
26	79
4	79
0	281
3	271
0	281
316	0
0	0
315	0
359	0
0	13
0	13
0	13
0	13
0	13
27	460
0	460
268	2
0	68
0	74
1	66
0	66
0	54
0	0
0	0
0	0
18	0
0	49
42	49
91	0
37	631
0	631
0	0
3	111
0	116
0	116
2	113
0	89
0	73
0	75
0	75
0	89
0	89
0	89
0	42
0	35
59	201
0	165
0	203
104	0
296	0
378	0
0	151
8	151
0	1
0	1
920	6
0	6
2578	2
7	57
0	57
0	44
0	529
0	539
0	514
0	503
0	516
249	0
4	69
0	69
235	29
2	2874
18	2681
0	2610
119	0
0	978
0	1004
2	965
0	114
1	120
0	123
824	0
74	693
2	684
22	690
5	690
0	0
1	0
354	0
391	0
4	459
0	508
6	458
1	467
0	508
0	508
1	541
0	541
0	541
0	541
142	0
3362	0
294	0
3	216
0	167
0	236
0	225
0	180
20	3
0	0
520	0
64	1601
0	1601
0	8
0	8
0	8
0	8
0	9
0	0
0	0
0	0
386	0
1	61
12	61
842	0
1	0
0	7
0	23
0	23
0	7
0	0
0	3771
1	3771
0	0
16	0
0	0
1202	0
1	0
1	1
0	1
0	0
247	0
0	6494
663	6494
12	0
20	1198
0	1151
0	1198
0	1198
529	0
2528	0
0	0
2	0
1587	0
8	106
0	106
0	1572
53	1572
43	0
60	0
215	2509
0	2520
292	21
151	0
0	0
1	0
340	0
1	0
66	586
0	586
227	0
1	0
0	859
116	1073
0	966
67	8966
0	9203
0	8946
0	8963
3	7766
8	8965
10	1014
2107	1067
0	390
2	1059
2385	59407
65	58898
12	58930
14	797
8	886
8	783
7	784
9	772
0	661
0	116
2	102
0	109
756	0
72	0
150	186
0	186
157	12447
2	12447
25	0
1	0
0	0
0	1261
169	1261
7	116
0	116
0	200
3	183
4	196
0	227
0	219
0	221
0	0
0	0
0	10
4	10
3906	0
234	0
356	0
36	0
101	0
1013	0
275	0
2	0
7	0
2	711
605	711
9954	0
16	0
5575	0
1077	0
0	0
7	983
0	941
0	921
1	50
0	50
174	0
0	0
0	0
0	0
60	801
29	801
0	123
9	134
0	116
5	115
0	289
5	285
0	272
119	1835
0	1835
3317	0
270	0
3	1425
11	1286
8	1220
8	76
0	76
1646	0
18	333
0	333
1	93
13	87
1	94
0	92
110	2
38	2264
314	2264
723	0
4	48
9	329
4	329
1092	0
2	229
0	254
2	226
357	0
202	48
9	60
0	52
4	45
4614	0
0	0
30	242
0	242
44	826
0	826
174	1926
11	1941
0	1943
149	0
40	436
0	436
977	3
131	3
5	0
923	0
4	376
20	370
4	357
331	0
0	0
136	0
141	0
155	0
708	0
8	0
6	0
0	0
153	4
23	0
652	0
3	570
30	572
0	573
0	486
2	0
0	0
0	0
0	0
1	0
564	0
0	70
1	100
0	100
15	225
3	225
1	180
0	180
0	252
0	237
1	236
0	236
0	381
7	361
5	391
0	394
9	371
1	352
0	359
290	1338
0	1338
48	2547
4	2547
85	6
656	0
40	0
5883	0
58	0
88	276
0	276
1193	0
17	566
5062	566
240	0
1046	0
4	0
0	842
9	766
6	794
0	0
100	0
8	0
0	34600
1	31602
0	33344
9	29187
1	34600
457	0
2765	0
474	0
8	0
134	0
0	0
242	0
8	0
309	0
0	393
0	397
1	363
0	392
0	392
2069	0
291	0
8	101
14	101
4	66
4	68
0	68
184	3135
0	3135
0	3077
27	284
3	284
7	889
59	889
204	0
2417	1
541	0
57	0
1	9
0	9
2	5
18	0
935	0
31	880
0	880
223	0
1432	0
11	164
0	164
2	0
1036	0
5	231
0	721
2	744
2	0
300	0
659	0
725	0
425	2107
0	2107
891	0
1	0
650	0
1	0
0	1802
0	1710
7	1749
0	1741
56	1
90	1
26	883
0	890
0	861
451	1461
0	1461
0	1461
4	0
499	0
20	530
13	530
4	2
126	0
193	0
55	0
6184	37545
0	37545
14	240
0	140
11	247
0	115
6	415
6	415
28	0
44	0
0	0
0	0
0	0
12	0
35	0
29	0
43	0
21	0
6	0
56	1344
0	1337
0	1196
0	181
4	170
0	172
0	161
4	178
3	178
82	0
24	0
0	0
0	0
0	0
8	36
11	36
3	18
0	18
1	17
0	17
0	35
0	37
0	65
2	65
0	65
0	56
0	52
0	52
59	1509
0	1509
0	174
0	171
0	173
2	170
311	0
3	0
727	0
5	38
0	38
0	38
196	0
27	1005
0	1005
317	0
268	0
0	0
0	0
0	223
1	215
0	218
2	195
10	99
2	99
1	168
4	168
15	26
1	26
0	0
222	0
1127	0
0	0
0	0
6	57
0	57
1	369
0	350
14	369
6	369
0	368
383	0
0	484
1	475
4	461
0	0
0	0
583	0
7	72
4	72
0	96
0	83
0	89
0	96
0	101
0	107
0	104
67	22829
0	22827
0	22829
6	380
0	380
153	0
103	343
1	343
104	0
14	973
6	973
47	489
0	489
0	446
1270	8
622	8
587	0
1156	0
264	0
0	0
464	0
108	0
0	0
0	0
11	208
0	204
0	207
282	0
379	0
631	2011
5	1937
64	74
3	354
0	349
15	354
9	196
1	196
99	0
0	81
6	81
411	2
45	0
761	0
27	0
523	9
0	99
1	99
0	90
0	99
1123	9
0	40
0	43
0	38
206	1436
3	1437
10	1485
5	1261
525	0
24	241
6	241
29	276
0	276
304	0
0	0
0	0
9298	9940
3	9860
285	0
332	0
2281	0
1	472
0	488
0	353
0	337
828	0
144	5
0	1149
0	1010
9	1130
0	1005
0	883
0	899
0	865
68	19
550	1574
7	1555
1044	0
4	0
267	0
17	345
1	345
0	1509
0	1509
17	948
7	0
605	0
46	0
11	69
0	69
0	51
0	51
2	0
1096	0
0	79
0	72
1	69
0	79
5	86
47	86
35	0
5	0
0	276
6	259
2	251
1	1262
0	1228
0	1160
0	1114
1	398
2	398
3	398
0	283
194	0
92	0
3413	0
100	522
0	522
6	150
6	150
2	89
0	89
0	0
13	1807
0	1704
0	1782
13	110
10	110
2307	0
63	0
30	766
0	782
29	781
