Geneid	Chr	Start	End	Strand	Length	logFC	abs	exon.F	P.Value	FDR
AT4G26630	4	13435596	13435651	-	56	-3.06065846786835	3.06065846786835	195.176420650256	6.11226927146967E-22	1.48104428359081E-18
AT1G13570+AT1G13560	1	4641546	4641554	-	9	2.63969493405417	2.63969493405417	176.334905265762	1.01582208237381E-19	1.79287581133633E-16
AT3G60920	3	22503328	22503549	-	222	2.63333797356149	2.63333797356149	249.446413580433	1.67015881366716E-40	2.65297304622968E-36
AT1G10840	1	3610174	3610289	-	116	2.58795400589483	2.58795400589483	724.090075896186	1.73490258184767E-56	8.2674469334508E-52
AT1G08900	1	2852604	2852715	+	112	2.29073810429165	2.29073810429165	528.592862183155	2.40266950161504E-62	1.71744017310194E-57
AT3G14010	3	4638933	4638938	+	6	-2.25328511412375	2.25328511412375	988.340453623871	7.19912926853819E-83	1.02919471935949E-77
AT3G03773	3	952867	953062	+	196	2.23403182560106	2.23403182560106	168.44899469894	3.86009137975275E-21	8.36125035970958E-18
AT1G51340	1	19031754	19031817	+	64	-2.19904484605277	2.19904484605277	31.908341496367	5.92774466347281E-08	1.69148963040866E-05
AT3G60920	3	22508428	22508754	-	327	-2.19636573906461	2.19636573906461	23.3537723395006	2.23616405341091E-06	0.000438524347379529
AT4G32590	4	15721808	15722015	+	208	2.1851284197169	2.1851284197169	332.564562236168	3.30198041352961E-33	2.9503401368663E-29
AT5G50340	5	20496153	20496335	-	183	2.13784594737615	2.13784594737615	105.646342791325	2.23710814361763E-19	3.80737163475857E-16
AT1G53490+AT1G07887	1	19963267	19964105	+	839	2.08283455368358	2.08283455368358	141.634512541695	2.54423723249899E-23	6.99474421144785E-20
AT1G33640+AT1G06683+AT1G33615	1	12195782	12195852	-	71	2.04737130691678	2.04737130691678	64.0167512332948	1.85928777867271E-14	1.64077555633845E-11
AT1G66760	1	24902359	24902436	+	78	2.03902665098603	2.03902665098603	457.755547617285	1.44448728258163E-40	2.5813168300644E-36
AT4G01960	4	852720	852974	-	255	2.03664615173887	2.03664615173887	284.421218646213	1.11734221278558E-27	5.15278580909806E-24
AT5G15270	5	4960734	4960847	+	114	1.94753478205106	1.94753478205106	313.950993380219	1.08952401968715E-33	1.11256745270354E-29
AT1G23230	1	8246299	8246303	+	5	1.93216940104871	1.93216940104871	75.9320410541707	1.82312562857336E-14	1.61885629184147E-11
AT4G09980	4	6249105	6249115	-	11	1.8744973234397	1.8744973234397	144.475322894239	3.11708427248717E-20	5.86344058788208E-17
AT2G02370	2	621366	621374	+	9	1.8605945913194	1.8605945913194	75.9939408116182	1.61391318618426E-13	1.23383231556197E-10
AT1G55490	1	20718707	20718830	-	124	1.85338130976485	1.85338130976485	39.45015057169	1.94024919478867E-09	7.43646019131858E-07
AT2G43500	2	18062596	18062599	+	4	-1.84017981303872	1.84017981303872	21.9178065010936	7.70898012076421E-06	0.00125952400805094
AT1G15060+AT1G15050	1	5183157	5183257	-	101	1.82298860632556	1.82298860632556	50.5830292337811	3.76039202202976E-11	2.04406617437793E-08
AT1G55490	1	20718886	20719068	-	183	1.81396509987802	1.81396509987802	42.5336161953034	5.1968211580919E-10	2.27199617609167E-07
AT3G60920	3	22507293	22507377	-	85	-1.77453440622875	1.77453440622875	13.050434894269	0.000359982482197148	0.0338575366035438
AT3G05160	3	1456699	1456883	-	185	1.76499036789346	1.76499036789346	115.833315078974	9.41867886332031E-22	2.23122972566172E-18
AT5G44290	5	17843415	17843432	-	18	-1.7530688814371	1.7530688814371	137.479544883834	6.97169468361864E-24	2.16669661666262E-20
AT1G27900	1	9716399	9716537	-	139	1.74487367149049	1.74487367149049	236.522921686652	5.90361909638341E-28	2.91030099875196E-24
AT5G59890	5	24122548	24122600	+	53	1.73777161262647	1.73777161262647	126.902861378759	1.13734042983823E-14	1.0356390139497E-11
AT5G63700	5	25494408	25494577	-	170	1.70359572072485	1.70359572072485	109.273482534823	1.73404223310542E-18	2.71809207704195E-15
AT5G59890	5	24122601	24122674	+	74	1.70093060455273	1.70093060455273	131.885920844795	3.46120929399543E-15	3.43623570749222E-12
AT3G06210	3	1882810	1882885	+	76	1.70083007935229	1.70083007935229	118.623046875914	1.59148436573023E-16	1.96138100352723E-13
AT1G27770	1	9675233	9675308	-	76	1.70046466586151	1.70046466586151	143.19173279097	1.70711395961345E-23	4.88101437560597E-20
AT3G06400	3	1944683	1944688	+	6	1.6987541922805	1.6987541922805	293.968926470233	3.54713749533953E-31	2.41477296891064E-27
AT3G00950+AT3G60330	3	22296930	22297430	+	501	1.68911717629922	1.68911717629922	30.3064038427394	8.43173104862536E-08	2.31364434250006E-05
AT1G10590	1	3503370	3503373	-	4	-1.67780926320443	1.67780926320443	139.408629005599	5.21080944102934E-19	8.66212242440693E-16
AT3G63480	3	23442678	23442689	-	12	1.67673154308137	1.67673154308137	41.6894211409467	1.23739738154934E-08	4.11394342008546E-06
AT2G02370	2	621375	621820	+	446	1.67479747911733	1.67479747911733	145.647206115903	2.49616815862801E-20	4.75806261500826E-17
AT5G40810	5	16340260	16340588	+	329	1.66707977103505	1.66707977103505	296.801856483035	4.32530439856317E-32	3.63735201248817E-28
AT1G17930	1	6168455	6168729	-	275	1.65530093522028	1.65530093522028	61.3770425391762	2.02164154766205E-11	1.14688848133061E-08
AT3G24460	3	8890057	8890927	-	871	1.63741037188692	1.63741037188692	48.4533392982393	5.13437740604914E-10	2.251581988792E-07
AT3G47350	3	17447698	17447783	+	86	-1.63417875161895	1.63417875161895	37.9157180977356	4.57567798859694E-08	1.34597428174446E-05
AT5G50915	5	20710591	20710724	-	134	1.63300080935683	1.63300080935683	26.1711279255282	1.5941078991223E-06	0.000327906848009241
AT1G55490	1	20718831	20718847	-	17	1.63107419666347	1.63107419666347	34.0811418352172	2.01304422543255E-08	6.35290983470338E-06
AT3G21175	3	7423329	7423334	+	6	-1.62974215544752	1.62974215544752	139.909341391332	9.52042957627361E-22	2.23122972566172E-18
AT5G10940	5	3452076	3452084	-	9	-1.6233331996125	1.6233331996125	118.876191364944	2.77339845615383E-15	2.79216772317048E-12
AT5G61455+AT5G61460	5	24713264	24714075	-	812	1.60460167906178	1.60460167906178	97.8432464827136	3.26857565069474E-20	6.06855641037625E-17
AT5G09230	5	2873780	2873789	+	10	-1.59410568420363	1.59410568420363	82.3260653189584	7.12499961904573E-15	6.83622194992213E-12
AT1G55490	1	20718848	20718885	-	38	1.59168059084755	1.59168059084755	33.6600050263763	2.42470584660446E-08	7.53561679426999E-06
AT4G21585+AT4G21580	4	11478540	11478617	+	78	-1.58395683814822	1.58395683814822	34.3679330128952	1.51628572364091E-08	4.97178264535384E-06
AT3G21175	3	7423762	7424132	+	371	1.58069420248354	1.58069420248354	204.355957982682	1.74165559696024E-27	7.32320075873626E-24
AT3G14150	3	4692927	4692930	-	4	-1.5648017010027	1.5648017010027	70.2368047954162	3.04040851403902E-10	1.3976200693747E-07
AT4G21585+AT4G21580	4	11479304	11479371	+	68	-1.56093259778595	1.56093259778595	83.2169507377743	3.22408290451752E-17	4.26776033437712E-14
AT5G53140	5	21548797	21549020	+	224	1.55978696535029	1.55978696535029	171.150326317752	5.55473267294064E-24	1.80479576740061E-20
AT3G60920	3	22507648	22508270	-	623	-1.55681138056651	1.55681138056651	29.7807541267363	1.07463507995581E-07	2.86624824002915E-05
AT3G05160	3	1456597	1456698	-	102	1.55569645814009	1.55569645814009	61.6646868372451	2.14524865183523E-13	1.59732756518237E-10
AT3G60920	3	22505829	22506278	-	450	-1.55155637048861	1.55155637048861	25.0263665648158	1.00626835866521E-06	0.000217635598824716
AT1G23730	1	8396679	8396727	+	49	-1.54838684994728	1.54838684994728	61.821870409467	3.08672630543895E-12	1.97884071458232E-09
AT4G21585+AT4G21580	4	11479114	11479206	+	93	-1.54768296842504	1.54768296842504	85.8093065627481	1.22572465632043E-17	1.71794924110025E-14
AT1G23730	1	8396266	8396406	+	141	-1.54315561077943	1.54315561077943	80.4918050985277	1.03161209168626E-14	9.51485782190707E-12
AT2G09640+AT2G45540	2	18772379	18772421	-	43	1.52229261976791	1.52229261976791	34.2163441837208	9.97322893410871E-09	3.37863218400264E-06
AT1G23730	1	8395963	8396017	+	55	-1.52098267506051	1.52098267506051	47.9578396448867	3.30575586849342E-10	1.50507695769327E-07
AT1G23730	1	8395509	8395643	+	135	-1.52085272461217	1.52085272461217	35.5267944227654	3.23390387940684E-08	9.79496043440427E-06
AT4G19040	4	10433202	10433216	-	15	-1.51895719046507	1.51895719046507	56.3421343438123	7.1564846183326E-09	2.51994629931391E-06
AT4G21585+AT4G21580	4	11478817	11478872	+	56	-1.51138869225139	1.51138869225139	64.8694238034625	3.86234721929409E-14	3.22903520945908E-11
AT4G00620+AT4G00630	4	264187	264219	-	33	1.50405993053476	1.50405993053476	58.2719501264367	1.15554795050511E-12	7.94222550731543E-10
AT5G19390	5	6537140	6537432	+	293	1.50047409995393	1.50047409995393	244.002294686719	4.90108627874283E-25	1.75166048873838E-21
AT4G38380	4	17974420	17974504	-	85	1.49920461527392	1.49920461527392	54.7743063187384	2.28591476432059E-10	1.08570319143533E-07
AT4G21585+AT4G21580	4	11478359	11478539	+	181	-1.49536136343325	1.49536136343325	76.8897699694698	3.53674854095132E-16	4.17865378647059E-13
AT1G55490	1	20718682	20718706	-	25	1.49066829233857	1.49066829233857	20.5171826229975	9.96039101574193E-06	0.00158216384444609
AT4G24730	4	12753644	12754010	-	367	1.48378942656199	1.48378942656199	79.8846357726157	7.66094640919224E-11	3.92550738209509E-08
AT2G02080	2	520977	520980	-	4	1.48369510056069	1.48369510056069	145.325925286179	4.85586845732413E-21	1.00608668192393E-17
AT3G47350	3	17446818	17447027	+	210	-1.48292260094867	1.48292260094867	36.0796945284669	8.4069855260095E-08	2.31129049573816E-05
AT3G24530	3	8947209	8947285	-	77	1.48287983045088	1.48287983045088	66.9746274785838	4.80566185221807E-10	2.11391453555369E-07
AT5G14740	5	4757972	4758343	+	372	1.47885071008971	1.47885071008971	48.5448805655249	5.30525797275794E-11	2.78840068030679E-08
AT1G09910	1	3223832	3224206	-	375	1.47561182275602	1.47561182275602	147.977330179649	2.00179947505924E-21	4.61579443151522E-18
AT1G51340	1	19031898	19031908	+	11	-1.47395676212385	1.47395676212385	14.950774593793	0.000152106650552785	0.016701473786234
AT5G07890	5	2519799	2519912	-	114	-1.47152799847052	1.47152799847052	74.133496920953	8.57013711746392E-10	3.53082239899066E-07
AT4G21585+AT4G21580	4	11479585	11479658	+	74	-1.47133633695829	1.47133633695829	72.1481222074895	2.20106987774433E-15	2.2316819205121E-12
AT2G02790	2	790798	790895	+	98	1.46570076698788	1.46570076698788	80.8379183730926	2.01736828176145E-13	1.52595231179311E-10
AT4G21585+AT4G21580	4	11478618	11478728	+	111	-1.46433451914517	1.46433451914517	68.6413796401623	8.67280791494003E-15	8.21108140614399E-12
AT4G18360	4	10146330	10146653	-	324	1.46387255633642	1.46387255633642	57.0859265065699	3.19039581069905E-12	2.03617042630959E-09
AT3G01340	3	128880	128891	-	12	-1.46099729284665	1.46099729284665	98.6547498407077	4.57689261959589E-12	2.86981204293881E-09
