ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	2,6,2,1,10,4	15,23,14,19,27,17	0,1,1,0,0,0	27,8,14,8,10,6	225	149	1	1.0	0.081,0.147,0.086,0.034,0.197,0.135	0.0,0.076,0.045,0.0,0.0,0.0	0.093
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	95,140,130,76,131,121	241,360,306,219,329,333	65,58,53,148,119,38	300,270,223,409,407,165	252	149	1	1.0	0.189,0.187,0.201,0.17,0.191,0.177	0.114,0.113,0.123,0.176,0.147,0.12	0.054
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	23,54,68,55,54,40	297,487,402,284,486,483	62,44,52,66,96,18	349,308,266,438,501,210	251	149	1	1.0	0.044,0.062,0.091,0.103,0.062,0.047	0.095,0.078,0.104,0.082,0.102,0.048	-0.017
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	8,9,12,8,2,13	43,52,22,37,29,25	11,11,11,16,5,3	22,15,9,60,37,12	227	149	1	1.0	0.109,0.102,0.264,0.124,0.043,0.254	0.247,0.325,0.445,0.149,0.081,0.141	-0.082
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	32,60,43,30,51,43	181,193,155,163,208,159	29,33,30,57,38,13	148,111,125,170,209,81	273	149	1	1.0	0.088,0.145,0.132,0.091,0.118,0.129	0.097,0.14,0.116,0.155,0.09,0.081	0.004
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	21,27,22,11,11,20	116,221,139,133,173,172	10,10,17,22,22,14	107,112,110,141,145,46	246	149	1	1.0	0.099,0.069,0.087,0.048,0.037,0.066	0.054,0.051,0.086,0.086,0.084,0.156	-0.019
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	9,24,35,27,24,41	10,7,11,11,10,17	31,19,42,45,24,17	16,6,8,22,19,4	296	149	1	1.0	0.312,0.633,0.616,0.553,0.547,0.548	0.494,0.614,0.725,0.507,0.389,0.681	-0.033
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	34,30,28,39,22,36	6,5,10,1,7,3	30,23,22,33,34,19	3,1,1,7,5,4	241	149	1	1.0	0.778,0.788,0.634,0.96,0.66,0.881	0.861,0.934,0.932,0.745,0.808,0.746	-0.054
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	481,683,525,473,721,445	103,125,133,97,119,117	447,326,351,455,480,148	92,94,80,107,138,54	238	149	1	1.0	0.745,0.774,0.712,0.753,0.791,0.704	0.753,0.685,0.733,0.727,0.685,0.632	0.044
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351	9	6,13,14,8,10,0	0,0,0,0,0,1	9,12,4,17,17,2	0,2,0,2,1,2	242	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.0	1.0,0.787,1.0,0.84,0.913,0.381	0.013
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	156,208,143,147,253,228	466,662,619,499,753,647	154,89,109,169,190,101	575,458,501,636,743,290	228	149	1	1.0	0.18,0.17,0.131,0.161,0.18,0.187	0.149,0.113,0.124,0.148,0.143,0.185	0.024
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	205,296,204,221,384,242	3256,5293,4240,3950,5952,4636	339,253,198,245,339,186	5582,3991,4049,3704,6456,2522	212	149	1	1.0	0.042,0.038,0.033,0.038,0.043,0.035	0.041,0.043,0.033,0.044,0.036,0.049	-0.003
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	50,65,53,35,57,42	80,99,106,58,107,132	41,39,28,72,54,32	56,64,76,102,108,28	255	149	1	1.0	0.268,0.277,0.226,0.261,0.237,0.157	0.3,0.263,0.177,0.292,0.226,0.4	-0.039
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	87,151,106,89,126,88	323,517,415,352,510,410	103,71,71,124,130,42	422,333,360,460,579,189	225	149	1	1.0	0.151,0.162,0.145,0.143,0.141,0.124	0.139,0.124,0.116,0.151,0.129,0.128	0.013
