ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989
2	"AT5G66410"	NA	chr5	+	26521011	26521073	26520860	26520933	26521171	26521269
3	"AT5G66040"	NA	chr5	+	26410731	26410805	26410343	26410645	26410868	26410993
4	"AT5G65970"	NA	chr5	-	26388864	26388914	26388740	26388781	26388993	26389082
5	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
6	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833
7	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
8	"AT5G64540"	NA	chr5	-	25800992	25801082	25800784	25800842	25801184	25801302
9	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
10	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823
11	"AT5G63540"	NA	chr5	-	25443082	25443181	25442760	25442915	25443295	25443441
12	"AT5G63260"	NA	chr5	+	25362609	25362657	25361746	25362298	25362725	25362791
13	"AT5G63200"	NA	chr5	+	25352245	25352393	25351735	25352020	25352519	25353039
14	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973
15	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310674	25311019
16	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310678	25310973
17	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436
18	"AT5G62640"	NA	chr5	-	25151916	25151991	25151759	25151853	25152270	25152541
19	"AT5G62610"	NA	chr5	-	25133480	25133549	25133331	25133409	25133630	25133696
20	"AT5G62600"	NA	chr5	-	25124828	25124903	25124685	25124740	25124983	25125063
21	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735
22	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603
23	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626
24	"AT5G62165"	NA	chr5	+	24966817	24966879	24966361	24966443	24967327	24967427
25	"AT5G62165"	NA	chr5	+	24967694	24967736	24967327	24967427	24967840	24967882
