ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
3	"AT5G65970"	NA	chr5	-	26388353	26388669	26388495	26388669	26388166	26388234
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081
11	"AT5G63600"	NA	chr5	-	25461394	25461727	25461399	25461727	25460683	25461310
14	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170
25	"AT5G59710"	NA	chr5	+	24057377	24058171	24057377	24057584	24058279	24058388
30	"AT5G57960"	NA	chr5	-	23465534	23465949	23465806	23465949	23465144	23465259
43	"AT5G53900"	NA	chr5	-	21882328	21882734	21882590	21882734	21882190	21882232
48	"AT5G53020"	NA	chr5	+	21498423	21499440	21498423	21498605	21499888	21500829
50	"AT5G52070"	NA	chr5	+	21162095	21163968	21162095	21162208	21164079	21164196
55	"AT5G48640"	NA	chr5	-	19725196	19725493	19725386	19725493	19724984	19725029
57	"AT5G48545"	NA	chr5	+	19676967	19677600	19676967	19677034	19677693	19677747
62	"AT5G47455"	NA	chr5	+	19251077	19251251	19251077	19251196	19251934	19252379
65	"AT5G46250"	NA	chr5	+	18757110	18757162	18757110	18757158	18757250	18757315
72	"AT5G41700"	NA	chr5	+	16676053	16676141	16676053	16676135	16676482	16676619
73	"AT5G41690"	NA	chr5	-	16674167	16674493	16674361	16674493	16674001	16674075
74	"AT5G40910"	NA	chr5	+	16395210	16395973	16395210	16395275	16396097	16397169
75	"AT5G40910"	NA	chr5	+	16395210	16396001	16395210	16395275	16396097	16397169
77	"AT5G39580"	NA	chr5	-	15848005	15848172	15848009	15848172	15847077	15847684
82	"AT5G37380"	NA	chr5	-	14819034	14819105	14819062	14819105	14816760	14818457
83	"AT5G37340"	NA	chr5	-	14789310	14789409	14789342	14789409	14789165	14789219
85	"AT5G36180"	NA	chr5	+	14239434	14239731	14239434	14239580	14239820	14239943
95	"AT5G26980"	NA	chr5	-	9488445	9488831	9488704	9488831	9488132	9488361
105	"AT5G22760"	NA	chr5	+	7575478	7576070	7575478	7575948	7576174	7576657
113	"AT5G20480"	NA	chr5	+	6921508	6925197	6921508	6921983	6925284	6925901
115	"AT5G20240"	NA	chr5	+	6830636	6830838	6830636	6830736	6830926	6830971
117	"AT5G19560"	NA	chr5	+	6602909	6603420	6602909	6603085	6604053	6604170
124	"AT5G17300"	NA	chr5	-	5691550	5691810	5691698	5691810	5691073	5691388
126	"AT5G16800"	NA	chr5	-	5524810	5525039	5524835	5525039	5524281	5524735
129	"AT5G15540"	NA	chr5	-	5056536	5056646	5056550	5056646	5055961	5056209
133	"AT5G14430"	NA	chr5	+	4653471	4653636	4653471	4653628	4653708	4653899
154	"AT5G07570"	NA	chr5	+	2393102	2394677	2393102	2394413	2394758	2396329
159	"AT5G06690"	NA	chr5	-	2060871	2061047	2060980	2061047	2060442	2060749
161	"AT5G06440"	NA	chr5	-	1965923	1966041	1965951	1966041	1965756	1965849
162	"AT5G06100"	NA	chr5	+	1837913	1838421	1837913	1838029	1838502	1838899
165	"AT5G05310"	NA	chr5	+	1572080	1572149	1572080	1572144	1572220	1572322
174	"AT5G04090"	NA	chr5	-	1106878	1107660	1107581	1107660	1106164	1106593
178	"AT5G02810"	NA	chr5	-	640621	641050	640888	641050	640285	640450
181	"AT5G01470"	NA	chr5	+	192128	192227	192128	192215	192301	192769
182	"AT5G01400"	NA	chr5	-	169923	170174	170081	170174	169034	169206
202	"AT5G14780"	NA	chr5	+	4776732	4777646	4776732	4777129	4777733	4777933
203	"AT5G14780"	NA	chr5	+	4776732	4777646	4776732	4777129	4777758	4777933
225	"AT4G34090"	NA	chr4	-	16328564	16328663	16328568	16328663	16328397	16328479
226	"AT4G34090"	NA	chr4	-	16328564	16328663	16328568	16328663	16328397	16328493
227	"AT4G33520"	NA	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150
232	"AT4G32850"	NA	chr4	+	15853669	15853960	15853669	15853753	15854043	15854241
235	"AT4G32720"	NA	chr4	+	15789421	15789498	15789421	15789494	15789597	15789977
241	"AT4G32360"	NA	chr4	+	15622202	15622256	15622202	15622251	15622854	15622928
248	"AT4G31650"	NA	chr4	+	15331877	15332352	15331877	15332327	15332438	15332563
253	"AT5G56180"	NA	chr5	-	22740073	22740326	22740255	22740326	22739912	22739974
259	"AT5G64460"	NA	chr5	-	25775305	25775568	25775482	25775568	25775044	25775106
267	"AT4G27120"	NA	chr4	-	13603519	13604007	13603907	13604007	13603228	13603330
269	"AT4G26190"	NA	chr4	-	13263656	13267002	13266897	13267002	13263299	13263363
279	"AT4G27650"	NA	chr4	-	13807505	13808031	13807742	13808031	13807327	13807410
285	"AT4G30820"	NA	chr4	+	15006493	15006702	15006493	15006557	15007106	15007211
294	"AT5G07390"	NA	chr5	-	2338618	2338736	2338622	2338736	2338420	2338528
296	"AT4G21760"	NA	chr4	+	11562967	11563227	11562967	11563223	11563298	11563401
303	"AT4G20010"	NA	chr4	+	10842918	10843031	10842918	10843027	10843223	10843329
314	"AT4G19420"	NA	chr4	-	10588210	10588431	10588377	10588431	10587985	10588091
326	"AT4G16765"	NA	chr4	-	9430342	9430527	9430470	9430527	9430179	9430259
327	"AT4G16710"	NA	chr4	+	9398402	9398991	9398402	9398722	9399361	9399876
338	"AT4G14500"	NA	chr4	+	8335565	8335765	8335565	8335742	8335846	8335913
340	"AT4G14385"	NA	chr4	-	8287516	8288148	8288078	8288148	8287347	8287430
351	"AT4G10430"	NA	chr4	-	6455374	6455883	6455796	6455883	6454812	6455241
368	"AT4G04620"	NA	chr4	-	2329889	2330590	2330059	2330590	2329401	2329457
369	"AT5G26040"	NA	chr5	-	9100528	9100695	9100598	9100695	9100377	9100428
