ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
670	AT4G02430	NA	chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	670	39,90,70,64,102,81	40,67,48,62,62,40	34,48,41,73,67,28	76,82,63,113,138,65	160	149	0.000104149500914	0.014070704563022	0.476,0.556,0.576,0.49,0.605,0.653	0.294,0.353,0.377,0.376,0.311,0.286	0.227		
929	AT4G26140	NA	chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	929	29,71,47,38,46,41	19,26,23,24,28,47	25,6,12,12,17,7	36,26,27,31,40,15	155	149	0.0000108391536219	0.00197117750866839	0.595,0.724,0.663,0.603,0.612,0.456	0.4,0.182,0.299,0.271,0.29,0.31	0.317		
969	AT1G72640	NA	chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	969	1.71324239199274E+017	57,81,72,67,99,62	5.74453517694794E+017	49,50,48,60,69,24	169	149	4.57269668663E-06	0.000970173813679998	0.726,0.779,0.745,0.724,0.709,0.755	0.912,0.889,0.905,0.911,0.91,0.898	-0.164		
970	AT1G72640	NA	chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	970	1.27193138134157E+017	2.67454352295461E+017	131,91,118,136,132,59	904,710,815,1118,1216,398	152	149	4.02613432593E-08	2.56263449845444E-05	0.318,0.294,0.278,0.308,0.25,0.257	0.124,0.112,0.124,0.107,0.096,0.127	0.169		
1037	AT3G26890	NA	chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1037	3.21439371312477E+017	1.30176114114205E+017	3.15232250418359E+017	2.29177267325358E+017	152	149	3.34406350044E-06	0.00090701328356969	0.708,0.71,0.761,0.728,0.695,0.724	0.574,0.562,0.479,0.558,0.496,0.54	0.186		
1183	AT4G17310	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1183	26,36,32,28,42,32	16,38,25,18,30,20	44,37,42,75,53,15	5,3,12,20,0,3	405	149	3.18891838236E-06	0.00090701328356969	0.374,0.258,0.32,0.364,0.34,0.371	0.764,0.819,0.563,0.58,1.0,0.648	-0.391		
1184	AT4G17310	NA	chr4	-	9685185	9686024	9685185	9685454	9686443	9686616	1184	82,111,87,81,125,84	16,38,25,18,30,20	73,92,80,159,124,33	5,3,12,20,0,3	719	149	0.000258279719658	0.0313133412499651	0.515,0.377,0.419,0.483,0.463,0.465	0.752,0.864,0.58,0.622,1.0,0.695	-0.298		
1280	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1280	10,10,10,4,17,5	52,53,73,36,70,55	8,7,4,17,12,7	6,1,4,4,6,0	194	149	5.41892042349E-09	4.59885713273518E-06	0.129,0.127,0.095,0.079,0.157,0.065	0.506,0.843,0.434,0.765,0.606,1.0	-0.584		
1506	AT3G04630	NA	chr3	+	1259566	1259661	1259569	1259661	1259226	1259461	1506	1.13156100111144E+017	90,142,139,93,138,122	206,105,115,191,190,51	59,41,38,92,79,31	152	149	0.0000511125206702	0.00813327985164557	0.552,0.519,0.414,0.539,0.506,0.45	0.774,0.715,0.748,0.671,0.702,0.617	-0.208		
1670	AT1G15280	NA	chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1670	3.22488340314309E+017	2.16380312227365E+017	4.0525930138953E+017	148,121,83,133,183,67	152	149	4.11117642152E-06	0.000951550469926356	0.594,0.557,0.516,0.576,0.454,0.495	0.728,0.677,0.78,0.741,0.74,0.694	-0.195		
