ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
138	"AT5G53020"	NA	chr5	+	21498423	21500829	21498423	21498605	21499888	21500829
172	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
233	"AT5G40910"	NA	chr5	+	16395210	16397169	16395210	16395275	16396097	16397169
299	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
492	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
496	"AT5G18245"	NA	chr5	+	6029601	6030596	6029601	6029684	6030356	6030596
518	"AT5G07570"	NA	chr5	+	2393102	2396329	2393102	2394677	2394758	2396329
531	"AT5G06690"	NA	chr5	-	2060442	2061047	2060442	2060749	2060980	2061047
709	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
820	"AT4G24590"	NA	chr4	+	12697216	12697842	12697216	12697377	12697733	12697842
838	"AT4G30820"	NA	chr4	+	15006493	15007211	15006493	15006557	15007106	15007211
929	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701365	10701503	10702174
987	"AT4G16765"	NA	chr4	-	9430743	9431480	9430743	9430844	9431428	9431480
1020	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1289	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1341	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
1359	"AT3G54740"	NA	chr3	+	20262336	20264115	20262336	20262679	20263036	20264115
1419	"AT3G51360"	NA	chr3	-	19064538	19064948	19064538	19064610	19064851	19064948
1519	"AT2G05520"	NA	chr2	+	2026523	2027283	2026523	2026610	2026649	2027283
1651	"AT1G35320"	NA	chr1	-	12959476	12960799	12959476	12959768	12960680	12960799
1890	"AT2G30740"	NA	chr2	+	13095650	13096492	13095650	13095700	13095848	13096492
2014	"AT1G55750"	NA	chr1	-	20840974	20841489	20840974	20841022	20841375	20841489
2094	"AT5G07100"	NA	chr5	+	2204205	2205165	2204205	2204539	2204812	2205165
2099	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2117	"AT1G54440"	NA	chr1	+	20326797	20327518	20326797	20326875	20327359	20327518
2189	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2215	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783197	16786374	16786828
2216	"AT1G44125"	NA	chr1	-	16783003	16786828	16783003	16783921	16786374	16786828
2272	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968254	2968474	2968536
2275	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
2291	"AT5G66005"	NA	chr5	-	26398726	26399001	26398726	26398814	26398909	26399001
2453	"AT1G02960"	NA	chr1	-	667150	667641	667150	667281	667540	667641
2476	"AT5G28080"	NA	chr5	-	10091593	10092721	10091593	10091821	10092314	10092721
2624	"AT1G05830"	NA	chr1	+	1761083	1761817	1761083	1761228	1761554	1761817
2642	"AT1G06630"	NA	chr1	+	2027605	2027962	2027605	2027805	2027929	2027962
2734	"AT1G04300"	NA	chr1	-	1152878	1153345	1152878	1152947	1153233	1153345
2826	"AT3G26680"	NA	chr3	+	9803418	9804282	9803418	9803549	9803607	9804282
2830	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	628934	629321
2831	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	629287	629321
3080	"AT3G54620"	NA	chr3	-	20218483	20218789	20218483	20218536	20218713	20218789
3234	"AT3G27610"	NA	chr3	-	10227328	10227808	10227328	10227389	10227723	10227808
3244	"AT1G03470"	NA	chr1	-	867408	867733	867408	867511	867625	867733
3333	"AT3G45750"	NA	chr3	-	16796783	16797236	16796783	16796958	16797150	16797236
3362	"AT2G17780"	NA	chr2	-	7726541	7727503	7726541	7726960	7727324	7727503
3376	"AT1G13650"	NA	chr1	-	4681010	4682382	4681010	4681492	4682065	4682382
3545	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627540	26627774	26628053
3546	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627512	26627841	26628053
3550	"AT1G70620"	NA	chr1	+	26630246	26631104	26630246	26630303	26630700	26631104
3654	"AT1G48175"	NA	chr1	+	17790396	17791303	17790396	17791013	17791236	17791303
3754	"AT4G37440"	NA	chr4	+	17603111	17604086	17603111	17603594	17603663	17604086
3764	"AT1G51270"	NA	chr1	+	19010411	19011272	19010411	19010618	19010884	19011272
3850	"AT3G27300"	NA	chr3	-	10086114	10086488	10086114	10086310	10086411	10086488
3916	"AT5G06265"	NA	chr5	+	1905778	1906766	1905778	1906172	1906563	1906766
4154	"AT2G16940"	NA	chr2	-	7345694	7346177	7345694	7345776	7346107	7346177
4189	"AT1G65040"	NA	chr1	-	24162832	24163379	24162832	24162882	24163236	24163379
4265	"AT2G22260"	NA	chr2	+	9460917	9461386	9460917	9461149	9461312	9461386
4299	"AT1G33615"	NA	chr1	-	12193811	12194413	12193811	12193938	12194350	12194413
4370	"AT1G80260"	NA	chr1	+	30179355	30179988	30179355	30179427	30179856	30179988
4425	"AT2G31130"	NA	chr2	-	13265447	13266565	13265447	13266175	13266459	13266565
4638	"AT2G37160"	NA	chr2	+	15611441	15611720	15611441	15611552	15611627	15611720
4639	"AT2G37160"	NA	chr2	+	15611441	15611720	15611441	15611547	15611632	15611720
4762	"AT4G35300"	NA	chr4	-	16798992	16799635	16798992	16799101	16799455	16799635
4790	"AT2G44798"	NA	chr2	-	18467672	18468395	18467672	18467841	18468099	18468395
