ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G65940"	NA	chr5	-	26378842	26378911	26378975	26379056	26378717	26378781	26379131	26379235	0	97,157,127,107,128,142	211,306,268,254,322,272	123,54,103,134,138,69	229,191,203,295,329,99	230	218	1	1.0	0.303,0.327,0.31,0.285,0.274,0.331	0.337,0.211,0.325,0.301,0.284,0.398	-0.004
1	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	1	1,1,0,0,1,0	103,197,118,121,206,135	0,0,0,0,0,0	102,99,106,161,167,49	283	298	1	1.0	0.01,0.005,0.0,0.0,0.005,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.003
2	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	2	58,57,89,77,86,68	13,21,13,22,22,12	62,42,65,68,90,26	10,3,4,8,10,2	262	219	0.565668887795	1.0	0.789,0.694,0.851,0.745,0.766,0.826	0.838,0.921,0.931,0.877,0.883,0.916	-0.116
3	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163968	21161131	21161353	21164079	21164196	3	11,13,16,34,17,11	100,197,115,111,196,128	18,11,22,18,18,3	101,99,101,154,165,48	262	298	1	1.0	0.111,0.07,0.137,0.258,0.09,0.089	0.169,0.112,0.199,0.117,0.11,0.066	-0.003
4	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	4	11,13,16,34,17,11	103,197,118,121,206,135	18,11,22,18,18,3	102,99,106,161,167,49	262	298	1	1.0	0.108,0.07,0.134,0.242,0.086,0.085	0.167,0.112,0.191,0.113,0.109,0.065	-0.005
5	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	5	29,43,32,37,40,68	36,43,48,31,49,48	34,19,38,40,34,15	29,20,67,54,75,22	189	194	1	1.0	0.453,0.507,0.406,0.551,0.456,0.593	0.546,0.494,0.368,0.432,0.318,0.412	0.066
6	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	6	6,21,10,8,17,13	65,123,123,98,160,72	14,11,12,15,18,8	67,58,55,88,117,30	230	230	1	1.0	0.085,0.146,0.075,0.075,0.096,0.153	0.173,0.159,0.179,0.146,0.133,0.211	-0.062
7	"AT5G41220"	NA	chr5	-	16496445	16496499	16496573	16496634	16496277	16496357	16496749	16496823	7	41,74,37,47,61,49	25,35,41,37,44,52	32,39,30,59,48,16	49,43,27,32,22,18	210	203	1	1.0	0.613,0.671,0.466,0.551,0.573,0.477	0.387,0.467,0.518,0.641,0.678,0.462	0.033
8	"AT5G53170"	NA	chr5	-	21563281	21563335	21563430	21563520	21562717	21563172	21563720	21564002	8	377,673,431,382,493,445	127,183,123,113,162,160	471,299,321,495,475,146	143,83,122,184,134,53	239	203	1	1.0	0.716,0.757,0.749,0.742,0.721,0.703	0.737,0.754,0.691,0.696,0.751,0.701	0.01
10	"AT5G36180"	NA	chr5	+	14239654	14239731	14239820	14239943	14239403	14239580	14240035	14240138	10	187,181,110,103,177,175	219,267,158,142,254,254	115,65,68,38,90,43	158,92,122,82,178,82	226	272	1	1.0	0.507,0.449,0.456,0.466,0.456,0.453	0.467,0.46,0.401,0.358,0.378,0.387	0.056
11	"AT5G21930"	NA	chr5	+	7246262	7246368	7246569	7246636	7245976	7246086	7247050	7247130	11	225,420,309,310,417,435	125,224,155,177,259,212	299,282,284,432,425,128	160,150,182,223,251,82	255	216	1	1.0	0.604,0.614,0.628,0.597,0.577,0.635	0.613,0.614,0.569,0.621,0.589,0.569	0.013
12	"AT5G17170"	NA	chr5	+	5650434	5650516	5650623	5650692	5649886	5650053	5650804	5651205	12	311,562,267,268,384,287	141,222,113,112,215,156	566,384,477,537,802,240	232,141,211,259,330,120	231	218	1	1.0	0.675,0.705,0.69,0.693,0.628,0.635	0.697,0.72,0.681,0.662,0.696,0.654	-0.014
