groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Col_0	fio1	log2fold_fio1_Col_0	abs_logFC	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts
AT1G64790	E067	11.6042685878488	0.23352024459259	16.2241224005414	5.62729919830703E-05	0.0129827345215492	0.0189427207208439	6.30780878918057	16.7684402838027	16.7684402838027	1	24082539	24082720	182	-	0	0	27	25	5	12	AT1G64790.2
AT2G33070	E004	91.5391882757638	0.0351710970923593	24.1053555128893	9.12062880614024E-07	0.000409388178721914	0.0364304458050384	9.2845505135232	16.0081663776176	16.0081663776176	2	14029190	14030297	1108	-	0	0	18	18	228	362	"c(""AT2G33070.2"", ""AT2G33070.1"", ""AT2G33070.3"")"
AT3G10650+AT3G10660+AT3G10640	E025	2.42671709569537	0.112326346428237	18.9297001039794	1.35624708247089E-05	0.00395302872684597	4.07211398260753	0.0166952554983482	-15.8644515203007	15.8644515203007	3	3331066	3331267	202	-	6	8	0	0	0	0	"c(""AT3G10660.2"", ""AT3G10660.1"", ""AT3G10650.2"")"
AT5G48000	E014	11.1097694714749	0.0573640326679316	13.205408317865	0.000279142421325749	0.0439378950140547	0.0207246322269725	4.87515979923579	15.7617363089626	15.7617363089626	5	19447091	19447121	31	-	0	0	1	4	23	49	"c(""AT5G48000.5"", ""AT5G48000.2"", ""AT5G48000.6"", ""AT5G48000.3"")"
AT1G48210	E006	4.73424198891696	0.165514012414991	14.0891510535002	0.000174346489196459	0.0312134014006899	0.0199120767802583	4.45715173957619	15.6175324498832	15.6175324498832	1	17799011	17799213	203	+	0	0	2	9	5	15	"c(""AT1G48210.5"", ""AT1G48210.2"", ""AT1G48210.3"")"
AT3G10650+AT3G10660+AT3G10640	E024	2.07840375330484	0.13034316653354	16.0185662628159	6.27243552234236E-05	0.0141377080160569	3.7701622228219	0.0172735088657419	-15.5433232263918	15.5433232263918	3	3331064	3331065	2	-	5	7	0	0	0	0	"c(""AT3G10660.2"", ""AT3G10650.2"")"
AT4G33130	E009	8.6065411009161	0.0841081773685743	17.04233519703	3.65556299215037E-05	0.00910415347927407	0.0230053676367277	4.99330201612037	15.5298628619647	15.5298628619647	4	15980201	15980346	146	-	0	0	10	6	23	15	AT4G33130.4
AT1G36180	E006	10.0472583530051	0.0333481717500102	13.3702659291444	0.000255645103688357	0.0414961956000369	0.0226743647933887	4.4612601431807	15.2453629131653	15.2453629131653	1	13547502	13547594	93	+	0	0	7	10	18	31	"c(""AT1G36180.3"", ""AT1G36180.1"", ""AT1G36180.2"")"
AT5G07400	E015	4.69193057139587	0.0689326627716809	17.745302353427	2.52540319328827E-05	0.00662662413793959	0.0225409063322246	4.35094694496458	15.1899145297566	15.1899145297566	5	2344450	2344585	136	+	0	0	9	8	7	4	"c(""AT5G07400.3"", ""AT5G07400.7"", ""AT5G07400.4"", ""AT5G07400.5"", ""AT5G07400.6"")"
AT3G43190	E013	17.9288311297115	0.0155691428888597	22.7492223129321	1.84578821069246E-06	0.000764146481133342	0.0312087610298306	5.97358229582751	15.1697360123007	15.1697360123007	3	15182474	15182605	132	-	0	0	6	13	35	67	"c(""AT3G43190.2"", ""AT3G43190.1"")"
AT1G09932	E013	2.11283265641976	0.145395008178587	22.0563067024134	2.64768325984672E-06	0.001026645737677	4.46068142730947	0.0269034615374295	-14.7515279322699	14.7515279322699	1	3233189	3233259	71	-	8	4	0	0	0	0	AT1G09932.1
AT2G26280	E001	4.04620061979542	0.0455053821322371	17.6032505135008	2.72122823720909E-05	0.00704604703826906	0.0263394948992612	4.00415256100577	14.5001760598122	14.5001760598122	2	11187726	11187727	2	-	0	0	7	6	5	7	"c(""AT2G26280.3"", ""AT2G26280.2"", ""AT2G26280.1"")"
AT4G15215	E014	7.34726775746637	0.0606286049047363	16.2799814367883	5.46381447271056E-05	0.0127558489534882	0.0306942913411632	4.57570105651057	14.4448824922635	14.4448824922635	4	8672475	8672598	124	+	0	0	9	8	8	23	"c(""AT4G15215.10"", ""AT4G15215.3"", ""AT4G15215.7"", ""AT4G15215.9"", ""AT4G15215.11"", ""AT4G15215.8"", ""AT4G15215.2"", ""AT4G15215.6"", ""AT4G15215.5"", ""AT4G15215.1"", ""AT4G15215.4"")"
AT2G00790	E009	3.23255527048632	0.0754599287633588	14.0164544564922	0.000181217853898688	0.0322592491465196	0.0277238232388157	3.76081257410813	14.1710113926934	14.1710113926934	2	10435716	10435943	228	-	0	0	2	4	6	9	"c(""AT2G00790.2"", ""AT2G00790.3"")"
AT1G74040	E001	2.71240104677596	0.0818719215760002	13.1575068986102	0.000286369648587947	0.044770836517564	0.028349841398537	3.48839294795867	13.8891354087184	13.8891354087184	1	27842109	27842170	62	+	0	0	6	3	2	6	AT1G74040.1
AT1G60460	E018	4.05485385055019	0.137275140275323	13.0730780118372	0.000299570449917099	0.0463260711948799	0.036189049679308	4.08085676569436	13.6384268709815	13.6384268709815	1	22278967	22279007	41	+	0	0	3	3	7	14	AT1G60460.1
AT1G61490	E018	5.62186861104028	0.0441945608043458	16.7285851442723	4.31262897707399E-05	0.0104879347968509	0.0443370631384852	4.20818530066168	13.141417368473	13.141417368473	1	22688560	22688878	319	-	0	0	6	12	10	6	"c(""AT1G61490.6"", ""AT1G61490.5"", ""AT1G61490.4"")"
AT5G09230	E007	7.68928964587208	0.0254221469937322	16.2184003315844	5.64432152258882E-05	0.0130028566934792	0.0496506995157091	4.3889753804466	12.9365678591131	12.9365678591131	5	2871430	2871560	131	+	0	0	9	11	14	14	"c(""AT5G09230.4"", ""AT5G09230.7"")"
AT2G21270	E007	5.04741714320356	0.101975283627021	16.1868266378676	5.73918416662195E-05	0.0131633188589994	0.0548847538543384	4.42846873242787	12.6733176522781	12.6733176522781	2	9107857	9108078	222	+	0	0	3	12	5	12	"c(""AT2G21270.4"", ""AT2G21270.2"")"
AT4G10020	E001	34.2855598068074	0.168303900031546	14.8018522506671	0.000119418151263843	0.0233546719497922	0.057888541621594	3.66027909700281	11.9683434666487	11.9683434666487	4	6268273	6268551	279	+	0	0	2	4	101	126	AT4G10020.1
AT1G09932	E012	2.60366734021611	0.130054672731526	20.9135658734047	4.80479798446148E-06	0.00168009199522737	4.82063596926315	0.66144879305341	-5.73662573830728	5.73662573830728	1	3233110	3233188	79	-	10	4	0	0	0	1	"c(""AT1G09932.1"", ""AT1G09932.3"", ""AT1G09932.4"")"
AT2G09545+AT2G44798	E026	11.3025916351889	0.0231800489141631	50.5360628487018	1.16995083051857E-12	1.95005670510801E-09	1.0104775595531	7.02874495109909	5.6082978725607	5.6082978725607	2	18469583	18470769	1187	-	1	0	16	19	10	25	AT2G44798.10
AT1G05767+AT1G22800	E012	3.99615004432009	0.0671189654108088	27.7752350023268	1.36259202135343E-07	8.02454004996454E-05	5.1617911949035	0.774291208385236	-5.48022235867533	5.48022235867533	1	8074366	8075020	655	+	10	12	0	1	0	0	AT1G05767.2
AT1G77080	E008	7.44041010891646	0.0659044773976851	27.7255486224463	1.39804101094156E-07	8.20246893056241E-05	0.96322423305422	5.97189195597204	5.2729901157027	5.2729901157027	1	28958311	28958333	23	+	0	1	10	5	16	15	"c(""AT1G77080.9"", ""AT1G77080.3"", ""AT1G77080.10"", ""AT1G77080.7"", ""AT1G77080.6"")"
AT1G20060	E016	1.76080407137744	0.161244032883703	14.5479811990897	0.000136634976250045	0.0260391025541631	3.94016686260471	0.652012960424287	-5.19426516130988	5.19426516130988	1	6952653	6952655	3	-	6	3	0	1	0	0	"c(""AT1G20060.3"", ""AT1G20060.2"", ""AT1G20060.9"")"
AT3G23480+AT3G23470	E025	19.2571196496176	0.144700205104889	16.2121145277272	5.66308056899247E-05	0.0130269147913922	1.27112205398198	7.28535131920998	5.05038250382978	5.05038250382978	3	8420427	8420495	69	+	0	1	14	17	64	23	AT3G23480.3
AT5G13590	E010	10.7372390029932	0.120842822952112	16.7707879267391	4.21776339039124E-05	0.0103237667286183	1.14399290534462	6.08959757703029	4.83329271326615	4.83329271326615	5	4378726	4379055	330	-	0	1	19	5	12	33	AT5G13590.2
AT1G73390	E018	2.24387769678728	0.14323317723215	13.2867718968836	0.000267285298493484	0.0428126549893674	3.91689613835963	0.754700322602673	-4.75508682893316	4.75508682893316	1	27594741	27594961	221	-	8	4	0	0	0	1	AT1G73390.5
AT5G01300	E001	20.6514577252884	0.343030777575041	13.8286738098616	0.000200256663178615	0.0348950020025099	15.7155076543296	3.14322134895458	-4.70155800273494	4.70155800273494	5	121483	121536	54	-	20	22	18	14	29	22	AT5G01300.1
AT3G09670	E003	2.79585975664939	0.0906354645820196	16.0805412412223	6.07046015964403E-05	0.0138420629538363	4.08612237585409	0.809410671987578	-4.67550447045097	4.67550447045097	3	2966514	2966520	7	+	8	7	1	0	0	0	AT3G09670.2
AT1G80160	E004	3.42280734152005	0.0767651257786605	18.9753973056903	1.32414873128991E-05	0.00389175510420314	4.29687081275975	0.862047876350545	-4.63923104729176	4.63923104729176	1	30151256	30151356	101	+	8	11	0	0	0	1	AT1G80160.2
AT5G35930	E002	8.2762299192389	0.0329508781968552	24.4608931107029	7.58335382661087E-07	0.000347353082937499	1.10779743288842	5.44505131405774	4.60145957610397	4.60145957610397	5	14066599	14066991	393	-	1	0	15	8	14	13	"c(""AT5G35930.3"", ""AT5G35930.4"", ""AT5G35930.2"")"
AT1G09570	E010	9.37279583400434	0.0659605186211553	16.7586417712317	4.24484908620577E-05	0.0103576962469207	1.19053860843765	5.39004746015867	4.36413125435985	4.36413125435985	1	3099423	3099660	238	-	0	1	9	16	21	10	AT1G09570.3
AT5G37500	E001	12.3783279168861	0.229797933407343	20.4775511317627	6.03347576056836E-06	0.00204814878040688	9.57983205503416	2.16571839035984	-4.31160037819111	4.31160037819111	5	14889245	14889585	341	-	32	31	0	2	0	8	AT5G37500.2
AT4G26630	E013	7.44751956138316	0.0411136101816017	38.3154584162587	6.01839987844686E-10	6.04355370357986E-07	6.80764212344988	1.56099149717915	-4.26012863842157	4.26012863842157	4	13435596	13435651	56	-	18	21	0	1	3	0	AT4G26630.2
AT5G05490	E012	2.74913325881561	0.0941572453243439	13.0403808298253	0.000304846101202814	0.0469564910969746	3.78902649303531	0.869889432541655	-4.24917623131491	4.24917623131491	5	1626850	1626962	113	+	8	7	0	0	0	1	"c(""AT5G05490.1"", ""AT5G05490.2"")"
AT1G13570+AT1G13560	E021	5.90873761641913	0.0433279696086262	16.0958964380932	6.02143710701141E-05	0.0137502939604599	1.10117799925098	4.63796051095221	4.15385458834395	4.15385458834395	1	4641546	4641554	9	-	1	0	10	9	4	13	AT1G13560.2
AT5G67340	E001	5.94825425821582	0.0588216791481784	13.2585466001715	0.000271339940188529	0.0433291990931839	1.15617129313189	4.42426763218295	3.87663159527009	3.87663159527009	5	26864395	26864625	231	+	1	0	5	12	8	11	AT5G67340.1
AT3G06160+AT3G06170	E005	6.00570716832208	0.0434009375662109	13.7774634454439	0.000205790108324349	0.0357003677178582	1.15502075727066	4.39124622165754	3.8578173023908	3.8578173023908	3	1865371	1865431	61	+	1	0	10	11	8	6	"c(""AT3G06160.4"", ""AT3G06160.5"", ""AT3G06160.3"", ""AT3G06160.2"")"
AT5G14180	E009	7.08135254115358	0.0456439046377204	26.2045240828447	3.07102214875687E-07	0.000161851039330999	1.72655026180955	6.28044630963646	3.73487254249207	3.73487254249207	5	4572570	4572680	111	-	2	2	6	4	16	15	"c(""AT5G14180.2"", ""AT5G14180.1"", ""AT5G14180.5"", ""AT5G14180.3"", ""AT5G14180.4"")"
