Name	Chr	Start	End	Strand	Cai	Parker20c	Sun	Wang	average
AT2G20585:8866403:8866574	2	8866403	8866574	+				1.0	1.0
AT2G20585:8866403:8866574	2	8866403	8866574	+				1.0	1.0
AT5G03830:1018641:1018655	5	1018641	1018655	+			1.0	0.5	0.75
AT1G74810:28107927:28107935	1	28107927	28107935	+	0.5473851859	0.6337098023			0.5905474941
AT1G20060:6952306:6952309	1	6952306	6952309	-	0.5736600122		0.5837757371		0.5787178746499999
AT2G17500:7606823:7606870	2	7606823	7606870	+	0.5075756794	0.382552092	0.4082309166	0.9111104701	0.552367289525
AT1G64300:23863287:23863291	1	23863287	23863291	+	0.5204485992		0.5647696931		0.54260914615
AT1G77890_and_AT1G77910:29293272:29293278	1	29293272	29293278	+	0.4820953445	0.5090583448	0.6023291182		0.5311609358333333
AT3G27010:9957540:9957559	3	9957540	9957559	-		0.2226096975	0.25	1.0	0.4908698991666667
AT1G01020:8571:8594	1	8571	8594	-	0.4831529104	0.3862512272	0.4822092587		0.4505377987666666
AT5G26940:9480770:9480786	5	9480770	9480786	+	0.3333333333		0.5	0.5	0.4444444444333333
AT1G65150:24205563:24205571	1	24205563	24205571	-	0.2013980527			0.6764915441	0.4389447984
AT3G20070:7006706:7006734	3	7006706	7006734	-	0.3056338617	0.4398710964	0.5688706041		0.4381251874
AT3G63460:23434944:23434950	3	23434944	23434950	-	0.3863730251	0.4354928643	0.4674456153	0.4488601144	0.43454290477499996
AT3G03770:948736:948795	3	948736	948795	-	0.1171060284			0.743824598	0.43046531320000003
AT1G16780_and_AT1G16800:5744112:5744139	1	5744112	5744139	-	0.3841958062	0.4616165065			0.42290615635
AT2G06025:2350115:2350202	2	2350115	2350202	+		0.4562005205	0.3865897383		0.4213951294
AT4G23910:12426711:12426729	4	12426711	12426729	+	0.493785822	0.4258827612	0.5595152541	0.1983146136	0.419374612725
AT5G11630_and_AT5G11640:3740877:3740942	5	3740877	3740942	+	0.3762786177	0.4456841101	0.5123261937	0.3203829022	0.41366795592499994
AT4G24230:12567132:12567144	4	12567132	12567144	-		0.2277452876	0.5868692666		0.40730727710000003
AT3G19460:6748904:6748909	3	6748904	6748909	+	0.3446487625	0.3514172482	0.4881721406		0.39474605043333333
AT4G00450:202292:202396	4	202292	202396	+			0.3620960373	0.4101658087	0.386130923
AT5G46740:18967803:18967823	5	18967803	18967823	-	0.3995714807	0.3634940829			0.3815327818
AT3G05380:1539728:1539763	3	1539728	1539763	+	0.4686773711	0.3361061545	0.3361739129		0.3803191461666667
AT3G14150:4692927:4692931	3	4692927	4692931	-	0.4034118993	0.3524326642	0.3698608169		0.3752351268
