ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"AT5G66620"	NA	chr5	+	26591323	26591442	26591323	26591389	26591519	26591578	1	42,32,45,22,69,30,15,57,33,8,7,19,22	0,1,0,0,2,1,0,0,0,0,0,0,0	65,72,48,33,19,28,25,49,14,17,4,5,24,4,17	1,2,0,0,0,0,0,0,0,0,0,0,0,0,0	202	149	1	1.0	1.0,0.959,1.0,1.0,0.962,0.957,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.98,0.964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.006
2	"AT5G66060"	NA	chr5	+	26420734	26420922	26420734	26420836	26421044	26421130	2	361,527,527,649,958,734,601,986,813,258,324,295,291	0,0,0,0,0,0,0,0,0,0,0,0,0	504,472,391,615,531,566,669,849,343,242,249,268,368,379,456	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0	235	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.994,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001
3	"AT5G65970"	NA	chr5	-	26388353	26388669	26388495	26388669	26388166	26388234	3	8,28,17,187,230,236,152,224,250,57,55,18,8	0,0,0,0,0,0,4,0,0,2,0,0,0	29,14,13,166,141,136,258,219,90,81,71,75,116,20,14	0,0,0,0,0,0,0,2,0,1,0,0,2,0,0	291	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.951,1.0,1.0,0.936,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.982,1.0,0.976,1.0,1.0,0.967,1.0,1.0	-0.004
4	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	4	0,0,1,9,7,1,1,4,2,0,0,0,0	70,86,109,217,384,262,251,358,344,46,47,41,51	0,1,0,0,2,9,6,1,4,0,0,0,0,2,2	114,111,98,149,171,193,290,263,88,31,38,40,52,64,65	230	149	1	1.0	0.0,0.0,0.006,0.026,0.012,0.002,0.003,0.007,0.004,0.0,0.0,0.0,0.0	0.0,0.006,0.0,0.0,0.008,0.029,0.013,0.002,0.029,0.0,0.0,0.0,0.0,0.02,0.02	-0.004
5	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	5	15,16,15,1,20,2,7,6,6,2,4,0,2	4,4,4,4,1,2,2,10,2,0,0,0,0	23,11,14,8,8,6,11,16,3,4,0,1,4,0,2	2,7,2,0,0,4,8,9,2,1,0,2,0,0,0	208	149	1	1.0	0.729,0.741,0.729,0.152,0.935,0.417,0.715,0.301,0.682,1.0,1.0,NA,1.0	0.892,0.53,0.834,1.0,1.0,0.518,0.496,0.56,0.518,0.741,NA,0.264,1.0,NA,1.0	-0.019
6	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	6	0,0,0,0,0,1,1,0,0,0,0,0,0	7,9,2,11,27,20,15,21,31,9,17,6,0	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0	1,5,13,13,8,9,14,22,4,10,14,14,25,4,8	170	149	1	1.0	0.0,0.0,0.0,0.0,0.0,0.042,0.055,0.0,0.0,0.0,0.0,0.0,NA	0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0
8	"AT5G64130"	NA	chr5	-	25665104	25665372	25665258	25665372	25664981	25665029	8	1070,1730,1711,3649,6024,4895,4247,6507,5695,1666,1791,923,821	0,0,4,0,0,0,0,0,0,0,0,0,0	1779,1615,1606,4408,3013,3551,4830,6334,1973,1851,1689,1536,1934,1123,1243	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0	1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0
9	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	9	0,1,0,0,0,6,0,6,3,0,0,0,0	18,20,20,23,44,38,48,46,32,18,11,4,4	0,0,0,0,0,0,2,0,0,0,2,0,0,0,0	16,29,18,23,32,15,50,34,25,13,11,22,22,12,14	200	149	0.694717298109	1.0	0.0,0.036,0.0,0.0,0.0,0.105,0.0,0.089,0.065,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0	0.013
10	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	10	10,14,9,80,150,101,85,171,89,5,13,11,2	0,0,0,15,26,24,19,24,24,2,0,0,0	15,16,11,105,99,120,155,167,72,13,17,13,19,11,38	0,0,0,26,15,17,25,35,12,4,0,1,1,6,0	184	149	0.546739731773	1.0	1.0,1.0,1.0,0.812,0.824,0.773,0.784,0.852,0.75,0.669,1.0,1.0,1.0	1.0,1.0,1.0,0.766,0.842,0.851,0.834,0.794,0.829,0.725,1.0,0.913,0.939,0.598,1.0	0.009
11	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515877	25516074	11	10,16,9,72,117,90,60,133,72,5,11,11,2	0,0,0,0,1,2,0,0,1,0,0,0,0	14,16,11,88,86,95,134,113,55,13,18,14,19,11,34	0,0,0,0,0,1,0,0,2,0,0,0,0,0,0	184	149	1	1.0	1.0,1.0,1.0,1.0,0.99,0.973,1.0,1.0,0.983,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.987,1.0,1.0,0.957,1.0,1.0,1.0,1.0,1.0,1.0	-0.0
12	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	12	3,2,0,2,2,4,2,2,1,0,2,0,0	54,99,104,227,406,352,311,398,436,55,70,35,27	7,6,3,2,4,9,24,15,4,4,2,2,2,4,0	110,104,62,282,155,190,346,292,124,38,38,66,88,54,55	298	149	2.88541637428e-05	0.00020044025746665067	0.027,0.01,0.0,0.004,0.002,0.006,0.003,0.003,0.001,0.0,0.014,0.0,0.0	0.031,0.028,0.024,0.004,0.013,0.023,0.034,0.025,0.016,0.05,0.026,0.015,0.011,0.036,0.0	-0.017
13	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571	13	0,0,0,2,6,8,2,6,6,0,1,0,0	68,99,151,849,1423,1059,887,1521,1128,228,309,82,84	0,0,0,3,2,1,2,2,0,0,0,0,0,0,0	60,74,62,1233,909,962,1125,1509,522,308,301,261,341,167,115	156	149	1	1.0	0.0,0.0,0.0,0.002,0.004,0.007,0.002,0.004,0.005,0.0,0.003,0.0,0.0	0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.002
14	"AT5G63600"	NA	chr5	-	25461394	25461727	25461399	25461727	25460683	25461310	14	0,0,0,0,0,0,1,1,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,3,1,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	154	149	1	1.0	NA,NA,NA,NA,NA,NA,0.492,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA	-0.254
15	"AT5G63090"	NA	chr5	-	25309799	25309929	25309870	25309929	25308571	25309302	15	0,0,1,2,0,2,0,0,0,0,1,2,0	1,0,2,0,0,0,0,0,0,1,0,0,0	2,2,3,0,2,0,0,1,0,2,0,5,0,0,0	0,3,0,0,0,0,0,0,0,3,0,1,0,0,0	220	149	1	1.0	0.0,NA,0.253,1.0,NA,1.0,NA,NA,NA,0.0,1.0,1.0,NA	1.0,0.311,1.0,NA,1.0,NA,NA,1.0,NA,0.311,NA,0.772,NA,NA,NA	-0.163
17	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170	17	14,17,11,355,589,355,308,520,536,75,73,34,53	0,0,0,0,9,1,0,5,1,3,4,8,0	89,86,71,366,219,372,345,541,146,83,60,94,119,53,50	0,0,0,0,0,1,1,7,2,2,0,1,2,0,0	283	149	0.233550406242	0.7034707681192255	1.0,1.0,1.0,1.0,0.972,0.995,1.0,0.982,0.996,0.929,0.906,0.691,1.0	1.0,1.0,1.0,1.0,1.0,0.995,0.995,0.976,0.975,0.956,1.0,0.98,0.969,1.0,1.0	-0.03
18	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967840	24967882	18	5,5,3,14,57,21,12,27,20,16,12,6,10	2,3,3,5,6,2,0,1,0,1,7,4,2	18,21,20,0,6,0,3,7,1,2,7,2,3,16,14	4,3,6,0,1,0,0,1,0,0,2,2,0,2,5	298	149	1	1.0	0.556,0.455,0.333,0.583,0.826,0.84,1.0,0.931,1.0,0.889,0.462,0.429,0.714	0.692,0.778,0.625,NA,0.75,NA,1.0,0.778,1.0,1.0,0.636,0.333,1.0,0.8,0.583	-0.074
19	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	19	2,5,7,6,4,10,14,8,4,2,0,4,16	2,2,0,8,11,16,11,14,17,1,0,11,2	4,1,9,1,3,3,12,15,3,0,1,4,2,2,4	7,3,5,7,9,11,18,15,2,4,0,0,3,0,0	242	149	1	1.0	0.381,0.606,1.0,0.316,0.183,0.278,0.439,0.26,0.127,0.552,NA,0.183,0.831	0.26,0.17,0.526,0.081,0.17,0.144,0.291,0.381,0.48,0.0,1.0,1.0,0.291,1.0,1.0	-0.023
