ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	0	79,76	12,12	61,23	6,5	198	169	1	1.0	0.849,0.844	0.897,0.797	-0.0
1	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	1	9,14	109,62	12,9	48,26	180	180	0.866269170762	1.0	0.076,0.184	0.2,0.257	-0.099
3	"AT5G17020"	NA	chr5	+	5597308	5597353	5597493	5597601	5597152	5597215	5597734	5597833	3	66,94	148,178	47,16	108,51	144	198	1	1.0	0.38,0.421	0.374,0.301	0.063
4	"AT5G14710"	NA	chr5	+	4746725	4746773	4746862	4746909	4746263	4746524	4747247	4747314	4	63,50	46,46	46,24	40,16	147	146	1	1.0	0.576,0.519	0.533,0.598	-0.018
6	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	6	519,538	62,38	403,177	34,21	166	117	1	1.0	0.855,0.909	0.893,0.856	0.007
7	"AT4G29940"	NA	chr4	-	14648754	14648835	14648992	14649073	14648138	14648600	14649234	14649315	7	65,69	99,58	30,28	55,31	180	180	1	1.0	0.396,0.543	0.353,0.475	0.056
8	"AT4G29940"	NA	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548	8	59,60	88,90	28,15	57,32	180	180	1	1.0	0.401,0.4	0.329,0.319	0.077
9	"AT4G27650"	NA	chr4	-	13807327	13807410	13807505	13807612	13807033	13807109	13807742	13808003	9	5,7	139,157	6,4	134,55	198	182	1	1.0	0.032,0.039	0.04,0.063	-0.016
10	"AT4G27650"	NA	chr4	-	13807327	13807410	13807505	13807573	13807033	13807109	13807742	13808031	10	79,100	139,157	60,29	134,55	167	182	1	1.0	0.382,0.41	0.328,0.365	0.049
11	"AT4G23660"	NA	chr4	-	12330119	12330255	12330916	12331378	12329530	12329652	12331637	12331679	11	14,15	46,55	10,5	41,25	198	198	1	1.0	0.233,0.214	0.196,0.167	0.042
12	"AT4G21534"	NA	chr4	+	11456850	11456951	11457224	11457297	11456635	11456758	11457422	11457509	12	172,202	88,134	178,79	78,54	198	172	1	1.0	0.629,0.567	0.665,0.56	-0.015
13	"AT4G16765"	NA	chr4	-	9431001	9431123	9431428	9431480	9430743	9430844	9431557	9431638	13	37,52	62,59	35,22	61,30	151	198	1	1.0	0.439,0.536	0.429,0.49	0.028
14	"AT4G02760"	NA	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256	14	50,67	20,41	56,35	9,6	198	198	0.0532402502903	1.0	0.714,0.62	0.862,0.854	-0.191
15	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994	15	66,78	101,124	51,30	106,60	147	168	1	1.0	0.428,0.418	0.355,0.364	0.064
16	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	16	18,21	69,57	12,4	83,50	119	152	0.248084829475	1.0	0.25,0.32	0.156,0.093	0.161
17	"AT3G59660"	NA	chr3	-	22037585	22037661	22037891	22037989	22037186	22037315	22038072	22038123	17	153,180	154,144	81,70	117,62	197	175	1	1.0	0.469,0.526	0.381,0.501	0.056
18	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	18	81,128	181,174	99,53	173,91	170	198	1	1.0	0.343,0.461	0.4,0.404	0.0
19	"AT3G56160"	NA	chr3	-	20839374	20839488	20839888	20839947	20839033	20839055	20840318	20840397	19	33,31	67,72	33,10	60,29	158	198	1	1.0	0.382,0.35	0.408,0.302	0.011
21	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	21	255,304	318,379	346,146	528,265	198	198	1	1.0	0.445,0.445	0.396,0.355	0.07
22	"AT1G75670"	NA	chr1	-	28416069	28416221	28416395	28416519	28415847	28415957	28416744	28416867	22	92,82	63,72	65,29	39,32	198	198	1	1.0	0.594,0.532	0.625,0.475	0.013
23	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	23	26,39	65,71	28,12	51,19	143	198	1	1.0	0.356,0.432	0.432,0.467	-0.055
24	"AT3G58490"	NA	chr3	+	21634032	21634136	21634434	21634550	21633717	21633848	21634643	21635106	24	331,379	333,408	389,213	372,214	198	198	1	1.0	0.498,0.482	0.511,0.499	-0.015
26	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	26	66,50	69,69	46,21	62,44	159	159	1	1.0	0.489,0.42	0.426,0.323	0.08
27	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	27	164,186	7,12	249,125	7,7	198	198	1	1.0	0.959,0.939	0.973,0.947	-0.011
28	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012	28	5,5	2,9	4,4	3,6	192	192	1	1.0	0.714,0.357	0.571,0.4	0.05
29	"AT1G07780"	NA	chr1	-	2411823	2411929	2412193	2412219	2411478	2411541	2412609	2412773	29	1,0	56,58	1,0	37,14	125	198	1	1.0	0.028,0.0	0.041,0.0	-0.007
30	"AT1G50500"	NA	chr1	-	18711195	18711273	18711707	18711767	18710801	18710909	18711849	18711954	30	111,107	132,150	95,61	106,59	159	177	1	1.0	0.483,0.443	0.499,0.535	-0.054
31	"AT1G53390"	NA	chr1	+	19918746	19918998	19919321	19919398	19917993	19918225	19919636	19919909	31	25,52	52,71	39,26	40,13	198	176	0.278671975982	1.0	0.299,0.394	0.464,0.64	-0.206
32	"AT3G01150"	NA	chr3	+	52644	52746	52888	52951	52154	52364	53042	53212	32	36,24	190,198	34,14	160,76	198	162	1	1.0	0.134,0.09	0.148,0.131	-0.028
33	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	33	15,13	237,307	34,26	229,128	133	162	0.62617693558	1.0	0.072,0.049	0.153,0.198	-0.115
34	"AT1G10600"	NA	chr1	+	3504736	3504799	3504881	3504934	3504568	3504643	3505015	3505191	34	111,132	133,138	118,76	135,68	162	152	1	1.0	0.439,0.473	0.451,0.512	-0.026
35	"AT1G10570"	NA	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	35	105,89	178,203	50,29	97,61	198	197	1	1.0	0.37,0.304	0.339,0.321	0.007
36	"AT4G08470"	NA	chr4	-	5385416	5385501	5385599	5385845	5385216	5385279	5386208	5386463	36	125,112	106,123	145,73	124,77	198	184	1	1.0	0.523,0.458	0.521,0.468	-0.004
37	"AT4G08470"	NA	chr4	-	5385599	5385845	5386208	5386463	5385416	5385501	5386571	5387058	37	102,131	90,114	173,72	118,59	198	198	1	1.0	0.531,0.535	0.595,0.55	-0.039
38	"AT1G54730"	NA	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	38	155,131	253,250	83,38	246,125	162	159	0.593049723071	1.0	0.376,0.34	0.249,0.23	0.118
39	"AT5G37478"	NA	chr5	+	14881818	14881878	14882363	14882423	14881415	14881601	14882825	14882924	39	4,13	3,13	1,2	2,2	159	159	0.851395021642	1.0	0.571,0.5	0.333,0.5	0.119
40	"AT1G03090"	NA	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795	40	1417,1666	2232,2370	1139,581	1814,836	159	192	1	1.0	0.434,0.459	0.431,0.456	0.003
41	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732602	2729851	2730027	2732740	2732887	41	28,42	7,19	13,8	10,3	198	107	0.793658109379	1.0	0.684,0.544	0.413,0.59	0.113
42	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732605	2729851	2730027	2732740	2732925	42	37,36	7,19	28,15	10,3	198	107	1	1.0	0.741,0.506	0.602,0.73	-0.042
43	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732642	2729851	2730027	2732740	2732925	43	47,53	7,19	25,16	10,3	198	107	1	1.0	0.784,0.601	0.575,0.742	0.034
44	"AT1G18070"	NA	chr1	-	6217080	6217185	6217293	6217347	6216757	6216869	6217452	6217503	44	182,212	391,374	108,46	281,106	153	198	1	1.0	0.376,0.423	0.332,0.36	0.053
46	"AT1G02610"	NA	chr1	-	554471	554613	554795	554863	553599	553677	555571	555643	46	144,168	192,203	127,48	187,93	167	198	1	1.0	0.471,0.495	0.446,0.38	0.07
47	"AT3G55080"	NA	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218	47	35,42	89,60	24,11	47,37	135	183	1	1.0	0.348,0.487	0.409,0.287	0.07
48	"AT3G55080"	NA	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218	48	1,1	89,60	1,1	47,37	150	183	1	1.0	0.014,0.02	0.025,0.032	-0.011
49	"AT5G14550"	NA	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	49	70,74	44,43	49,25	26,9	180	138	1	1.0	0.549,0.569	0.591,0.68	-0.077
50	"AT1G28395"	NA	chr1	-	9969771	9969836	9970112	9970153	9969245	9969587	9971072	9971188	50	44,41	72,46	42,21	52,23	140	164	1	1.0	0.417,0.511	0.486,0.517	-0.038
52	"AT5G55820"	NA	chr5	+	22589900	22590089	22590410	22590599	22587226	22589784	22591045	22592339	52	12,10	1,4	7,3	3,0	198	198	1	1.0	0.923,0.714	0.7,1.0	-0.031
53	"AT2G31810"	NA	chr2	+	13525750	13525834	13526000	13526153	13525173	13525242	13526422	13526509	53	1491,1590	1534,1868	985,489	1112,617	183	198	1	1.0	0.513,0.479	0.489,0.462	0.02
54	"AT2G22990"	NA	chr2	+	9787643	9787681	9787776	9787878	9787444	9787547	9788309	9788396	54	713,784	1220,1495	702,424	1374,840	137	198	1	1.0	0.458,0.431	0.425,0.422	0.021
56	"AT1G26680"	NA	chr1	+	9220739	9221127	9221504	9221925	9220293	9220635	9222006	9222125	56	0,0	0,2	4,0	0,0	198	198	1	1.0	NA,0.0	1.0,NA	-1.0
57	"AT2G36680"	NA	chr2	-	15369448	15369495	15369576	15369616	15369245	15369366	15369730	15369818	57	78,101	72,80	90,69	34,23	139	146	0.0369868689538	1.0	0.532,0.57	0.735,0.759	-0.196
58	"AT2G45240"	NA	chr2	+	18657759	18657801	18657900	18657962	18657621	18657673	18658046	18658145	58	93,83	145,140	60,33	108,34	141	161	1	1.0	0.423,0.404	0.388,0.526	-0.044
59	"AT1G72190"	NA	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169754	59	38,61	73,65	32,15	32,6	198	198	0.466803364941	1.0	0.342,0.484	0.5,0.714	-0.194
61	"AT3G02600"	NA	chr3	+	551704	551847	552436	552529	551183	551584	552930	553152	61	28,19	118,138	8,6	95,42	198	192	1	1.0	0.187,0.118	0.075,0.122	0.054
62	"AT3G24360"	NA	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	62	12,14	0,5	4,0	1,0	164	152	1	1.0	1.0,0.722	0.788,NA	0.073
63	"AT3G15950"	NA	chr3	-	5399468	5399516	5399769	5399817	5399309	5399354	5399902	5399968	63	746,889	760,908	753,290	675,347	147	147	1	1.0	0.495,0.495	0.527,0.455	0.004
64	"AT3G15950"	NA	chr3	-	5399602	5399671	5399902	5399968	5399468	5399516	5400053	5400101	64	907,1136	955,1099	815,414	857,425	165	168	1	1.0	0.492,0.513	0.492,0.498	0.007
65	"AT3G15950"	NA	chr3	-	5400053	5400101	5401245	5401293	5399602	5399671	5401387	5401453	65	457,526	0,0	365,196	1,0	147	147	1	1.0	1.0,1.0	0.997,1.0	0.002
66	"AT3G15950"	NA	chr3	-	5400053	5400101	5401245	5401293	5399902	5399968	5401387	5401453	66	459,529	712,833	365,194	697,293	147	147	1	1.0	0.392,0.388	0.344,0.398	0.019
67	"AT3G15950"	NA	chr3	-	5400654	5400702	5401245	5401293	5400483	5400558	5401387	5401453	67	456,526	609,765	365,194	560,273	147	147	1	1.0	0.428,0.407	0.395,0.415	0.012
68	"AT3G15950"	NA	chr3	-	5400945	5400993	5401245	5401293	5400791	5400854	5401387	5401453	68	456,527	458,660	365,194	449,225	147	147	1	1.0	0.499,0.444	0.448,0.463	0.016
69	"AT3G15950"	NA	chr3	-	5401079	5401145	5401387	5401453	5400945	5400993	5401542	5401590	69	682,798	700,889	586,275	671,320	165	165	1	1.0	0.493,0.473	0.466,0.462	0.019
71	"AT3G19900"	NA	chr3	-	6923454	6923511	6923747	6923882	6923060	6923195	6924281	6924560	71	419,472	160,221	479,173	161,88	198	156	1	1.0	0.674,0.627	0.701,0.608	-0.004
72	"AT1G30810"	NA	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292	72	2,3	27,44	0,0	21,13	158	198	1	1.0	0.085,0.079	0.0,0.0	0.082
