ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
138	AT5G66640		chr5	+	26600147	26600244	26600150	26600244	26599766	26600053	138	0,0	2,5	10,8,3,8	1,0,2,6	152	149	3.52606832621e-13	3.9439074228658846e-10	0.0,0.0	0.907,1.0,0.595,0.567	-0.767
221	AT5G14770		chr5	-	4772116	4772589	4772116	4772586	4772712	4772796	221	5,2	14,4	6,13,9,9	2,5,0,1	152	149	2.54578557505e-05	0.0081985704400277	0.259,0.329	0.746,0.718,1.0,0.898	-0.546
317	AT5G16280		chr5	-	5326466	5326524	5326466	5326521	5326620	5326731	317	10,17	47,52	40,22,40,54	31,28,35,44	152	149	7.45021483775e-05	0.0166661305920467	0.173,0.243	0.558,0.435,0.528,0.546	-0.309
458	AT4G30820		chr4	+	15007106	15007675	15007601	15007675	15006647	15006702	458	35,38	12,13	57,60,71,57	1,8,4,0	644	149	7.01285641459e-05	0.0166661305920467	0.403,0.403	0.93,0.634,0.804,1.0	-0.439
738	AT5G43630		chr5	+	17526961	17527594	17527240	17527594	17526728	17526859	738	2,3	5,7	2,2,10,8	1,1,0,1	428	149	2.9319876406e-05	0.0081985704400277	0.122,0.13	0.41,0.41,1.0,0.736	-0.513
922	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	922	105,99	171,161	118,96,88,130	461,484,455,609	152	149	0.000209197140463	0.0359980002473639	0.376,0.376	0.201,0.163,0.159,0.173	0.202
988	AT3G26890		chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	988	77,112	27,30	93,103,95,101	85,92,92,115	152	149	2.656884943e-05	0.0081985704400277	0.737,0.785	0.517,0.523,0.503,0.463	0.259
1126	AT4G17310		chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1126	21,22	15,34	16,25,27,27	4,1,1,5	405	149	6.49931347885e-06	0.0036347410630468	0.34,0.192	0.595,0.902,0.909,0.665	-0.502
1127	AT4G17310		chr4	-	9685185	9686024	9685185	9685454	9686443	9686616	1127	41,50	15,34	49,68,55,85	4,1,1,5	719	149	2.29936714113e-09	1.71456143156927e-06	0.362,0.234	0.717,0.934,0.919,0.779	-0.539
1220	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1220	0,7	41,30	4,2,11,4	0,0,0,1	194	149	4.4408920985e-16	9.9342756243445e-13	0.0,0.152	1.0,1.0,1.0,0.754	-0.863
1337	AT2G37060		chr2	+	15576311	15576562	15576335	15576562	15575995	15576164	1337	46,55	1,1	25,20,34,33	8,12,8,11	173	149	2.13777297294e-05	0.0081985704400277	0.975,0.979	0.729,0.589,0.785,0.721	0.271
1370	AT1G07170		chr1	+	2200329	2201049	2200462	2201049	2200173	2200219	1370	15,5	6,4	10,17,13,10	0,0,2,0	282	149	0.000109390727041	0.0222460960355197	0.569,0.398	1.0,1.0,0.774,1.0	-0.46
