ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
3	"AT5G65970"	NA	chr5	-	26388353	26388669	26388495	26388669	26388166	26388234
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081
13	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170
44	"AT5G53020"	NA	chr5	+	21498423	21499440	21498423	21498605	21499888	21500829
46	"AT5G52070"	NA	chr5	+	21162095	21163968	21162095	21162208	21164079	21164196
51	"AT5G48640"	NA	chr5	-	19725196	19725493	19725386	19725493	19724984	19725029
53	"AT5G48545"	NA	chr5	+	19676967	19677600	19676967	19677034	19677693	19677747
58	"AT5G47455"	NA	chr5	+	19251077	19251251	19251077	19251196	19251934	19252379
61	"AT5G46250"	NA	chr5	+	18757110	18757162	18757110	18757158	18757250	18757315
68	"AT5G41700"	NA	chr5	+	16676053	16676141	16676053	16676135	16676482	16676619
69	"AT5G41690"	NA	chr5	-	16674167	16674493	16674361	16674493	16674001	16674075
70	"AT5G40910"	NA	chr5	+	16395210	16395973	16395210	16395275	16396097	16397169
71	"AT5G40910"	NA	chr5	+	16395210	16396001	16395210	16395275	16396097	16397169
75	"AT5G37590"	NA	chr5	-	14928124	14928379	14928267	14928379	14927877	14927937
78	"AT5G37340"	NA	chr5	-	14789310	14789409	14789342	14789409	14789165	14789219
82	"AT5G66640"	NA	chr5	+	26599766	26600244	26599766	26600053	26600313	26600394
90	"AT5G26980"	NA	chr5	-	9488445	9488831	9488704	9488831	9488132	9488361
100	"AT5G22760"	NA	chr5	+	7575478	7576070	7575478	7575948	7576174	7576657
108	"AT5G20720"	NA	chr5	+	7014668	7014894	7014668	7014749	7015012	7015188
117	"AT5G17300"	NA	chr5	-	5691550	5691810	5691698	5691810	5691073	5691388
118	"AT5G17170"	NA	chr5	+	5650434	5650520	5650434	5650516	5650623	5650692
120	"AT5G16800"	NA	chr5	-	5524810	5525039	5524835	5525039	5524272	5524701
124	"AT5G14850"	NA	chr5	-	4802299	4802469	4802303	4802469	4801896	4802188
127	"AT5G14060"	NA	chr5	+	4538342	4538664	4538342	4538465	4538746	4538809
135	"AT5G12290"	NA	chr5	-	3976699	3976865	3976703	3976865	3976383	3976574
136	"AT5G12290"	NA	chr5	-	3976699	3976865	3976703	3976865	3976383	3976578
146	"AT5G18245"	NA	chr5	+	6029601	6030228	6029601	6029684	6030356	6030596
147	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6032777	6033342
156	"AT5G06690"	NA	chr5	-	2060871	2061047	2060980	2061047	2060442	2060749
158	"AT5G06440"	NA	chr5	-	1965923	1966041	1965951	1966041	1965756	1965849
161	"AT5G05310"	NA	chr5	+	1572080	1572149	1572080	1572144	1572220	1572322
173	"AT5G02810"	NA	chr5	-	640621	641050	640888	641050	640285	640450
176	"AT5G01470"	NA	chr5	+	192128	192227	192128	192215	192301	192769
177	"AT5G00615"	NA	chr5	-	20192202	20192507	20192409	20192507	20191537	20191970
197	"AT5G14780"	NA	chr5	+	4776732	4777646	4776732	4777129	4777733	4777933
198	"AT5G14780"	NA	chr5	+	4776732	4777646	4776732	4777129	4777758	4777933
220	"AT4G34240"	NA	chr4	+	16390445	16390846	16390445	16390689	16390931	16391028
221	"AT4G34090"	NA	chr4	-	16328564	16328663	16328568	16328663	16328397	16328479
222	"AT4G34090"	NA	chr4	-	16328564	16328663	16328568	16328663	16328397	16328493
223	"AT4G33520"	NA	chr4	+	16125440	16125525	16125440	16125521	16125625	16126150
228	"AT4G32850"	NA	chr4	+	15853669	15853960	15853669	15853753	15854043	15854241
230	"AT4G32850"	NA	chr4	+	15854164	15854241	15854164	15854211	15854362	15855186
236	"AT4G32360"	NA	chr4	+	15621970	15622256	15621970	15622084	15622382	15622499
239	"AT4G32180"	NA	chr4	-	15537900	15538429	15538345	15538429	15537558	15537816
245	"AT4G31650"	NA	chr4	+	15331877	15332352	15331877	15332327	15332438	15332563
250	"AT5G56180"	NA	chr5	-	22740073	22740326	22740255	22740326	22739912	22739974
256	"AT5G64460"	NA	chr5	-	25775305	25775568	25775482	25775568	25775044	25775106
265	"AT4G26190"	NA	chr4	-	13263656	13267002	13266897	13267002	13263299	13263363
275	"AT4G27650"	NA	chr4	-	13807505	13808031	13807742	13808031	13807327	13807410
289	"AT5G07390"	NA	chr5	-	2338618	2338736	2338622	2338736	2338420	2338528
291	"AT4G21760"	NA	chr4	+	11562967	11563227	11562967	11563223	11563298	11563401
298	"AT4G20010"	NA	chr4	+	10842918	10843031	10842918	10843027	10843223	10843329
300	"AT4G19670"	NA	chr4	-	10701503	10702174	10701833	10702174	10700919	10701365
310	"AT4G19420"	NA	chr4	-	10588210	10588431	10588377	10588431	10587985	10588091
317	"AT5G11410"	NA	chr5	-	3639251	3639722	3639495	3639722	3639031	3639168
323	"AT4G16765"	NA	chr4	-	9431712	9432434	9432238	9432434	9431557	9431638
335	"AT4G14385"	NA	chr4	-	8287516	8288148	8288078	8288148	8287347	8287430
346	"AT4G10843"	NA	chr4	+	6663380	6663722	6663380	6663444	6664264	6664348
347	"AT4G10430"	NA	chr4	-	6455374	6455883	6455796	6455883	6454812	6455241
361	"AT4G05590"	NA	chr4	+	2907631	2907897	2907631	2907730	2908016	2908090
365	"AT4G04620"	NA	chr4	-	2329889	2330590	2330059	2330590	2329401	2329457
366	"AT5G26040"	NA	chr5	-	9100528	9100695	9100598	9100695	9100377	9100428
370	"AT4G03610"	NA	chr4	+	1606396	1606577	1606396	1606461	1606671	1606781
373	"AT4G03200"	NA	chr4	+	1408158	1408858	1408158	1408589	1409307	1409386
