ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	0	0,2	119,203	0,0	100,155	283	298	1	1.0	0.0,0.01	0.0,0.0	0.005
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	1	18,29	119,203	21,18	100,155	262	298	1	1.0	0.147,0.14	0.193,0.117	-0.011
2	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	2	14,17	131,149	12,20	51,115	230	230	1	1.0	0.097,0.102	0.19,0.148	-0.069
3	"AT5G40210"	NA	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815	3	0,1	6,2	2,1	0,8	263	298	0.170348104393	1.0	0.0,0.362	1.0,0.124	-0.381
5	"AT5G17020"	NA	chr5	+	5597308	5597353	5597493	5597601	5597152	5597215	5597734	5597833	5	54,69	140,175	61,63	119,197	194	257	1	1.0	0.338,0.343	0.404,0.298	-0.01
6	"AT5G14710"	NA	chr5	+	4746725	4746773	4746862	4746909	4746263	4746524	4747247	4747314	6	42,36	66,72	32,38	42,69	197	196	1	1.0	0.388,0.332	0.431,0.354	-0.032
8	"AT5G10278"	NA	chr5	+	3227508	3227619	3228763	3228867	3226320	3226525	3229579	3229669	8	2,2	13,19	1,7	15,11	260	253	1	1.0	0.13,0.093	0.061,0.382	-0.11
9	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	9	626,774	54,51	476,788	31,25	216	167	1	1.0	0.9,0.921	0.922,0.961	-0.031
10	"AT4G37930"	NA	chr4	-	17832506	17832584	17832666	17832732	17832314	17832426	17832813	17832918	10	3775,4803	4669,5637	4284,5949	4971,7691	215	227	1	1.0	0.461,0.474	0.476,0.45	0.005
11	"AT4G30690"	NA	chr4	+	14961508	14961558	14961672	14961706	14961360	14961413	14961810	14961883	11	344,399	156,249	255,461	147,221	199	183	1	1.0	0.67,0.596	0.615,0.657	-0.003
12	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617	12	35,31	66,67	19,33	61,43	188	206	1	1.0	0.368,0.336	0.254,0.457	-0.004
13	"AT4G23660"	NA	chr4	-	12330119	12330255	12330916	12331378	12329530	12329652	12331637	12331679	13	14,24	51,94	9,21	58,89	298	285	1	1.0	0.208,0.196	0.129,0.184	0.046
14	"AT4G16860"	NA	chr4	-	9490478	9490811	9490994	9492072	9489967	9490378	9495230	9495837	14	134,219	100,144	216,306	143,209	298	298	1	1.0	0.573,0.603	0.602,0.594	-0.01
17	"AT4G10030"	NA	chr4	-	6271156	6271222	6271406	6271508	6270915	6271028	6271584	6271637	17	309,434	212,234	295,436	169,240	251	215	1	1.0	0.555,0.614	0.599,0.609	-0.019
18	"AT4G02760"	NA	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256	18	47,68	22,31	66,113	5,33	251	260	0.295407759917	1.0	0.689,0.694	0.932,0.78	-0.165
19	"AT4G01290"	NA	chr4	-	539944	540029	540446	540863	538540	539878	541483	541764	19	342,414	298,355	278,414	225,418	298	234	1	1.0	0.474,0.478	0.492,0.437	0.011
20	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994	20	70,90	83,95	60,113	91,135	197	218	1	1.0	0.483,0.512	0.422,0.481	0.046
21	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	21	43,60	103,128	44,62	108,164	169	202	1	1.0	0.333,0.359	0.327,0.311	0.027
22	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	22	95,119	226,340	94,165	266,426	220	290	1	1.0	0.357,0.316	0.318,0.338	0.009
24	"AT5G13960"	NA	chr5	+	4502388	4502443	4502582	4502689	4502154	4502193	4502798	4502975	24	29,19	33,34	22,13	40,36	204	256	0.882415326092	1.0	0.524,0.412	0.408,0.312	0.108
25	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	25	423,655	460,742	554,763	778,963	298	298	1	1.0	0.479,0.469	0.416,0.442	0.045
26	"AT5G35180"	NA	chr5	+	13425138	13425192	13425403	13425469	13424965	13425040	13425637	13425696	26	107,156	132,146	124,159	115,160	203	215	1	1.0	0.462,0.531	0.533,0.513	-0.026
27	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	27	30,40	81,103	41,64	64,87	193	266	0.356403745523	1.0	0.338,0.349	0.469,0.503	-0.142
28	"AT2G04900"	NA	chr2	+	1722669	1722740	1722824	1722905	1722480	1722590	1722989	1723033	28	123,114	528,687	108,107	447,681	220	230	1	1.0	0.196,0.148	0.202,0.141	0.001
29	"AT2G04900"	NA	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723976	29	865,1099	156,210	759,1156	144,268	230	193	1	1.0	0.823,0.815	0.816,0.784	0.019
31	"AT1G60640"	NA	chr1	-	22337857	22337917	22338466	22338526	22337700	22337766	22338617	22338683	31	54,61	61,87	41,64	55,87	209	209	1	1.0	0.47,0.412	0.427,0.424	0.015
33	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	33	55,58	64,108	41,61	54,95	209	209	1	1.0	0.462,0.349	0.432,0.391	-0.006
34	"AT2G41100"	NA	chr2	+	17138306	17138573	17138673	17138943	17138064	17138206	17139044	17139617	34	1710,2654	1754,2673	1441,2186	1751,2402	298	298	1	1.0	0.494,0.498	0.451,0.476	0.032
35	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	35	327,418	7,15	413,636	8,28	298	298	1	1.0	0.979,0.965	0.981,0.958	0.002
36	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012	36	7,0	13,0	4,7	6,6	242	242	1	1.0	0.35,NA	0.4,0.538	-0.119
37	"AT4G08690"	NA	chr4	-	5552404	5552581	5552647	5552727	5552231	5552330	5553039	5553216	37	25,29	185,213	23,10	98,161	229	298	1	1.0	0.15,0.151	0.234,0.075	-0.004
38	"AT4G10890"	NA	chr4	+	6691527	6691587	6692078	6692147	6691335	6691407	6692340	6692418	38	46,65	47,49	20,31	24,39	209	218	1	1.0	0.505,0.58	0.465,0.453	0.083
39	"AT3G12520"	NA	chr3	-	3969770	3969831	3969970	3970036	3969502	3969630	3970241	3970349	39	15,20	17,19	7,11	14,10	215	210	1	1.0	0.463,0.507	0.328,0.518	0.062
40	"AT1G55690"	NA	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20813061	40	59,42	55,49	32,54	30,58	273	247	1	1.0	0.493,0.437	0.491,0.457	-0.009
41	"AT5G48335"	NA	chr5	+	19588227	19588259	19588608	19588740	19587871	19588159	19589126	19589177	41	86,153	460,582	87,123	371,591	181	281	1	1.0	0.225,0.29	0.267,0.244	0.002
42	"AT3G01150"	NA	chr3	+	52644	52746	52888	52951	52154	52364	53042	53212	42	34,50	234,298	38,85	184,268	251	212	1	1.0	0.109,0.124	0.149,0.211	-0.064
43	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	43	25,42	339,475	62,80	311,541	183	212	1	1.0	0.079,0.093	0.188,0.146	-0.081
44	"AT1G10570"	NA	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	44	108,126	191,299	63,94	109,191	252	247	1	1.0	0.357,0.292	0.362,0.325	-0.019
45	"AT1G66880"	NA	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921	45	0,0	26,22	6,6	18,25	298	298	0.082338493504	1.0	0.0,0.0	0.25,0.194	-0.222
46	"AT4G08470"	NA	chr4	-	5385599	5385845	5386208	5386463	5385416	5385501	5386571	5387058	46	165,297	132,236	260,396	181,284	298	298	1	1.0	0.556,0.557	0.59,0.582	-0.029
47	"AT1G54730"	NA	chr1	+	20427125	20427210	20427299	20427343	20426964	20427045	20428048	20428111	47	172,181	40,58	144,210	29,38	234	193	1	1.0	0.78,0.72	0.804,0.82	-0.062
48	"AT1G54730"	NA	chr1	+	20427299	20427343	20428048	20428111	20427125	20427210	20428387	20428447	48	185,271	163,224	205,391	103,144	193	212	0.0646091359554	1.0	0.555,0.571	0.686,0.749	-0.155
49	"AT1G54730"	NA	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	49	130,161	156,250	69,125	187,336	212	209	0.139682928888	1.0	0.451,0.388	0.267,0.268	0.152
50	"AT3G28100"	NA	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602	50	82,111	38,66	67,77	41,49	298	298	1	1.0	0.683,0.627	0.62,0.611	0.04
51	"AT5G37478"	NA	chr5	+	14881818	14881878	14882363	14882423	14881415	14881601	14882825	14882924	51	3,6	3,6	2,5	4,7	209	209	0.817857513111	1.0	0.5,0.5	0.333,0.417	0.125
52	"AT4G06676"	NA	chr4	+	3899167	3899233	3899704	3899846	3898810	3899089	3899967	3900020	52	60,121	107,193	63,87	81,146	215	291	1	1.0	0.431,0.459	0.513,0.446	-0.035
53	"AT1G03090"	NA	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795	53	1418,2097	2440,3518	1146,1711	2044,2977	209	242	1	1.0	0.402,0.408	0.394,0.4	0.008
54	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732602	2729851	2730027	2732740	2732887	54	70,67	23,24	35,60	17,20	298	157	1	1.0	0.616,0.595	0.52,0.612	0.039
55	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732605	2729851	2730027	2732740	2732925	55	92,116	23,24	67,93	17,20	298	157	1	1.0	0.678,0.718	0.675,0.71	0.005
56	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732642	2729851	2730027	2732740	2732925	56	96,138	23,24	60,101	17,20	298	157	1	1.0	0.687,0.752	0.65,0.727	0.031
57	"AT1G74520"	NA	chr1	-	28008605	28008728	28008823	28008850	28008279	28008523	28009094	28009269	57	53,75	296,338	33,56	104,200	176	272	1	1.0	0.217,0.255	0.329,0.302	-0.08
58	"AT5G42890"	NA	chr5	-	17195275	17195378	17195642	17195703	17194169	17194539	17195784	17196093	58	672,876	958,1102	462,686	594,975	210	252	1	1.0	0.457,0.488	0.483,0.458	0.002
59	"AT3G19895"	NA	chr3	-	6918600	6918682	6919068	6919130	6918439	6918497	6919505	6919680	59	55,68	56,61	33,48	39,61	211	231	1	1.0	0.518,0.55	0.481,0.463	0.062
61	"AT1G02610"	NA	chr1	-	554471	554613	554795	554863	553599	553677	555571	555643	61	155,271	334,470	153,241	268,443	217	291	1	1.0	0.384,0.436	0.434,0.422	-0.018
