ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67540"	NA	chr5	-	26945172	26945782	26945172	26945699	26946015	26946377	0	39,40	40,65	22,11	41,20	182	99	1	1.0	0.347,0.251	0.226,0.23	0.071
1	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785917	26785989	1	32,28	0,2	34,10	0,0	198	99	1	1.0	1.0,0.875	1.0,1.0	-0.062
2	"AT5G66850"	NA	chr5	-	26695567	26696171	26695567	26696142	26696300	26696380	2	11,14	145,154	8,3	105,59	128	99	1	1.0	0.055,0.066	0.056,0.038	0.013
3	"AT5G66720"	NA	chr5	-	26639669	26639979	26639669	26639970	26640048	26640545	3	499,458	40,46	418,191	16,10	108	99	1	1.0	0.92,0.901	0.96,0.946	-0.042
4	"AT5G66240"	NA	chr5	+	26467906	26467956	26467912	26467956	26467723	26467808	4	717,739	20,43	512,299	31,12	105	99	1	1.0	0.971,0.942	0.94,0.959	0.007
6	"AT5G66060"	NA	chr5	+	26420112	26420210	26420118	26420210	26419763	26419848	6	233,239	0,6	150,68	0,0	105	99	1	1.0	1.0,0.974	1.0,1.0	-0.013
7	"AT5G65930"	NA	chr5	-	26375107	26375207	26375107	26375204	26375292	26375859	7	88,90	0,0	48,29	0,1	102	99	1	1.0	1.0,1.0	1.0,0.966	0.017
8	"AT5G65640"	NA	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422	8	201,218	0,0	127,64	2,0	109	99	1	1.0	1.0,1.0	0.983,1.0	0.008
10	"AT5G65210"	NA	chr5	+	26059313	26059394	26059317	26059394	26059019	26059201	10	1005,1309	2,1	704,348	2,0	103	99	1	1.0	0.998,0.999	0.997,1.0	0.0
11	"AT5G65060"	NA	chr5	+	25990083	25990183	25990116	25990183	25989941	25990003	11	59,44	7,14	27,14	2,0	132	99	0.0741033057456	1.0	0.863,0.702	0.91,1.0	-0.173
12	"AT5G63950"	NA	chr5	-	25596101	25596230	25596101	25596179	25596486	25596541	12	97,107	0,2	51,28	0,0	150	99	1	1.0	1.0,0.972	1.0,1.0	-0.014
13	"AT5G63870"	NA	chr5	-	25562512	25562924	25562512	25562913	25563158	25563316	13	35,22	214,262	15,12	166,78	110	99	1	1.0	0.128,0.07	0.075,0.122	0.001
14	"AT5G63680"	NA	chr5	+	25490313	25490764	25490474	25490764	25490064	25490165	14	11,1	339,424	9,4	187,117	198	99	1	1.0	0.016,0.001	0.023,0.017	-0.011
15	"AT5G63670"	NA	chr5	+	25488992	25489054	25488997	25489054	25488635	25488691	15	473,453	3,1	382,189	3,1	104	99	1	1.0	0.993,0.998	0.992,0.994	0.003
17	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087	17	781,884	4,12	709,374	5,2	106	99	1	1.0	0.995,0.986	0.993,0.994	-0.003
18	"AT5G63550"	NA	chr5	+	25446543	25446612	25446546	25446612	25446392	25446473	18	21,12	99,72	6,2	50,26	102	99	1	1.0	0.171,0.139	0.104,0.069	0.069
