ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G59770"	NA	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968
2	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632
3	"AT5G40210"	NA	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815
4	"AT5G37780"	NA	chr5	-	15005346	15005424	15005884	15005929	15004526	15005142	15006041	15006205
5	"AT5G17020"	NA	chr5	+	5597308	5597353	5597493	5597601	5597152	5597215	5597734	5597833
6	"AT5G14710"	NA	chr5	+	4746725	4746773	4746862	4746909	4746263	4746524	4747247	4747314
7	"AT5G10510"	NA	chr5	+	3318742	3318811	3318812	3318821	3317438	3317521	3318903	3318992
8	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210
9	"AT4G30690"	NA	chr4	+	14961508	14961558	14961672	14961706	14961360	14961413	14961810	14961883
10	"AT4G29940"	NA	chr4	-	14648754	14648835	14648992	14649073	14648138	14648600	14649234	14649315
11	"AT4G29940"	NA	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548
12	"AT4G27650"	NA	chr4	-	13807327	13807410	13807505	13807612	13807033	13807109	13807742	13808003
13	"AT4G27650"	NA	chr4	-	13807327	13807410	13807505	13807573	13807033	13807109	13807742	13808031
14	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617
15	"AT4G23660"	NA	chr4	-	12330119	12330255	12330916	12331378	12329530	12329652	12331637	12331679
16	"AT4G21534"	NA	chr4	+	11456850	11456951	11457224	11457297	11456635	11456758	11457422	11457509
17	"AT4G17040"	NA	chr4	-	9586928	9587042	9587373	9587451	9586702	9586811	9587618	9587745
18	"AT4G16765"	NA	chr4	-	9431001	9431123	9431428	9431480	9430743	9430844	9431557	9431638
19	"AT4G02760"	NA	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256
20	"AT4G00180"	NA	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427
21	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994
22	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
23	"AT3G59660"	NA	chr3	-	22037585	22037661	22037891	22037989	22037186	22037315	22038072	22038123
24	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
25	"AT3G56160"	NA	chr3	-	20839374	20839488	20839888	20839947	20839033	20839055	20840318	20840397
26	"AT3G55860"	NA	chr3	-	20728292	20728332	20728402	20728476	20728133	20728199	20728557	20728766
27	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032
28	"AT1G75670"	NA	chr1	-	28416069	28416221	28416395	28416519	28415847	28415957	28416744	28416867
29	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570
30	"AT3G58490"	NA	chr3	+	21634032	21634136	21634434	21634550	21633717	21633848	21634643	21635106
31	"AT1G62305"	NA	chr1	-	23028385	23028457	23028541	23028642	23028186	23028265	23028726	23028843
32	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22337700	22337766	22338617	22338683
33	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683
34	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055
35	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012
36	"AT1G07780"	NA	chr1	-	2411823	2411929	2412193	2412219	2411478	2411541	2412609	2412773
37	"AT1G50500"	NA	chr1	-	18711195	18711273	18711707	18711767	18710801	18710909	18711849	18711954
38	"AT3G12520"	NA	chr3	-	3969770	3969831	3969970	3970036	3969502	3969630	3970241	3970349
39	"AT1G55690"	NA	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20813061
40	"AT1G53390"	NA	chr1	+	19918746	19918998	19919321	19919398	19917993	19918225	19919636	19919909
41	"AT5G48335"	NA	chr5	+	19588227	19588259	19588608	19588740	19587871	19588159	19589126	19589177
42	"AT3G01150"	NA	chr3	+	52644	52746	52888	52951	52154	52364	53042	53212
43	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643
44	"AT1G10600"	NA	chr1	+	3504736	3504799	3504881	3504934	3504568	3504643	3505015	3505191
45	"AT1G10570"	NA	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490
46	"AT1G66880"	NA	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921
47	"AT4G08470"	NA	chr4	-	5385416	5385501	5385599	5385845	5385216	5385279	5386208	5386463
48	"AT4G08470"	NA	chr4	-	5385599	5385845	5386208	5386463	5385416	5385501	5386571	5387058
49	"AT1G54730"	NA	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842
50	"AT1G02145"	NA	chr1	+	405647	405765	405892	405951	405429	405485	406060	406132
51	"AT5G37478"	NA	chr5	+	14881818	14881878	14882363	14882423	14881415	14881601	14882825	14882924
52	"AT1G03090"	NA	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795
53	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732602	2729851	2730027	2732740	2732887
54	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732605	2729851	2730027	2732740	2732925
55	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732642	2729851	2730027	2732740	2732925
56	"AT1G18070"	NA	chr1	-	6217080	6217185	6217293	6217347	6216757	6216869	6217452	6217503
