gene	event	dpsi_Parker	p_val_Parker	dpsi_Sun	p_val_Sun
AT1G01020	A5:1:8464-8571:8464-8594:-	0.3543740524	0.023976024	0.4822092587	0.0014985015
AT1G02260	RI:1:441398:442620-442718:442972:-	0.1741729092	0.0354645355	0.173049738	0.0434565435
AT1G02500	A3:1:518378-519033:518378-519036:+	0.0660980174	0.026973027	0.0601761621	0.021978022
AT1G03090	SE:1:741065-741148:741207-741509:+	-0.0453974531	0.045954046	-0.1555550759	0.010989011
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4758888265	0.003996004	-0.2713843653	0.005994006
AT1G07700	A5:1:2379798-2380104:2379729-2380104:+	0.1862866655	0.0174825175	0.2773992903	0.002997003
AT1G07820	RI:1:2421089:2421783-2421903:2422066:-	0.0975119676	0.03996004	0.2056933368	0.0004995005
AT1G08040	A5:1:2497998-2498480:2497998-2498484:-	-0.3320780281	0.0224775225	-0.4626234342	0.0074925075
AT1G08570	A5:1:2713010-2713096:2712985-2713096:+	-0.1494459851	0.0204795205	-0.0980943204	0.0484515485
AT1G10590	A5:1:3503004-3503370:3503004-3503374:-	0.1458739989	0.018981019	0.1811685258	0.002997003
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2527152791	0.011988012	-0.2841929189	0.008991009
AT1G13940	RI:1:4766396:4766470-4766594:4766852:-	0.1720746221	0.0474525475	0.310897153	0.03996004
AT1G14710	RI:1:5064148:5064811-5064972:5065303:-	-0.1040464176	0.046953047	-0.1163593443	0.0174825175
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1944875549	0.0074925075	-0.2298942641	0.002997003
AT1G15490	A5:1:5322960-5323153:5322960-5323158:-	-0.4390120324	0.033966034	-0.496009323	0.03996004
AT1G17130	A3:1:5854461-5854865:5854461-5854886:+	-0.1452215956	0.0244755245	-0.0733617316	0.0474525475
AT1G18660	RI:1:6420975:6421303-6421398:6421501:+	-0.290389128	0.004995005	-0.2720904471	0.0
AT1G18950	A5:1:6550681-6550763:6550669-6550763:+	-0.5265052104	0.002997003	-0.7850327767	0.000999001
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4188939893	0.0004995005	-0.4390448702	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.2093016006	0.015984016	-0.1843193051	0.0054945055
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.1056323629	0.013986014	0.1622542076	0.0074925075
AT1G27770	RI:1:9673281:9675232-9675309:9675363:-	-0.1698542612	0.023976024	-0.1831383769	0.025974026
AT1G27900	RI:1:9716179:9716339-9716538:9716607:-	-0.3177932269	0.0224775225	-0.2852917462	0.011988012
AT1G29040_and_AT1G29041	A3:1:10134777-10135051:10134777-10135058:+	-0.4530091203	0.0014985015	-0.2727669858	0.0114885115
AT1G29040_and_AT1G29041	A5:1:10134797-10135051:10134777-10135051:+	0.2557794664	0.0112387612	0.2243280569	0.0114885115
AT1G29850	A3:1:10448745-10448846:10448745-10448849:+	-0.1296606766	0.044955045	-0.1325236708	0.0224775225
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.1248838738	0.0314685315	-0.1112566472	0.014985015
AT1G31420	A3:1:11252680-11252756:11252680-11252759:+	0.1456616541	0.026973027	0.1705310797	0.01998002
AT1G35515_and_AT1G35516	A5:1:13078929-13079305:13078915-13079305:+	-0.1681073611	0.010989011	-0.1766520058	0.010989011
AT1G53310	A5:1:19888088-19888229:19888088-19888305:-	-0.1006344912	0.0444555445	-0.1042542542	0.022977023
AT1G54030	RI:1:20168777:20169029-20169100:20169684:+	-0.1324844379	0.0234765235	-0.1620554882	0.00999001
AT1G54310	A5:1:20274561-20274642:20274535-20274642:+	-0.2145225416	0.0194805195	-0.1460131659	0.0464535465
AT1G55340	A3:1:20652822-20652902:20652822-20652932:+	0.1192840844	0.038961039	0.1403361751	0.0084915085
AT1G59890	A5:1:22046241-22046502:22046226-22046502:+	0.2944997718	0.0314685315	0.3713942134	0.0404595405
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.280385126	0.000999001	-0.2568373866	0.0
AT1G68820	A5:1:25866882-25866962:25866864-25866962:+	-0.2317119085	0.014985015	-0.2750922913	0.010989011
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.113405219	0.0464535465	-0.2477719115	0.0094905095
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.115815048	0.0374625375	-0.0734202423	0.0412087912
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1905245461	0.026973027	0.2377289225	0.0044955045
AT1G77890_and_AT1G77910	A5:1:29293278-29293401:29293272-29293401:+	0.4052380099	0.0194805195	0.6023291182	0.005994006
AT1G77930	RI:1:29302026:29302163-29302249:29302712:+	-0.1516920203	0.0174825175	-0.0872080107	0.025974026
AT1G79190	A5:1:29792228-29792309:29792210-29792309:+	-0.545596066	0.001998002	-0.6030391521	0.008991009
