ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	3	1,2,2,0,3,1	60,108,87,63,82,102	0,0,5,2,0,1	52,36,47,80,85,28	98	49	1	1.0	0.008,0.009,0.011,0.0,0.018,0.005	0.0,0.0,0.051,0.012,0.0,0.018	-0.005
4	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	4	1,12,2,3,5,4	3,1,1,2,8,2	7,6,3,9,11,3	0,0,3,6,7,0	98	49	0.218754912853	1.0	0.143,0.857,0.5,0.429,0.238,0.5	1.0,1.0,0.333,0.429,0.44,1.0	-0.256
5	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	5	0,0,1,0,0,0	3,4,6,7,8,10	1,0,0,0,0,0	2,1,3,3,3,1	70	49	1	1.0	0.0,0.0,0.104,0.0,0.0,0.0	0.259,0.0,0.0,0.0,0.0,0.0	-0.026
7	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	7	0,0,0,0,1,0	6,23,8,13,7,14	0,0,0,0,0,0	8,5,7,16,7,6	98	49	1	1.0	0.0,0.0,0.0,0.0,0.067,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.011
8	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	8	58,89,82,53,115,53	0,7,5,3,8,3	66,69,81,109,109,37	5,3,7,7,4,3	84	49	1	1.0	1.0,0.881,0.905,0.912,0.893,0.912	0.885,0.931,0.871,0.901,0.941,0.878	0.016
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515877	25516074	9	56,87,80,49,108,52	0,0,0,0,0,0	66,65,77,102,101,36	0,0,1,0,0,0	84	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.978,1.0,1.0,1.0	0.004
10	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	10	4,2,3,1,0,0	218,377,337,299,369,417	3,4,9,21,13,4	267,152,186,330,274,117	98	49	1	1.0	0.009,0.003,0.004,0.002,0.0,0.0	0.006,0.013,0.024,0.031,0.023,0.017	-0.016
11	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571	11	1,5,4,0,2,0	249,431,318,240,461,348	1,1,1,0,3,0	369,251,297,333,424,154	56	49	1	1.0	0.004,0.01,0.011,0.0,0.004,0.0	0.002,0.003,0.003,0.0,0.006,0.0	0.003
14	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170	14	124,253,144,124,172,186	0,1,0,0,1,0	140,79,121,115,208,52	0,0,1,0,2,1	98	49	1	1.0	1.0,0.992,1.0,1.0,0.989,1.0	1.0,1.0,0.984,1.0,0.981,0.963	0.009
15	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967840	24967882	15	5,26,7,7,17,3	0,0,0,0,1,0	0,4,0,0,2,0	0,1,0,0,0,0	98	49	1	1.0	1.0,1.0,1.0,1.0,0.895,1.0	NA,0.667,NA,NA,1.0,NA	0.149
16	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	16	9,12,13,13,8,13	5,3,5,2,10,4	5,6,3,24,11,5	5,5,8,2,4,1	98	49	1	1.0	0.474,0.667,0.565,0.765,0.286,0.619	0.333,0.375,0.158,0.857,0.579,0.714	0.06
17	"AT5G61960"	NA	chr5	-	24883691	24883955	24883907	24883955	24883550	24883573	17	0,1,1,2,1,4	8,4,7,12,9,6	1,2,1,6,3,0	7,2,9,18,14,4	98	49	1	1.0	0.0,0.111,0.067,0.077,0.053,0.25	0.067,0.333,0.053,0.143,0.097,0.0	-0.022
18	"AT5G61960"	NA	chr5	-	24883691	24884174	24883872	24884174	24883550	24883573	18	0,0,1,0,1,5	3,0,0,0,0,0	1,2,6,1,5,0	0,0,0,0,0,0	98	49	1	1.0	0.0,NA,1.0,NA,1.0,1.0	1.0,1.0,1.0,1.0,1.0,NA	-0.25
19	"AT5G61960"	NA	chr5	-	24883872	24884174	24883907	24884174	24883550	24883573	19	3,1,1,2,1,0	8,4,7,12,9,6	0,2,0,6,3,0	7,2,9,18,14,4	84	49	1	1.0	0.179,0.127,0.077,0.089,0.061,0.0	0.0,0.368,0.0,0.163,0.111,0.0	-0.018
20	"AT5G61540"	NA	chr5	+	24745459	24745631	24745459	24745625	24745717	24746276	20	13,28,28,24,30,26	0,0,0,0,0,0	30,15,18,12,32,7	1,0,0,1,1,0	55	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.964,1.0,1.0,0.914,0.966,1.0	0.026
21	"AT5G61330"	NA	chr5	-	24660319	24661241	24660904	24661241	24660022	24660120	21	4,11,4,2,6,1	14,31,36,15,25,32	6,1,4,2,8,0	27,17,12,39,34,16	98	49	1	1.0	0.125,0.151,0.053,0.062,0.107,0.015	0.1,0.029,0.143,0.025,0.105,0.0	0.019
22	"AT5G60120"	NA	chr5	+	24209970	24210095	24209970	24210074	24210295	24210409	22	105,158,135,140,170,181	9,20,13,10,12,11	114,104,100,191,156,50	21,18,14,31,18,4	70	49	1	1.0	0.891,0.847,0.879,0.907,0.908,0.92	0.792,0.802,0.833,0.812,0.858,0.897	0.06
23	"AT5G60120"	NA	chr5	+	24209970	24210161	24209970	24210074	24210295	24210409	23	45,66,69,68,61,65	9,20,13,10,12,11	41,46,38,90,64,18	21,18,14,31,18,4	98	49	0.423307356367	1.0	0.714,0.623,0.726,0.773,0.718,0.747	0.494,0.561,0.576,0.592,0.64,0.692	0.124
24	"AT5G60120"	NA	chr5	+	24209970	24210161	24209970	24210095	24210295	24210409	24	7,6,4,2,4,8	63,92,67,73,110,121	2,5,6,14,6,1	73,58,63,107,94,32	98	49	1	1.0	0.053,0.032,0.029,0.014,0.018,0.032	0.014,0.041,0.045,0.061,0.031,0.015	-0.005
25	"AT5G59710"	NA	chr5	+	24057377	24058171	24057377	24057584	24058279	24058388	25	32,72,59,58,52,65	0,0,0,0,0,0	27,26,23,57,45,24	0,0,0,0,1,0	98	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.957,1.0	0.007
26	"AT5G59610"	NA	chr5	+	24014317	24014350	24014317	24014346	24014483	24014578	26	2,11,4,3,8,5	0,0,0,0,0,3	3,6,3,6,5,3	1,1,0,7,0,1	53	49	1	1.0	1.0,1.0,1.0,1.0,1.0,0.606	0.735,0.847,1.0,0.442,1.0,0.735	0.141
27	"AT5G59480"	NA	chr5	-	23980392	23980480	23980395	23980480	23980020	23980299	27	47,41,47,50,46,41	0,0,0,0,1,3	25,15,34,60,57,17	1,0,0,1,0,0	52	49	1	1.0	1.0,1.0,1.0,1.0,0.977,0.928	0.959,1.0,1.0,0.983,1.0,1.0	-0.006
28	"AT5G59480"	NA	chr5	-	23981278	23981590	23981422	23981590	23981095	23981174	28	8,5,3,6,5,4	14,21,24,20,24,25	3,0,6,0,5,0	12,14,16,31,18,4	98	49	1	1.0	0.222,0.106,0.059,0.13,0.094,0.074	0.111,0.0,0.158,0.0,0.122,0.0	0.049
