ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67540"	NA	chr5	-	26945172	26945782	26945172	26945699	26946015	26946377	0	20,15,16,11,16,17	14,17,16,15,24,24	13,1,17,24,19,3	14,14,26,31,25,8	232	149	1	1.0	0.478,0.362,0.391,0.32,0.3,0.313	0.374,0.044,0.296,0.332,0.328,0.194	0.099
2	"AT5G66850"	NA	chr5	-	26695567	26696171	26695567	26696142	26696300	26696380	2	1,6,7,4,8,5	52,97,72,80,74,84	5,3,3,3,4,0	62,53,55,76,90,33	178	149	1	1.0	0.016,0.049,0.075,0.04,0.083,0.047	0.063,0.045,0.044,0.032,0.036,0.0	0.015
3	"AT5G66720"	NA	chr5	-	26639669	26639979	26639669	26639970	26640048	26640545	3	210,292,252,228,306,238	19,28,23,25,28,18	276,165,218,248,272,97	21,14,10,16,17,8	158	149	1	1.0	0.912,0.908,0.912,0.896,0.912,0.926	0.925,0.917,0.954,0.936,0.938,0.92	-0.021
4	"AT5G66240"	NA	chr5	+	26467906	26467956	26467912	26467956	26467723	26467808	4	214,328,273,253,362,286	5,12,7,10,14,15	215,190,205,267,291,124	18,7,13,17,14,2	155	149	1	1.0	0.976,0.963,0.974,0.961,0.961,0.948	0.92,0.963,0.938,0.938,0.952,0.983	0.015
6	"AT5G66060"	NA	chr5	+	26420112	26420210	26420118	26420210	26419763	26419848	6	75,127,127,91,136,116	0,0,0,0,0,2	72,76,76,99,124,34	0,0,0,0,0,0	155	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.982	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
7	"AT5G65930"	NA	chr5	-	26375107	26375207	26375107	26375204	26375292	26375859	7	43,49,40,57,44,55	0,0,0,1,1,1	33,22,31,68,38,11	1,0,0,0,0,0	152	149	1	1.0	1.0,1.0,1.0,0.982,0.977,0.982	0.97,1.0,1.0,1.0,1.0,1.0	-0.005
8	"AT5G65640"	NA	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422	8	73,83,80,66,91,123	1,1,0,0,0,0	55,37,58,117,101,27	0,0,0,3,0,0	159	149	1	1.0	0.986,0.987,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.973,1.0,1.0	0.0
9	"AT5G65460"	NA	chr5	-	26164301	26164497	26164301	26164488	26164590	26164646	9	20,28,26,41,28,38	0,2,0,0,0,0	22,16,27,27,49,11	0,0,0,0,0,0	158	149	1	1.0	1.0,0.93,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.012
10	"AT5G65210"	NA	chr5	+	26059313	26059394	26059317	26059394	26059019	26059201	10	474,739,481,344,587,612	0,0,0,0,1,0	362,225,286,373,513,159	0,3,1,0,1,0	153	149	1	1.0	1.0,1.0,1.0,1.0,0.998,1.0	1.0,0.986,0.996,1.0,0.998,1.0	0.003
11	"AT5G65060"	NA	chr5	+	25990083	25990183	25990116	25990183	25989941	25990003	11	16,23,22,18,30,26	3,9,5,5,5,11	12,9,7,11,18,4	4,4,4,3,11,0	182	149	1	1.0	0.814,0.677,0.783,0.747,0.831,0.659	0.711,0.648,0.589,0.75,0.573,1.0	0.04
12	"AT5G63950"	NA	chr5	-	25596101	25596230	25596101	25596179	25596486	25596541	12	21,32,36,34,40,55	0,2,0,0,0,0	17,11,21,33,30,10	0,0,0,0,0,0	200	149	1	1.0	1.0,0.923,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
13	"AT5G63870"	NA	chr5	-	25562512	25562924	25562512	25562913	25563158	25563316	13	9,16,12,4,12,13	90,115,119,100,135,128	7,4,5,17,17,8	110,64,86,109,157,41	160	149	1	1.0	0.085,0.115,0.086,0.036,0.076,0.086	0.056,0.055,0.051,0.127,0.092,0.154	-0.009
14	"AT5G63680"	NA	chr5	+	25490313	25490764	25490474	25490764	25490064	25490165	14	2,2,4,3,7,1	77,145,119,100,138,146	2,2,3,6,3,7	100,62,64,115,92,37	298	149	1	1.0	0.013,0.007,0.017,0.015,0.025,0.003	0.01,0.016,0.023,0.025,0.016,0.086	-0.016
15	"AT5G63670"	NA	chr5	+	25488992	25489054	25488997	25489054	25488635	25488691	15	167,250,243,179,259,219	0,4,0,2,3,0	200,161,180,257,278,83	2,0,1,1,0,2	154	149	1	1.0	1.0,0.984,1.0,0.989,0.988,1.0	0.99,1.0,0.994,0.996,1.0,0.976	0.001
16	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087	16	309,506,387,326,551,380	5,2,4,4,7,6	410,300,337,405,545,186	1,1,2,4,4,0	156	149	1	1.0	0.983,0.996,0.989,0.987,0.987,0.984	0.997,0.997,0.994,0.99,0.992,1.0	-0.007
17	"AT5G63550"	NA	chr5	+	25446543	25446612	25446546	25446612	25446392	25446473	17	1,11,9,2,9,5	31,35,57,33,40,41	4,0,5,4,6,1	24,18,24,52,41,10	152	149	1	1.0	0.031,0.236,0.134,0.056,0.181,0.107	0.14,0.0,0.17,0.07,0.125,0.089	0.025
18	"AT5G63440"	NA	chr5	+	25407020	25407135	25407028	25407135	25406301	25406474	18	32,45,69,43,38,40	9,21,10,7,13,8	31,18,29,44,33,8	7,8,8,4,14,7	157	149	1	1.0	0.771,0.67,0.868,0.854,0.735,0.826	0.808,0.681,0.775,0.913,0.691,0.52	0.056
20	"AT5G62640"	NA	chr5	-	25150537	25150911	25150537	25150893	25151011	25151093	20	98,146,151,139,173,139	4,2,3,2,7,6	123,64,99,143,137,64	6,1,6,3,2,1	167	149	1	1.0	0.956,0.985,0.978,0.984,0.957,0.954	0.948,0.983,0.936,0.977,0.984,0.983	0.001
21	"AT5G62290"	NA	chr5	+	25020537	25020603	25020540	25020603	25020385	25020445	21	76,109,83,76,147,108	0,0,1,0,1,1	107,87,52,116,129,48	0,0,1,0,0,0	152	149	1	1.0	1.0,1.0,0.988,1.0,0.993,0.991	1.0,1.0,0.981,1.0,1.0,1.0	-0.002
22	"AT5G62165"	NA	chr5	+	24965037	24965256	24965049	24965256	24964645	24964959	22	4,4,5,2,3,1	6,4,6,0,5,0	0,0,0,0,1,1	2,0,0,1,1,0	161	149	1	1.0	0.382,0.481,0.435,1.0,0.357,1.0	0.0,NA,NA,0.0,0.481,1.0	0.239
23	"AT5G62165"	NA	chr5	+	24967694	24967882	24967840	24967882	24967327	24967427	23	6,19,7,2,13,4	3,1,2,0,0,0	0,2,0,1,2,1	0,0,0,0,1,0	295	149	1	1.0	0.503,0.906,0.639,1.0,1.0,1.0	NA,1.0,NA,1.0,0.503,1.0	-0.034
24	"AT5G61410"	NA	chr5	-	24683605	24683858	24683605	24683852	24684044	24684134	24	1374,2173,1685,1677,2454,1925	197,345,200,254,337,320	2014,1614,1825,2613,2946,917	431,340,433,595,610,243	155	149	1	1.0	0.87,0.858,0.89,0.864,0.875,0.853	0.818,0.82,0.802,0.808,0.823,0.784	0.059
25	"AT5G61310"	NA	chr5	-	24653323	24653761	24653323	24653752	24654769	24654940	25	7,7,9,7,9,3	11,7,8,6,14,10	2,6,5,7,4,2	2,4,3,5,2,0	158	149	0.204358408999	1.0	0.375,0.485,0.515,0.524,0.377,0.221	0.485,0.586,0.611,0.569,0.654,1.0	-0.235
26	"AT5G60590"	NA	chr5	+	24357944	24358248	24357956	24358248	24357702	24357878	26	3,13,11,11,15,6	32,41,41,35,46,32	3,4,5,7,9,4	38,32,37,55,40,21	161	149	1	1.0	0.08,0.227,0.199,0.225,0.232,0.148	0.068,0.104,0.111,0.105,0.172,0.15	0.067
27	"AT5G60580"	NA	chr5	+	24356204	24356305	24356225	24356305	24356052	24356143	27	5,16,9,2,4,7	50,53,61,57,79,48	19,2,12,8,30,8	38,22,43,46,55,15	170	149	0.358445025991	1.0	0.081,0.209,0.115,0.03,0.042,0.113	0.305,0.074,0.197,0.132,0.323,0.319	-0.127
28	"AT5G60570"	NA	chr5	+	24348169	24350164	24348367	24350164	24347782	24348026	28	13,24,16,14,53,25	13,10,17,8,14,15	14,24,18,27,24,14	20,18,21,36,32,9	298	149	0.316036994708	1.0	0.333,0.545,0.32,0.467,0.654,0.455	0.259,0.4,0.3,0.273,0.273,0.437	0.139
29	"AT5G60570"	NA	chr5	+	24348169	24350164	24348379	24350164	24347782	24348026	29	14,29,16,14,55,27	57,93,90,56,113,79	15,24,18,28,26,15	45,56,37,95,88,22	298	149	1	1.0	0.109,0.135,0.082,0.111,0.196,0.146	0.143,0.176,0.196,0.128,0.129,0.254	-0.041
30	"AT5G60570"	NA	chr5	+	24348367	24350164	24348379	24350164	24347782	24348026	30	14,15,17,9,17,17	57,93,90,56,113,79	21,19,23,38,35,10	45,56,37,95,88,22	161	149	0.131546810067	1.0	0.185,0.13,0.149,0.129,0.122,0.166	0.302,0.239,0.365,0.27,0.269,0.296	-0.143
