ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
10	AT5G65210	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	79,101,67,63,131,123	25,60,26,24,30,30	94,64,106,107,108,40	2,5,4,3,18,2	574	149	2.86229163704E-08	2.44248886360747E-05	0.451,0.304,0.401,0.405,0.531,0.516	0.924,0.769,0.873,0.903,0.609,0.838	-0.385		
33	AT5G60570	NA	chr5	+	24348367	24350164	24348379	24350164	24347782	24348026	33	20,25,33,14,32,24	1.18189200127208E+017	53,43,39,81,64,22	94,82,100,166,176,55	161	149	0.0000812882421256	0.0119044167087872	0.136,0.109,0.132,0.093,0.125,0.11	0.343,0.327,0.265,0.311,0.252,0.27	-0.177		
430	AT4G33650	NA	chr4	+	16164959	16165058	16164962	16165058	16164757	16164871	430	47,45,40,53,69,64	1.29250135141171E+017	10,9,16,17,30,5	204,144,142,195,200,73	152	149	0.000368976075473	0.0349843982670696	0.263,0.15,0.225,0.269,0.283,0.289	0.046,0.058,0.099,0.079,0.128,0.063	0.168		
675	AT4G02430	NA	chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	675	40,97,63,61,114,71	40,63,48,61,54,43	36,36,34,52,62,35	67,78,70,119,130,53	160	149	5.86524518698E-06	0.00136500251624262	0.482,0.589,0.55,0.482,0.663,0.606	0.333,0.301,0.311,0.289,0.308,0.381	0.241		
972	AT1G72640	NA	chr1	-	27346745	27346919	27346745	27346899	27347084	27347147	972	1.62339225207273E+017	57,85,61,68,95,50	5.80449522683792E+017	56,48,41,54,72,28	169	149	0.000124464546731	0.0151728209348267	0.715,0.779,0.765,0.729,0.717,0.792	0.901,0.892,0.918,0.918,0.907,0.87	-0.152		
973	AT1G72640	NA	chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	973	1.17178148143165E+017	2.68487356331463E+017	137,90,102,129,156,53	877,755,858,1098,1268,381	152	149	1.3866387405E-07	7.5402785910272E-05	0.3,0.264,0.29,0.298,0.259,0.258	0.133,0.105,0.104,0.103,0.108,0.12	0.166		
1008	AT5G60170	NA	chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	1008	64,86,81,93,126,106	34,25,46,39,54,72	53,39,52,99,73,30	64,52,75,96,99,45	155	149	0.0000255018053725	0.00435230811690667	0.644,0.768,0.629,0.696,0.692,0.586	0.443,0.419,0.4,0.498,0.415,0.391	0.242		
1040	AT3G26890	NA	chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1040	3.18460364342454E+017	1.31187133104207E+017	3.1124125142135E+017	2.17196268342352E+017	152	149	2.38905974526E-06	0.000679554771985067	0.704,0.707,0.728,0.763,0.683,0.728	0.584,0.547,0.479,0.547,0.494,0.535	0.188		
1054	AT2G30740	NA	chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	1054	9,15,9,13,18,18	13,23,20,14,23,37	23,20,15,23,49,7	3,7,12,9,12,7	192	149	0.000322130985265	0.0344009623482368	0.349,0.336,0.259,0.419,0.378,0.274	0.856,0.689,0.492,0.665,0.76,0.437	-0.314		
1186	AT4G17310	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1186	32,35,41,29,43,37	14,34,28,17,29,19	34,40,47,72,40,15	5,6,9,12,3,6	405	149	0.0000606431781077	0.009702908497232	0.457,0.275,0.35,0.386,0.353,0.417	0.714,0.71,0.658,0.688,0.831,0.479	-0.307		
1286	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1286	8,11,9,6,17,8	53,53,67,38,76,58	14,9,4,16,16,8	3,0,8,5,5,1	194	149	1.30043920077E-09	1.6645621769856E-06	0.104,0.137,0.094,0.108,0.147,0.096	0.782,1.0,0.277,0.711,0.711,0.86	-0.609		
