ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	0	1,2	291,291	1,2	144,223	283	391	1	1.0	0.005,0.009	0.01,0.012	-0.004
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	1	14,29	291,291	10,18	144,223	262	391	1	1.0	0.067,0.129	0.094,0.108	-0.003
2	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	2	41,42	49,55	16,37	28,74	189	194	1	1.0	0.462,0.439	0.37,0.339	0.096
3	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	3	17,17	121,149	11,20	64,115	230	230	1	1.0	0.123,0.102	0.147,0.148	-0.035
5	"AT5G36180"	NA	chr5	+	14239654	14239731	14239820	14239943	14239403	14239580	14240035	14240138	5	198,180	262,249	75,104	88,177	226	272	1	1.0	0.476,0.465	0.506,0.414	0.011
7	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	7	821,775	35,51	384,788	11,25	216	167	1	1.0	0.948,0.922	0.964,0.961	-0.027
9	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617	9	52,31	66,67	27,33	40,43	188	206	1	1.0	0.463,0.336	0.425,0.457	-0.041
10	"AT4G21534"	NA	chr4	+	11457604	11457682	11457806	11457877	11457422	11457509	11458004	11458268	10	127,147	247,269	71,125	132,245	227	220	1	1.0	0.333,0.346	0.343,0.331	0.003
11	"AT4G19410"	NA	chr4	-	10583012	10583066	10583160	10583221	10582835	10582913	10583390	10583515	11	1439,1435	1455,1302	848,1305	744,1442	210	203	1	1.0	0.489,0.516	0.524,0.467	0.007
12	"AT4G16860"	NA	chr4	-	9490478	9490811	9490994	9492072	9489967	9490378	9495230	9495837	12	2443,2088	645,607	1553,2620	532,730	1227	482	1	1.0	0.598,0.575	0.534,0.585	0.027
14	"AT4G10030"	NA	chr4	-	6271156	6271222	6271406	6271508	6270915	6271028	6271584	6271637	14	421,434	249,235	305,436	179,240	251	215	1	1.0	0.592,0.613	0.593,0.609	0.002
15	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994	15	77,90	134,95	74,114	67,135	197	218	1	1.0	0.389,0.512	0.55,0.483	-0.066
16	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	16	48,60	126,128	32,62	94,164	169	202	1	1.0	0.313,0.359	0.289,0.311	0.036
17	"AT3G60600"	NA	chr3	+	22401521	22401575	22401912	22401990	22401284	22401440	22402294	22402724	17	705,773	1338,1552	406,785	859,1573	203	227	1	1.0	0.371,0.358	0.346,0.358	0.013
18	"AT3G60340"	NA	chr3	+	22304387	22304482	22304674	22304759	22304158	22304258	22304845	22304897	18	54,56	601,554	28,91	341,630	244	234	1	1.0	0.079,0.088	0.073,0.122	-0.014
19	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	19	104,119	261,342	84,165	222,427	220	290	1	1.0	0.344,0.314	0.333,0.337	-0.006
20	"AT3G56160"	NA	chr3	-	20839374	20839488	20839888	20839947	20839033	20839055	20840318	20840397	20	72,37	114,100	35,55	86,108	208	263	1	1.0	0.444,0.319	0.34,0.392	0.016
22	"AT3G55020"	NA	chr3	-	20392064	20392131	20392505	20392564	20391922	20391974	20392681	20392795	22	173,175	127,136	74,144	79,80	208	216	1	1.0	0.586,0.572	0.493,0.651	0.007
23	"AT5G13960"	NA	chr5	+	4502388	4502443	4502582	4502689	4502154	4502193	4502798	4502975	23	17,19	37,34	9,13	16,36	204	256	1	1.0	0.366,0.412	0.414,0.312	0.026
24	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	24	1028,1782	1588,2322	1314,2280	1956,3210	575	575	1	1.0	0.393,0.434	0.402,0.415	0.005
25	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	25	38,40	103,103	17,64	53,87	193	266	1	1.0	0.337,0.349	0.307,0.503	-0.062
26	"AT2G04900"	NA	chr2	+	1722669	1722740	1722824	1722905	1722480	1722590	1722989	1723033	26	148,114	619,687	79,107	315,682	220	230	1	1.0	0.2,0.148	0.208,0.141	-0.001
27	"AT2G04900"	NA	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723976	27	1127,1099	204,210	588,1157	127,268	230	193	1	1.0	0.823,0.815	0.795,0.784	0.029
28	"AT1G78560"	NA	chr1	-	29547784	29547818	29547898	29547992	29547645	29547700	29548266	29548866	28	291,258	63,77	142,248	23,79	243	183	1	1.0	0.777,0.716	0.823,0.703	-0.016
29	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	29	47,58	73,108	30,62	50,95	209	209	1	1.0	0.392,0.349	0.375,0.395	-0.015
30	"AT2G41100"	NA	chr2	+	17138306	17138573	17138673	17138943	17138064	17138206	17139044	17139617	30	4532,4875	4763,5186	2210,4115	2783,4514	416	419	1	1.0	0.489,0.486	0.444,0.479	0.026
31	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	31	633,599	10,16	461,910	14,28	354	299	1	1.0	0.982,0.969	0.965,0.965	0.011
32	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012	32	8,0	6,0	3,7	3,8	242	242	1	1.0	0.571,NA	0.5,0.467	0.087
33	"AT3G54350"	NA	chr3	-	20126379	20126468	20126555	20126623	20125962	20126114	20126763	20126981	33	54,42	98,95	19,46	35,64	217	238	1	1.0	0.377,0.327	0.373,0.441	-0.055
34	"AT3G12520"	NA	chr3	-	3969770	3969831	3969970	3970036	3969502	3969630	3970241	3970349	34	12,20	12,19	2,11	10,10	215	210	0.639038217664	1.0	0.494,0.507	0.163,0.518	0.16
35	"AT1G04280"	NA	chr1	-	1145294	1145359	1145496	1145720	1144875	1145094	1146140	1146374	35	1171,1256	296,356	630,1139	161,310	373	214	1	1.0	0.694,0.669	0.692,0.678	-0.004
36	"AT5G65685"	NA	chr5	-	26275107	26275236	26275480	26275514	26274791	26274996	26275685	26275722	36	11,10	194,183	8,11	108,204	183	278	1	1.0	0.079,0.077	0.101,0.076	-0.01
37	"AT5G48335"	NA	chr5	+	19588227	19588259	19588608	19588740	19587871	19588159	19589126	19589177	37	123,153	505,582	59,123	330,592	181	281	1	1.0	0.274,0.29	0.217,0.244	0.052
38	"AT3G01150"	NA	chr3	+	52644	52746	52888	52951	52154	52364	53042	53212	38	21,50	255,298	26,85	129,268	251	212	1	1.0	0.065,0.124	0.145,0.211	-0.083
39	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	39	48,42	445,476	45,80	246,541	183	212	1	1.0	0.111,0.093	0.175,0.146	-0.058
40	"AT1G10570"	NA	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490	40	96,126	263,299	49,94	89,191	252	247	1	1.0	0.264,0.292	0.35,0.325	-0.059
41	"AT5G35170"	NA	chr5	+	13421837	13421873	13421958	13422039	13421599	13421728	13422123	13422262	41	192,174	417,348	137,214	223,455	185	230	1	1.0	0.364,0.383	0.433,0.369	-0.028
