ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	3	7,1	157,244	0,1	95,49	230	149	1	1.0	0.028,0.003	0.0,0.013	0.009
4	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	4	1,5	2,2	6,2	0,1	208	149	0.0523726708984	0.6887565618945068	0.264,0.642	1.0,0.589	-0.341
5	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	5	0,0	7,20	2,0	8,3	170	149	1	1.0	0.0,0.0	0.18,0.0	-0.09
7	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	7	0,1	15,18	0,0	15,19	200	149	1	1.0	0.0,0.04	0.0,0.0	0.02
8	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	8	55,53	6,17	64,54	15,12	184	149	1	1.0	0.881,0.716	0.776,0.785	0.018
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515877	25516074	9	48,47	0,1	55,43	0,2	184	149	1	1.0	1.0,0.974	1.0,0.946	0.014
10	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	10	3,2	151,282	6,1	190,84	359	149	1	1.0	0.008,0.003	0.013,0.005	-0.003
13	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170	13	225,357	0,1	240,100	0,2	283	149	1	1.0	1.0,0.995	1.0,0.963	0.016
14	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967840	24967882	14	15,16	4,0	1,3	0,0	458	149	0.638684626039	1.0	0.55,1.0	1.0,1.0	-0.225
15	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	15	2,3	6,9	0,2	4,2	242	149	0.0740452497347	0.8741931422166519	0.17,0.17	0.0,0.381	-0.02
16	"AT5G61960"	NA	chr5	-	24883691	24883955	24883907	24883955	24883550	24883573	16	3,3	11,11	0,2	6,5	365	149	1	1.0	0.1,0.1	0.0,0.14	0.03
