	SRR15236521	SRR15236522	SRR15236523
AT1G01020;A5:1:8464-8571:8464-8594:-	0.30827342378286	0.146586938862441	0.274402795833049
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0710380604307563	0.146586938862441	0.0220911699442196
AT1G01020;RI:1:8236:8325-8417:8464:-	0.10737852467486	0.177733817314975	0.178948037335666
AT1G01030;RI:1:11649:12354-12424:13173:-	1	0.936746611324305	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.336448842445468	0.336399920957084	0.221445531845622
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0.803466413060673	0.817226678256039	0.808638817665607
AT1G01060;RI:1:37023:37203-37373:37398:-	0.282391731370594	0.300305109758477	0.2841613674575
AT1G01060;RI:1:37373:37398-37569:37780:-	0	0	0
AT1G01080;A5:1:46145-46373:46145-46376:-	0.0306491647761497	0.00918332509528621	0.0583004420964521
AT1G01080;RI:1:44970:45559-45646:45954:-	0.0769976073030004	0.0658816880322877	0.0875786263409121
AT1G01100;A5:1:50963-51123:50963-51126:-	0.00778757528446527	0.00789476518870941	0.0210497221850393
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.949753659330185	0.958606239758908	0.81247295666606
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.663361062372776	0.692701048226533	0.535393153212573
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.138253621647449	0.167146023715963	0.0920267712366841
AT1G01100;RI:1:50419:50447-50496:50631:-	0.934884571618463	0.931429402168573	0.927472935323803
AT1G01140;A5:1:64475-64570:64475-64582:-	0.734108051095243	0.741499378620378	0.785945500362008
AT1G01140;A5:1:65652-65733:65652-65739:-	0.0226390673925164	0.0202486519226601	0
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00115462130400983	0.00498453801811865	0.0126882344263318
AT1G01170;A3:1:74455-74661:74449-74661:-	0.957059288444592	0.947587356903174	0.944074304100274
AT1G01220;A5:1:92089-92270:92070-92270:+	0.016937675492538	0.0594940423566732	0.183833161955904
AT1G01220;RI:1:91743:92070-92270:92501:+	0	0	0.137201938639655
AT1G01220;RI:1:91743:92070-92270:92933:+	0	0.259416826164359	0.077214679335094
AT1G01220;RI:1:91743:92089-92270:92501:+	nan	0	0.281219100114881
