ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	3	1,3	105,168	5,0	99,131	180	99	1	1.0	0.005,0.01	0.027,0.0	-0.006
4	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	4	2,4	1,7	3,6	2,6	158	99	0.831521090004	1.0	0.556,0.264	0.485,0.385	-0.025
5	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	5	1,0	4,11	0,0	3,9	120	99	1	1.0	0.171,0.0	0.0,0.0	0.086
7	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	7	0,0	12,23	1,0	5,20	150	99	1	1.0	0.0,0.0	0.117,0.0	-0.059
8	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	8	87,134	6,11	79,122	9,12	134	99	1	1.0	0.915,0.9	0.866,0.883	0.033
9	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	9	2,1	228,265	8,9	122,186	198	99	1	1.0	0.004,0.002	0.032,0.024	-0.025
10	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571	10	2,2	508,743	0,1	426,723	106	99	1	1.0	0.004,0.003	0.0,0.001	0.003
13	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170	13	193,218	1,4	175,260	0,1	198	99	1	1.0	0.99,0.965	1.0,0.992	-0.018
14	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967840	24967882	14	10,17	0,1	0,5	0,0	198	99	1	1.0	1.0,0.895	NA,1.0	-0.052
15	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	15	8,6	8,8	3,7	8,10	192	99	0.951390416954	1.0	0.34,0.279	0.162,0.265	0.096
16	"AT5G61960"	NA	chr5	-	24883691	24883955	24883907	24883955	24883550	24883573	16	3,3	9,9	1,5	11,18	198	99	1	1.0	0.143,0.143	0.043,0.122	0.06
18	"AT5G61960"	NA	chr5	-	24883872	24884174	24883907	24884174	24883550	24883573	18	2,2	9,9	1,1	11,18	134	99	1	1.0	0.141,0.141	0.063,0.039	0.09
19	"AT5G61540"	NA	chr5	+	24745459	24745631	24745459	24745625	24745717	24746276	19	31,33	0,0	12,32	0,1	105	99	1	1.0	1.0,1.0	1.0,0.968	0.016
