gene	event	dpsi_Cai	p_val_Cai	dpsi_Sun	p_val_Sun
AT1G01020	A5:1:8464-8571:8464-8594:-	0.4831529104	0.005994006	0.4822092587	0.0014985015
AT1G02260	RI:1:441398:442620-442718:442972:-	0.2849267148	0.0474525475	0.173049738	0.0434565435
AT1G02500	A3:1:518378-519033:518378-519036:+	0.0270994602	0.043956044	0.0601761621	0.021978022
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4507000005	0.0	-0.2713843653	0.005994006
AT1G04230	A3:1:1127256-1127434:1127256-1127437:+	-0.2024766535	0.0324675325	-0.1772871884	0.045954046
AT1G07700	A5:1:2379798-2380104:2379729-2380104:+	0.2406670585	0.0004995005	0.2773992903	0.002997003
AT1G07820	RI:1:2421089:2421783-2421903:2422066:-	0.0737987303	0.0154845155	0.2056933368	0.0004995005
AT1G08040	A5:1:2497998-2498480:2497998-2498484:-	-0.2919159315	0.005994006	-0.4626234342	0.0074925075
AT1G08110	SE:1:2535385-2535570:2535585-2535675:+	0.0950315163	0.018981019	0.1103773962	0.042957043
AT1G08570	A5:1:2713010-2713096:2712985-2713096:+	-0.1146871445	0.0204795205	-0.0980943204	0.0484515485
AT1G10570	A3:1:3487974-3488329:3487974-3488332:+	0.2660742377	0.015984016	0.2031004593	0.036963037
AT1G10590	A5:1:3503004-3503370:3503004-3503374:-	0.1526526001	0.005994006	0.1811685258	0.002997003
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	-0.3624001276	0.000999001	-0.5	0.00999001
AT1G13450	RI:1:4613286:4613516-4613755:4613889:-	-0.1634617446	0.0164835165	-0.2438712602	0.010989011
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2564870458	0.010989011	-0.2841929189	0.008991009
AT1G13940	RI:1:4766396:4766470-4766594:4766852:-	0.1897475539	0.0334665335	0.310897153	0.03996004
AT1G14710	RI:1:5064148:5064811-5064972:5065303:-	-0.0978440828	0.0244755245	-0.1163593443	0.0174825175
AT1G14970	A5:1:5164347-5164532:5164347-5164537:-	-0.3606305875	0.0324675325	-0.6093034392	0.013986014
AT1G14970	RI:1:5164278:5164347-5164537:5165139:-	-0.3433615807	0.0324675325	-0.769389184	0.021978022
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1921149217	0.0034965035	-0.2298942641	0.002997003
AT1G17130	A3:1:5854461-5854865:5854461-5854886:+	-0.0645296077	0.048951049	-0.0733617316	0.0474525475
AT1G18660	RI:1:6420975:6421303-6421398:6421501:+	-0.2123105394	0.005994006	-0.2720904471	0.0
AT1G18950	A5:1:6550681-6550763:6550669-6550763:+	-0.6217520006	0.0	-0.7850327767	0.000999001
AT1G20060	A5:1:6952224-6952306:6952224-6952309:-	0.5736600122	0.0474525475	0.5837757371	0.0374625375
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4502530475	0.0	-0.4390448702	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.1848437046	0.0114885115	-0.1843193051	0.0054945055
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.0747633111	0.0144855145	0.1622542076	0.0074925075
AT1G27770	RI:1:9673281:9675232-9675309:9675363:-	-0.1828780283	0.012987013	-0.1831383769	0.025974026
AT1G27900	RI:1:9716179:9716339-9716538:9716607:-	-0.2388069147	0.044955045	-0.2852917462	0.011988012
AT1G29040_and_AT1G29041	A3:1:10134777-10135051:10134777-10135058:+	-0.3150104097	0.007992008	-0.2727669858	0.0114885115
AT1G29040_and_AT1G29041	A5:1:10134581-10134686:10134536-10134686:+	-0.1507941228	0.007992008	-0.1958914035	0.0114885115
AT1G29040_and_AT1G29041	A5:1:10134797-10135051:10134777-10135051:+	0.1822884359	0.007992008	0.2243280569	0.0114885115
AT1G29850	A3:1:10448745-10448846:10448745-10448849:+	-0.1371837377	0.008991009	-0.1325236708	0.0224775225
AT1G30410	A5:1:10741089-10741237:10741080-10741237:+	0.1918839297	0.0367132867	-0.234115611	0.0314685315
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.0573009336	0.0444555445	-0.1112566472	0.014985015
AT1G31420	A3:1:11252680-11252756:11252680-11252759:+	0.1534970119	0.004995005	0.1705310797	0.01998002
AT1G31550	A5:1:11295912-11295991:11295912-11296000:-	0.2245433127	0.0074925075	0.5707094016	0.0064935065
AT1G33470	A3:1:12145610-12145684:12145610-12145687:+	0.1472102501	0.013986014	0.1303497318	0.040959041
