ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
10	AT5G65210	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	110,176,116,97,184,162	28,50,22,22,37,30	131,95,130,160,173,66	5,4,6,7,11,3	524	99	1.19112941732E-10	1.5306013012562E-07	0.426,0.399,0.499,0.454,0.484,0.505	0.832,0.818,0.804,0.812,0.748,0.806	-0.342		
326	AT5G16280	NA	chr5	-	5326466	5326524	5326466	5326521	5326620	5326731	326	48,39,41,21,61,46	71,97,134,89,156,125	55,38,60,87,87,42	51,46,42,90,99,33	102	99	0.000071543968402	0.0102148888218411	0.396,0.281,0.229,0.186,0.275,0.263	0.511,0.445,0.581,0.484,0.46,0.553	-0.234		
931	AT4G26140	NA	chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	931	40,59,61,44,49,53	19,32,22,27,31,62	30,12,11,12,26,10	40,21,32,29,52,12	105	99	0.000393464254185	0.0421334638856437	0.665,0.635,0.723,0.606,0.598,0.446	0.414,0.35,0.245,0.281,0.32,0.44	0.27		
972	AT1G72640	NA	chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	972	9.41801101331671E+016	2.54432295278384E+017	142,88,110,150,130,60	829,674,757,944,1152,348	102	99	0.0000046573709972	0.00108813122389127	0.264,0.288,0.266,0.317,0.297,0.27	0.143,0.112,0.124,0.134,0.099,0.143	0.158		
1053	AT2G30740	NA	chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	1053	13,24,22,7,18,23	16,29,28,22,28,40	22,18,25,27,68,17	9,10,14,10,17,6	142	99	0.0000036678222356	0.0009426303145492	0.362,0.366,0.354,0.182,0.309,0.286	0.63,0.557,0.555,0.653,0.736,0.664	-0.323		
1148	AT2G02560	NA	chr2	+	690462	690638	690468	690638	690311	690380	1148	54,99,61,66,82,63	49,81,63,73,100,105	27,22,24,65,35,13	58,75,70,141,136,37	105	99	0.000357144601699	0.039907027233323	0.51,0.535,0.477,0.46,0.436,0.361	0.305,0.217,0.244,0.303,0.195,0.249	0.211		
1184	AT4G17310	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1184	40,64,53,44,72,51	17,32,26,17,27,13	62,69,61,121,71,25	6,8,9,18,2,4	355	99	0.0000518546424588	0.00832915194494475	0.396,0.358,0.362,0.419,0.426,0.522	0.742,0.706,0.654,0.652,0.908,0.635	-0.302		
1213	AT1G44780	NA	chr1	+	16911209	16911289	16911212	16911289	16910814	16911132	1213	38,87,42,39,32,31	18,23,14,15,15,16	25,16,28,35,19,13	25,17,24,44,36,15	102	99	0.000120574286121	0.0147559959681414	0.672,0.786,0.744,0.716,0.674,0.653	0.493,0.477,0.531,0.436,0.339,0.457	0.252		
1286	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1286	9,16,12,11,26,13	70,79,96,51,104,81	14,18,9,17,22,8	8,1,7,6,10,1	144	99	8.34998736821E-12	2.14594675362997E-08	0.081,0.122,0.079,0.129,0.147,0.099	0.546,0.925,0.469,0.661,0.602,0.846	-0.565		
1290	AT5G19210	NA	chr5	+	6461991	6462105	6461995	6462105	6461804	6461898	1290	35,68,73,37,64,42	22,29,21,12,27,21	15,7,11,41,21,10	13,9,19,51,30,17	103	99	0.0000787255871143	0.0106486715201974	0.605,0.693,0.77,0.748,0.695,0.658	0.526,0.428,0.358,0.436,0.402,0.361	0.276		
