ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	1,5	7,14	1,0	11,5	175	99	1	1.0	0.075,0.168	0.049,0.0	0.097
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	106,102	233,242	52,99	178,290	198	99	1	1.0	0.185,0.174	0.127,0.146	0.043
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	54,56	232,311	39,71	170,298	198	99	1	1.0	0.104,0.083	0.103,0.106	-0.011
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	15,5	19,22	15,5	10,22	177	99	1	1.0	0.306,0.113	0.456,0.113	-0.075
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	31,50	116,133	20,24	86,154	198	99	1	1.0	0.118,0.158	0.104,0.072	0.05
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	13,11	98,125	14,19	72,106	196	99	1	1.0	0.063,0.043	0.089,0.083	-0.033
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	28,17	11,9	32,14	9,12	198	99	1	1.0	0.56,0.486	0.64,0.368	0.019
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	24,27	7,9	23,36	0,3	191	99	0.00761734458307	0.3073569533645213	0.64,0.609	1.0,0.861	-0.306
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	501,622	112,126	304,438	68,128	188	99	1	1.0	0.702,0.722	0.702,0.643	0.039
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	130,209	471,554	75,129	380,564	178	99	1	1.0	0.133,0.173	0.099,0.113	0.047
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	147,238	2896,3997	167,290	2743,4418	162	99	1	1.0	0.03,0.035	0.036,0.039	-0.005
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	49,45	68,78	19,38	44,64	198	99	1	1.0	0.265,0.224	0.178,0.229	0.041
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	86,90	369,411	56,104	326,509	175	99	1	1.0	0.116,0.11	0.089,0.104	0.017
14	"AT5G65690"	NA	chr5	+	26268827	26269249	26268827	26268997	26269080	26269249	14	2,6	25,32	3,3	26,43	182	99	1	1.0	0.042,0.093	0.059,0.037	0.02
15	"AT5G65460"	NA	chr5	-	26161623	26162539	26161623	26162283	26162380	26162539	15	23,24	53,63	16,38	27,52	196	99	1	1.0	0.18,0.161	0.23,0.27	-0.08
16	"AT5G65460"	NA	chr5	-	26162380	26162778	26162380	26162539	26162637	26162778	16	12,5	78,57	6,21	34,63	197	99	1	1.0	0.072,0.042	0.081,0.143	-0.055
17	"AT5G65440"	NA	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463	17	120,143	12,28	74,107	8,15	198	99	1	1.0	0.833,0.719	0.822,0.781	-0.025
18	"AT5G65440"	NA	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169	18	2,0	77,75	1,2	36,62	198	99	1	1.0	0.013,0.0	0.014,0.016	-0.009
