ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67590"	NA	chr5	+	26958651	26958781	26957914	26958231	26958962	26958992
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511
4	"AT5G65970"	NA	chr5	-	26388166	26388234	26388014	26388075	26388495	26388669
5	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669
6	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914
7	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082
8	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558
9	"AT5G65970"	NA	chr5	-	26389497	26389558	26389335	26389424	26389630	26389747
10	"AT5G65970"	NA	chr5	-	26390078	26390136	26389823	26390008	26390206	26390676
11	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243
12	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
13	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235
14	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833
15	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206
16	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
17	"AT5G64600"	NA	chr5	+	25825529	25825623	25824996	25825420	25825727	25825795
18	"AT5G64540"	NA	chr5	-	25800992	25801082	25800784	25800842	25801184	25801302
19	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
20	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823
21	"AT5G64130"	NA	chr5	-	25664671	25664732	25664289	25664587	25664815	25664869
22	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630
23	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946
24	"AT5G63540"	NA	chr5	-	25443082	25443181	25442760	25442915	25443295	25443441
25	"AT5G63260"	NA	chr5	+	25362609	25362657	25361746	25362298	25362725	25362791
26	"AT5G63200"	NA	chr5	+	25352245	25352393	25351735	25352020	25352519	25353039
27	"AT5G63180"	NA	chr5	-	25341451	25341590	25340913	25341333	25341953	25342700
28	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973
29	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310678	25310973
30	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436
31	"AT5G62820"	NA	chr5	-	25224107	25224243	25223726	25224022	25224335	25225052
32	"AT5G62640"	NA	chr5	-	25151916	25151991	25151759	25151853	25152270	25152541
33	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735
34	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603
35	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626
36	"AT5G62165"	NA	chr5	+	24966361	24966443	24964645	24965256	24967327	24967427
37	"AT5G62165"	NA	chr5	+	24966817	24966879	24966361	24966443	24967327	24967427
38	"AT5G62165"	NA	chr5	+	24967694	24967736	24967327	24967427	24967840	24967882
39	"AT5G61960"	NA	chr5	-	24883691	24883955	24883550	24883573	24884059	24884174
40	"AT5G61960"	NA	chr5	-	24883907	24883955	24883550	24883573	24884059	24884174
41	"AT5G61580"	NA	chr5	+	24762825	24762866	24762621	24762751	24762952	24763177
42	"AT5G61410"	NA	chr5	-	24684044	24684134	24683605	24683858	24684227	24684297
43	"AT5G61250"	NA	chr5	-	24634243	24634280	24633981	24634165	24634381	24634621
44	"AT5G60360"	NA	chr5	+	24281115	24281189	24280861	24280977	24281299	24281564
45	"AT5G66180"	NA	chr5	+	26449139	26449284	26448937	26449064	26449367	26449458
46	"AT5G59960"	NA	chr5	-	24143313	24143368	24143138	24143239	24143444	24143501
47	"AT5G59960"	NA	chr5	-	24143837	24143883	24143444	24143501	24144140	24144223
48	"AT5G59770"	NA	chr5	-	24079962	24080009	24079796	24079894	24080110	24080178
49	"AT5G59770"	NA	chr5	-	24079962	24080009	24079796	24079894	24080373	24080427
50	"AT5G59770"	NA	chr5	-	24080110	24080178	24079796	24079894	24080373	24080427
51	"AT5G59770"	NA	chr5	-	24080110	24080178	24079962	24080009	24080373	24080427
52	"AT5G59710"	NA	chr5	+	24058084	24058171	24057377	24057584	24058279	24058388
53	"AT5G59710"	NA	chr5	+	24060244	24060333	24059857	24059956	24060435	24060516
54	"AT5G59613"	NA	chr5	-	24016165	24016208	24015393	24015729	24016379	24016610
55	"AT5G59610"	NA	chr5	+	24014317	24014346	24013770	24013936	24014483	24014578
56	"AT5G59610"	NA	chr5	+	24014317	24014350	24013770	24013936	24014483	24014578
57	"AT5G59460"	NA	chr5	-	23977792	23977890	23977574	23977656	23978249	23978399
58	"AT5G58800"	NA	chr5	-	23746869	23746937	23746340	23746700	23747187	23747273
59	"AT5G58800"	NA	chr5	-	23746869	23746943	23746340	23746700	23747187	23747274
60	"AT5G58470"	NA	chr5	-	23639687	23640321	23639397	23639548	23640443	23640537
61	"AT5G58160"	NA	chr5	+	23538044	23538126	23537908	23537959	23538199	23538294
62	"AT5G58110"	NA	chr5	+	23515839	23515909	23515674	23515755	23516115	23516204
63	"AT5G58100"	NA	chr5	+	23512420	23512524	23511949	23512108	23512722	23512898
64	"AT5G57960"	NA	chr5	-	23465534	23465651	23465144	23465259	23465806	23465949
65	"AT5G57940"	NA	chr5	+	23457323	23457906	23457015	23457144	23458067	23458280
66	"AT5G57940"	NA	chr5	+	23457344	23457906	23457115	23457144	23458067	23458280
67	"AT5G57870"	NA	chr5	+	23441489	23441577	23441272	23441370	23441669	23442020
68	"AT5G60410"	NA	chr5	+	24297380	24297456	24297213	24297301	24297667	24297741
69	"AT5G57320"	NA	chr5	+	23216350	23216476	23216123	23216264	23216565	23216631
70	"AT5G56950"	NA	chr5	+	23034843	23034861	23034545	23034747	23035230	23035693
71	"AT5G56870"	NA	chr5	+	23005146	23005213	23004928	23005041	23005320	23005413
72	"AT5G56260"	NA	chr5	-	22776457	22776603	22775208	22776068	22777035	22777355
73	"AT5G56190"	NA	chr5	+	22742895	22743060	22742066	22742800	22743152	22743239
74	"AT5G56090"	NA	chr5	+	22716031	22716142	22715692	22715938	22716217	22716349
75	"AT5G55810"	NA	chr5	-	22585942	22586016	22585461	22585547	22586189	22586347
76	"AT5G55470"	NA	chr5	-	22471683	22471730	22471407	22471602	22471828	22471888
77	"AT5G55280"	NA	chr5	-	22422031	22422131	22421708	22421938	22422233	22422649
78	"AT5G54940"	NA	chr5	-	22309215	22309280	22308270	22308811	22309356	22309408
79	"AT5G54800"	NA	chr5	+	22263100	22263314	22262623	22262846	22263550	22263936
80	"AT5G54750"	NA	chr5	+	22242403	22242501	22242063	22242136	22242750	22242850
81	"AT5G54750"	NA	chr5	+	22242403	22242540	22242063	22242136	22242750	22242850
82	"AT5G54290"	NA	chr5	+	22051513	22051645	22051036	22051169	22051836	22051895
83	"AT5G54290"	NA	chr5	+	22052176	22052307	22051836	22051895	22052845	22053007
84	"AT5G54290"	NA	chr5	+	22052391	22052477	22052176	22052307	22052845	22053007
85	"AT5G54290"	NA	chr5	+	22052585	22052617	22052391	22052477	22052845	22053007
86	"AT5G53530"	NA	chr5	-	21746992	21747037	21746802	21746858	21747126	21747193
87	"AT5G53530"	NA	chr5	-	21748153	21748192	21747978	21748053	21748463	21748719
88	"AT5G53360"	NA	chr5	+	21648477	21648820	21647822	21648274	21648903	21649567
89	"AT5G53180"	NA	chr5	-	21570833	21570891	21570165	21570228	21571043	21571253
90	"AT5G53180"	NA	chr5	-	21570833	21570894	21570165	21570228	21571043	21571253
91	"AT5G53140"	NA	chr5	+	21551632	21551707	21551408	21551500	21551793	21552559
92	"AT5G53080"	NA	chr5	+	21521515	21521666	21521169	21521428	21521755	21521978
93	"AT5G53050"	NA	chr5	-	21512347	21512443	21511912	21511966	21512643	21512744
94	"AT5G53045"	NA	chr5	-	21509007	21509080	21508849	21508905	21509482	21509609
95	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499794	21500829
96	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499888	21500829
97	"AT5G53010"	NA	chr5	-	21490162	21490300	21489956	21490060	21490445	21490544
98	"AT5G53010"	NA	chr5	-	21492832	21492916	21492596	21492734	21492998	21493041
99	"AT5G53010"	NA	chr5	-	21494982	21495052	21494804	21494875	21495320	21495410
100	"AT5G52920"	NA	chr5	+	21466324	21466433	21466099	21466248	21466504	21466880
101	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163726	21163968
102	"AT5G52070"	NA	chr5	+	21163578	21163648	21162074	21162208	21163726	21163968
103	"AT5G52070"	NA	chr5	+	21163578	21163968	21162095	21162208	21164079	21164196
104	"AT5G52070"	NA	chr5	+	21163726	21163968	21162095	21162208	21164079	21164196
105	"AT5G53350"	NA	chr5	+	21645671	21645749	21645489	21645564	21645907	21645964
106	"AT5G53350"	NA	chr5	+	21646259	21646330	21645907	21645964	21646430	21646530
107	"AT5G51230"	NA	chr5	+	20826836	20826890	20826675	20826728	20826973	20827033
108	"AT5G51200"	NA	chr5	+	20811921	20812040	20811158	20811356	20812248	20812399
109	"AT5G51200"	NA	chr5	+	20811921	20812043	20811158	20811356	20812248	20812399
110	"AT5G50780"	NA	chr5	+	20651619	20651695	20651402	20651487	20652118	20652247
111	"AT5G50780"	NA	chr5	+	20652460	20652559	20652118	20652247	20652652	20652754
112	"AT5G50420"	NA	chr5	-	20530848	20531098	20530199	20530629	20531361	20532856
113	"AT5G50330"	NA	chr5	-	20487661	20487709	20487432	20487561	20487941	20488136
114	"AT5G49730"	NA	chr5	-	20203457	20203692	20202957	20203285	20203778	20203976
115	"AT5G49390"	NA	chr5	+	20027353	20027415	20026901	20026988	20027587	20027665
116	"AT5G49390"	NA	chr5	+	20027587	20027665	20026901	20026988	20027783	20027874
117	"AT5G49290"	NA	chr5	+	19981563	19981638	19981376	19981451	19981785	19983196
118	"AT5G49030"	NA	chr5	-	19879726	19879871	19879315	19879547	19880180	19880288
119	"AT5G48640"	NA	chr5	-	19725196	19725236	19724984	19725029	19725386	19725493
120	"AT5G48620"	NA	chr5	+	19716989	19717075	19716103	19716609	19717341	19718282
