ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G59770"	NA	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	0	177,135	100,117	117,65	83,41	167	146	1	1.0	0.607,0.502	0.552,0.581	-0.012
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	1	109,141	29,16	78,38	6,7	212	169	1	1.0	0.75,0.875	0.912,0.812	-0.05
2	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	2	50,74	84,49	27,12	44,41	139	144	0.355366547763	1.0	0.381,0.61	0.389,0.233	0.184
3	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	3	30,19	151,92	10,10	73,36	180	180	1	1.0	0.166,0.171	0.12,0.217	0.0
6	"AT5G10278"	NA	chr5	+	3227508	3227619	3228763	3228867	3226320	3226525	3229579	3229669	6	11,7	12,11	3,3	9,7	210	203	0.515081457003	1.0	0.47,0.381	0.244,0.293	0.157
7	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	7	1037,817	119,59	480,265	41,31	166	117	1	1.0	0.86,0.907	0.892,0.858	0.008
9	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617	9	66,85	103,90	44,25	44,32	138	156	1	1.0	0.42,0.516	0.531,0.469	-0.032
10	"AT4G21534"	NA	chr4	+	11456850	11456951	11457224	11457297	11456635	11456758	11457422	11457509	10	427,295	205,215	244,132	116,85	200	172	1	1.0	0.642,0.541	0.644,0.572	-0.016
11	"AT4G21534"	NA	chr4	+	11457604	11457682	11457806	11457877	11457422	11457509	11458004	11458268	11	219,196	363,276	97,57	186,87	177	170	1	1.0	0.367,0.405	0.334,0.386	0.026
12	"AT4G19410"	NA	chr4	-	10583012	10583066	10583160	10583221	10582835	10582913	10583390	10583515	12	2073,1967	1886,1583	1241,700	961,574	160	153	1	1.0	0.512,0.543	0.553,0.538	-0.018
