ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	2272,2417	1,4	1582,827	2,0	188	99	1	1.0	0.999,0.997	0.998,1.0	-0.001
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	2	24,24	0,1	16,10	0,0	165	99	1	1.0	1.0,0.935	1.0,1.0	-0.032
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	159,162	2,0	167,80	1,0	198	99	1	1.0	0.975,1.0	0.988,1.0	-0.006
4	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	4	4316,4878	1,0	4212,2120	0,0	177	99	1	1.0	1.0,1.0	1.0,1.0	0.0
5	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	5	116,106	0,0	84,35	2,0	140	99	1	1.0	1.0,1.0	0.967,1.0	0.016
6	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	6	86,157	0,1	70,48	0,0	188	99	1	1.0	1.0,0.988	1.0,1.0	-0.006
7	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	7	619,572	1,0	477,257	0,0	160	99	1	1.0	0.997,1.0	1.0,1.0	-0.002
8	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	8	551,587	0,0	449,216	0,1	179	99	1	1.0	1.0,1.0	1.0,0.992	0.004
9	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	9	3,0	29,29	0,1	13,10	120	99	1	1.0	0.079,0.0	0.0,0.076	0.002
10	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206	10	975,1288	0,1	596,282	0,0	163	99	1	1.0	1.0,0.999	1.0,1.0	-0.0
11	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	11	134,158	74,64	38,22	55,39	157	99	0.000247955110928	0.159869057770828	0.533,0.609	0.303,0.262	0.288
13	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052	13	675,672	8,0	469,204	4,0	198	99	1	1.0	0.977,1.0	0.983,1.0	-0.003
