ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	3598,5217,4289,3606,4883,4561	8,6,5,7,6,12	3488,2386,3124,4454,4804,1590	11,8,6,3,8,2	238	149	1	1.0	0.996,0.998,0.998,0.997,0.998,0.996	0.995,0.995,0.997,0.999,0.997,0.998	0.0
1	"AT5G67590"	NA	chr5	+	26958651	26958781	26957914	26958231	26958962	26958992	1	1787,2710,2314,1830,2680,2331	0,0,0,0,0,0	1759,1224,1474,2456,2625,766	2,0,0,0,0,0	279	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.998,1.0,1.0,1.0,1.0,1.0	0.0
2	"AT5G67260"	NA	chr5	+	26838296	26838388	26837395	26837630	26839494	26839597	2	0,0,2,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,0,2,0,0,0	241	149	1	1.0	NA,NA,1.0,NA,NA,NA	0.0,NA,0.0,NA,NA,NA	1.0
3	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	3	70,74,44,68,48,47	0,0,0,0,0,2	56,22,26,96,79,19	1,0,0,3,0,0	215	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.942	0.975,1.0,1.0,0.957,1.0,1.0	0.002
4	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	4	254,413,324,281,483,347	1,0,2,4,6,2	409,247,334,410,408,160	7,3,1,1,6,0	298	149	1	1.0	0.992,1.0,0.988,0.972,0.976,0.989	0.967,0.976,0.994,0.995,0.971,1.0	0.002
5	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	5	444,654,526,406,674,479	0,0,0,1,1,0	495,411,425,759,616,182	0,0,0,0,0,0	237	149	1	1.0	1.0,1.0,1.0,0.996,0.998,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
6	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	6	7823,12450,9160,8220,10644,9782	0,0,1,0,0,0	10090,7187,8905,13013,13686,4236	0,0,0,0,0,0	227	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
7	"AT5G66040"	NA	chr5	+	26410731	26410805	26410343	26410645	26410868	26410993	7	7988,12740,10274,9584,14171,10891	0,0,0,0,0,0	13758,9509,9748,8618,15218,5851	0,0,1,0,0,0	223	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
8	"AT5G65970"	NA	chr5	-	26388166	26388234	26388014	26388075	26388495	26388669	8	61,80,98,63,118,100	0,0,0,0,0,0	79,48,63,105,119,33	1,0,0,0,0,0	217	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.982,1.0,1.0,1.0,1.0,1.0	0.003
9	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669	9	147,188,208,120,204,239	0,0,0,4,0,0	138,118,124,195,207,70	0,0,0,0,2,0	185	149	1	1.0	1.0,1.0,1.0,0.96,1.0,1.0	1.0,1.0,1.0,1.0,0.988,1.0	-0.005
10	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	10	167,305,237,166,257,184	6,1,0,0,2,0	193,124,158,236,192,66	2,1,3,2,0,1	190	149	1	1.0	0.956,0.996,1.0,1.0,0.99,1.0	0.987,0.99,0.976,0.989,1.0,0.981	0.003
11	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	11	43,57,55,28,41,46	0,0,0,0,0,0	31,25,36,37,42,20	0,0,1,0,1,0	199	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0,0.969,1.0	0.011
12	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	12	184,258,177,145,238,243	0,1,0,1,3,3	137,104,115,152,204,71	1,2,0,0,0,0	238	149	1	1.0	1.0,0.994,1.0,0.989,0.98,0.981	0.988,0.97,1.0,1.0,1.0,1.0	-0.002
13	"AT5G65970"	NA	chr5	-	26389497	26389558	26389335	26389424	26389630	26389747	13	151,236,172,125,235,218	0,0,0,0,0,0	131,129,123,199,236,72	2,0,0,0,0,0	210	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.979,1.0,1.0,1.0,1.0,1.0	0.003
14	"AT5G65970"	NA	chr5	-	26390078	26390136	26389823	26390008	26390206	26390676	14	189,240,156,152,164,154	1,0,0,0,0,0	163,120,114,169,191,52	0,0,0,0,0,0	207	149	1	1.0	0.993,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
