chr	5’SS	3’SS	gene	strand	diff
5	25775044	25775115	AT5G64460	-	-0.32
2	10204953	10205241	AT2G23985	+	-0.392
5	19816740	19816805	AT5G48880	-	0.357
5	19816740	19816805	AT5G48880	-	0.307
2	17474526	17474811	AT2G41880	+	0.346
5	25987308	25987711	AT5G65060	+	0.238
5	25775044	25775115	AT5G64460	-	-0.517
3	9909317	9910792	AT3G26890	-	-0.496
2	17474570	17474811	AT2G41880	+	0.303
2	13036875	13036915	AT2G30600	+	-0.382
5	16674001	16674075	AT5G41690	-	-0.62
4	15006611	15006702	AT4G30820	+	-0.457
4	15006647	15006702	AT4G30820	+	-0.55
4	15006493	15006702	AT4G30820	+	-0.505
2	410544	410621	AT2G01905	+	-0.65
3	9909317	9910792	AT3G26890	-	-0.579
4	9685185	9685454	AT4G17310	-	-0.579
1	24835243	24835478	AT1G66570	-	-0.329
3	3784186	3785119	AT3G11950	-	0.432
2	9238364	9238761	AT2G21590	+	-0.772
3	11006563	11006762	AT3G29010	+	-0.586
3	7067056	7067116	AT3G20270	+	0.739
3	11076605	11076664	AT3G29100	-	0.403
1	28924397	28924496	AT1G76970	-	0.367
