ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	673,901,1036	1,2,1	834,792,703	2,5,0	238	149	1	1.0	0.998,0.996,0.998	0.996,0.99,1.0	0.002
1	"AT5G67590"	NA	chr5	+	26958962	26958992	26958651	26958781	26959299	26959557	1	318,384,572	0,1,0	431,437,365	0,0,0	179	149	1	1.0	1.0,0.997,1.0	1.0,1.0,1.0	-0.001
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	2	5,18,17	2,0,4	67,74,58	2,0,0	215	149	1	1.0	0.634,1.0,0.747	0.959,1.0,1.0	-0.193
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	62,84,118	0,1,0	110,81,76	0,1,0	298	149	1	1.0	1.0,0.977,1.0	1.0,0.976,1.0	0.0
4	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	4	158,256,242	0,0,1	574,537,471	0,4,0	237	149	1	1.0	1.0,1.0,0.993	1.0,0.988,1.0	0.002
5	"AT5G66360"	NA	chr5	+	26510991	26511206	26510147	26510751	26511290	26511822	5	22,49,49	0,0,0	39,36,39	0,1,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.947,1.0	0.018
6	"AT5G66060"	NA	chr5	+	26421044	26421130	26420734	26420922	26421309	26421449	6	445,637,684	0,0,0	650,545,503	4,0,0	235	149	1	1.0	1.0,1.0,1.0	0.99,1.0,1.0	0.003
7	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	7	179,334,332	0,0,0	339,287,265	3,2,4	229	149	1	1.0	1.0,1.0,1.0	0.987,0.989,0.977	0.016
8	"AT5G65900"	NA	chr5	+	26359983	26360286	26359820	26359889	26360365	26360404	8	86,129,165	0,0,0	157,188,123	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.984	0.005
9	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	9	5,4,3	17,23,30	0,4,0	31,47,38	170	149	1	1.0	0.205,0.132,0.081	0.0,0.069,0.0	0.116
10	"AT5G65110"	NA	chr5	-	26011770	26011886	26010802	26011683	26012027	26012519	10	188,232,318	0,0,2	210,251,177	0,0,0	265	149	1	1.0	1.0,1.0,0.989	1.0,1.0,1.0	-0.004
11	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	11	41,50,64	19,22,33	21,31,18	37,19,15	207	149	0.24486835176	1.0	0.608,0.621,0.583	0.29,0.54,0.463	0.173
12	"AT5G64580"	NA	chr5	-	25819254	25819380	25819064	25819174	25819451	25819526	12	408,622,663	0,0,1	790,801,619	0,0,0	275	149	1	1.0	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
14	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052	14	235,303,290	2,0,9	222,258,196	2,5,0	269	149	1	1.0	0.985,1.0,0.947	0.984,0.966,1.0	-0.006
15	"AT5G64500"	NA	chr5	+	25783204	25783283	25782923	25783052	25783376	25783753	15	202,305,400	1,0,0	284,227,204	0,0,0	228	149	1	1.0	0.992,1.0,1.0	1.0,1.0,1.0	-0.003
16	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823	16	343,432,476	197,304,291	526,526,465	245,267,199	279	149	1	1.0	0.482,0.431,0.466	0.534,0.513,0.555	-0.074
17	"AT5G64130"	NA	chr5	-	25665104	25665167	25664981	25665029	25665258	25665372	17	1422,2219,2310	0,0,4	2397,2190,2135	0,0,0	212	149	1	1.0	1.0,1.0,0.998	1.0,1.0,1.0	-0.001
18	"AT5G63960"	NA	chr5	+	25602104	25602176	25601946	25602013	25602252	25602339	18	39,44,60	0,0,0	73,71,69	0,0,1	221	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.979	0.007
19	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630	19	32,51,31	0,3,0	59,38,67	0,0,1	298	149	1	1.0	1.0,0.895,1.0	1.0,1.0,0.971	-0.025
