ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G59770"	NA	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	0	177,135	100,117	117,65	83,41	167	146	1	1.0	0.607,0.502	0.552,0.581	-0.012
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	1	101,134	29,16	71,34	6,7	198	169	1	1.0	0.748,0.877	0.91,0.806	-0.046
2	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	2	50,74	84,49	27,12	44,41	139	144	0.355366547763	1.0	0.381,0.61	0.389,0.233	0.184
3	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	3	30,19	151,92	10,10	73,36	180	180	1	1.0	0.166,0.171	0.12,0.217	0.0
6	"AT5G10278"	NA	chr5	+	3227508	3227619	3228763	3228867	3226320	3226525	3229579	3229669	6	9,6	8,11	2,3	9,7	198	198	0.299239842221	1.0	0.529,0.353	0.182,0.3	0.2
7	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	7	1035,817	119,59	479,265	41,31	166	117	1	1.0	0.86,0.907	0.892,0.858	0.008
9	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617	9	66,85	103,90	44,25	44,32	138	156	1	1.0	0.42,0.516	0.531,0.469	-0.032
10	"AT4G21534"	NA	chr4	+	11456850	11456951	11457224	11457297	11456635	11456758	11457422	11457509	10	416,291	205,215	239,132	115,85	198	172	1	1.0	0.638,0.54	0.644,0.574	-0.02
11	"AT4G21534"	NA	chr4	+	11457604	11457682	11457806	11457877	11457422	11457509	11458004	11458268	11	219,196	363,276	97,57	186,87	177	170	1	1.0	0.367,0.405	0.334,0.386	0.026
12	"AT4G19410"	NA	chr4	-	10583012	10583066	10583160	10583221	10582835	10582913	10583390	10583515	12	2071,1966	1885,1582	1241,700	961,573	160	153	1	1.0	0.512,0.543	0.553,0.539	-0.018
13	"AT4G16765"	NA	chr4	-	9431001	9431123	9431428	9431480	9430743	9430844	9431557	9431638	13	49,63	112,98	48,32	54,43	151	198	0.874462976355	1.0	0.365,0.457	0.538,0.494	-0.105
14	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994	14	109,107	202,171	100,62	141,103	147	168	1	1.0	0.381,0.417	0.448,0.408	-0.029
15	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	15	45,26	145,88	22,8	121,78	119	152	0.571418415027	1.0	0.284,0.274	0.188,0.116	0.127
16	"AT3G59660"	NA	chr3	-	22037585	22037661	22037891	22037989	22037186	22037315	22038072	22038123	16	294,273	405,224	125,107	167,86	197	175	1	1.0	0.392,0.52	0.399,0.525	-0.006
17	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	17	153,188	334,272	111,84	235,125	170	198	1	1.0	0.348,0.446	0.355,0.439	0.0
18	"AT3G57470"	NA	chr3	-	21274617	21274669	21274835	21274879	21274359	21274482	21274958	21275032	18	118,110	148,177	86,73	137,111	143	151	1	1.0	0.457,0.396	0.399,0.41	0.022
19	"AT3G56160"	NA	chr3	-	20839374	20839488	20839888	20839947	20839033	20839055	20840318	20840397	19	89,45	167,108	48,16	103,47	158	198	1	1.0	0.4,0.343	0.369,0.299	0.038
21	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	21	348,449	575,585	425,246	671,413	198	198	1	1.0	0.377,0.434	0.388,0.373	0.025
22	"AT1G75670"	NA	chr1	-	28416069	28416221	28416395	28416519	28415847	28415957	28416744	28416867	22	147,123	93,102	86,49	71,44	198	198	1	1.0	0.612,0.547	0.548,0.527	0.042
23	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	23	52,57	135,116	26,15	67,33	143	198	1	1.0	0.348,0.405	0.35,0.386	0.009
24	"AT2G04900"	NA	chr2	+	1722669	1722740	1722824	1722905	1722480	1722590	1722989	1723033	24	1401,1143	806,727	758,507	446,294	170	180	1	1.0	0.648,0.625	0.643,0.646	-0.008
25	"AT3G11220"	NA	chr3	-	3514773	3514852	3515112	3515260	3514447	3514607	3515378	3515442	25	110,96	82,71	72,45	62,40	198	178	1	1.0	0.547,0.549	0.511,0.503	0.041
26	"AT1G78560"	NA	chr1	-	29547784	29547818	29547898	29547992	29547645	29547700	29548266	29548866	26	437,255	137,129	208,124	81,41	193	133	1	1.0	0.687,0.577	0.639,0.676	-0.025
27	"AT3G58490"	NA	chr3	+	21634032	21634136	21634434	21634550	21633717	21633848	21634643	21635106	27	656,559	585,620	555,321	508,308	198	198	1	1.0	0.529,0.474	0.522,0.51	-0.014
29	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	29	87,69	95,107	67,36	71,56	159	159	1	1.0	0.478,0.392	0.486,0.391	-0.004
30	"AT2G41100"	NA	chr2	+	17138306	17138573	17138673	17138943	17138064	17138206	17139044	17139617	30	2799,2703	2987,2902	1392,881	1740,1096	198	198	1	1.0	0.484,0.482	0.444,0.446	0.038
31	"AT5G02080"	NA	chr5	+	410161	410206	410563	410615	409945	410060	410720	410780	31	16,15	8,8	7,2	1,4	144	151	1	1.0	0.677,0.663	0.88,0.344	0.058
32	"AT5G02080"	NA	chr5	+	410161	410413	410563	410615	409945	410060	410720	410780	32	14,11	8,8	5,3	1,4	198	151	1	1.0	0.572,0.512	0.792,0.364	-0.036
33	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	33	400,300	6,19	253,176	17,9	198	198	1	1.0	0.985,0.94	0.937,0.951	0.018
