ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	3358,3823	3,6	2435,3824	3,4	188	99	1	1.0	0.998,0.997	0.998,0.998	-0.0
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	396,556	2,4	391,500	1,2	296	99	1	1.0	0.985,0.979	0.992,0.988	-0.008
4	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	4	414,556	0,1	326,488	0,0	187	99	1	1.0	1.0,0.997	1.0,1.0	-0.002
5	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	5	6547,7680	1,0	6399,9973	0,0	177	99	1	1.0	1.0,1.0	1.0,1.0	0.0
6	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	6	192,193	0,0	122,144	3,0	140	99	1	1.0	1.0,1.0	0.966,1.0	0.017
7	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	7	49,60	0,0	25,47	1,0	149	99	1	1.0	1.0,1.0	0.943,1.0	0.028
8	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243	8	928,1079	0,0	832,1329	0,1	235	99	1	1.0	1.0,1.0	1.0,0.998	0.001
9	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	9	945,1041	1,0	752,1194	0,0	160	99	1	1.0	0.998,1.0	1.0,1.0	-0.001
10	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	10	811,998	0,1	690,1071	0,0	179	99	1	1.0	1.0,0.998	1.0,1.0	-0.001
11	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235	11	925,1135	0,1	789,1140	0,0	180	99	1	1.0	1.0,0.998	1.0,1.0	-0.001
12	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	12	4,5	48,47	1,4	28,28	120	99	1	1.0	0.064,0.081	0.029,0.105	0.006
13	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206	13	1433,1894	0,1	926,1562	0,0	163	99	1	1.0	1.0,0.999	1.0,1.0	-0.0
14	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	14	197,243	116,131	63,124	95,146	157	99	0.00666568301939	1.0	0.517,0.539	0.295,0.349	0.206
16	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052	16	1142,1704	12,6	784,1160	6,9	219	99	1	1.0	0.977,0.992	0.983,0.983	0.001
17	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823	17	13,13	6,7	29,36	3,9	229	99	0.172534640455	1.0	0.484,0.445	0.807,0.634	-0.256
18	"AT5G63960"	NA	chr5	+	25602104	25602176	25601946	25602013	25602252	25602339	18	98,89	0,0	30,71	0,1	171	99	1	1.0	1.0,1.0	1.0,0.976	0.012
19	"AT5G63940"	NA	chr5	+	25588520	25588603	25587997	25588434	25588716	25588948	19	287,293	1,0	139,269	0,0	182	99	1	1.0	0.994,1.0	1.0,1.0	-0.003
20	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630	20	3001,3345	2,0	1933,3195	0,0	2955	99	1	1.0	0.98,1.0	1.0,1.0	-0.01
21	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946	21	607,677	1,2	418,571	0,5	212	99	1	1.0	0.996,0.994	1.0,0.982	0.004
22	"AT5G63640"	NA	chr5	+	25480099	25480175	25479856	25480017	25480294	25480380	22	408,566	0,0	355,581	0,2	175	99	1	1.0	1.0,1.0	1.0,0.994	0.003
25	"AT5G63200"	NA	chr5	+	25352245	25352393	25351735	25352020	25352519	25353039	25	524,541	0,1	303,477	0,0	247	99	1	1.0	1.0,0.995	1.0,1.0	-0.002
26	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973	26	2,0	6,13	0,1	4,14	229	99	1	1.0	0.126,0.0	0.0,0.03	0.048
28	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436	28	292,351	4,8	239,336	2,2	169	99	1	1.0	0.977,0.963	0.986,0.99	-0.018
29	"AT5G62820"	NA	chr5	-	25224107	25224243	25223726	25224022	25224335	25225052	29	55,62	0,0	36,84	2,0	235	99	1	1.0	1.0,1.0	0.883,1.0	0.058
31	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603	31	96,111	1,4	61,103	1,2	152	99	1	1.0	0.984,0.948	0.975,0.971	-0.007
32	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626	32	109,125	1,4	89,124	1,2	155	99	1	1.0	0.986,0.952	0.983,0.975	-0.01
33	"AT5G62165"	NA	chr5	+	24966361	24966443	24964645	24965256	24967327	24967427	33	9,8	0,4	1,3	0,0	181	99	0.650073222812	1.0	1.0,0.522	1.0,1.0	-0.239
