ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67260"	NA	chr5	+	26838296	26838388	26837395	26837630	26839494	26839597
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511
4	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535
5	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914
6	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558
7	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243
8	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
9	"AT5G65940"	NA	chr5	-	26378842	26378911	26378717	26378781	26378975	26379056
10	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235
12	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206
13	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
15	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
17	"AT5G63960"	NA	chr5	+	25602104	25602176	25601946	25602013	25602252	25602339
18	"AT5G63940"	NA	chr5	+	25588520	25588603	25587997	25588434	25588716	25588948
19	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946
20	"AT5G63550"	NA	chr5	+	25445272	25445306	25444574	25445191	25445813	25445893
27	"AT5G62600"	NA	chr5	-	25124828	25124903	25124685	25124740	25124983	25125063
28	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735
29	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603
30	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626
31	"AT5G62165"	NA	chr5	+	24966361	24966443	24964645	24965256	24967327	24967427
36	"AT5G61250"	NA	chr5	-	24634243	24634280	24633981	24634165	24634381	24634621
37	"AT5G60360"	NA	chr5	+	24281115	24281189	24280861	24280977	24281299	24281564
38	"AT5G66180"	NA	chr5	+	26450357	26450425	26450136	26450271	26450523	26450585
39	"AT5G66180"	NA	chr5	+	26450523	26450585	26450357	26450425	26450761	26451152
40	"AT5G59960"	NA	chr5	-	24143313	24143368	24143138	24143239	24143444	24143501
41	"AT5G59960"	NA	chr5	-	24143837	24143883	24143444	24143501	24144140	24144223
42	"AT5G59770"	NA	chr5	-	24079962	24080009	24079796	24079894	24080110	24080178
43	"AT5G59770"	NA	chr5	-	24079962	24080009	24079796	24079894	24080373	24080427
44	"AT5G59770"	NA	chr5	-	24080110	24080178	24079796	24079894	24080373	24080427
45	"AT5G59770"	NA	chr5	-	24080110	24080178	24079962	24080009	24080373	24080427
46	"AT5G59710"	NA	chr5	+	24058084	24058171	24057377	24057584	24058279	24058388
47	"AT5G59710"	NA	chr5	+	24060244	24060333	24059857	24059956	24060435	24060516
48	"AT5G59613"	NA	chr5	-	24016165	24016208	24015393	24015729	24016379	24016610
51	"AT5G58800"	NA	chr5	-	23746869	23746937	23746340	23746700	23747187	23747273
52	"AT5G58800"	NA	chr5	-	23746869	23746943	23746340	23746700	23747187	23747274
53	"AT5G58740"	NA	chr5	-	23727066	23727115	23726619	23726762	23727229	23727378
54	"AT5G58160"	NA	chr5	+	23538044	23538126	23537908	23537959	23538199	23538294
55	"AT5G58100"	NA	chr5	+	23510794	23510865	23510556	23510675	23511442	23511548
56	"AT5G58100"	NA	chr5	+	23512420	23512524	23511949	23512108	23512722	23512898
57	"AT5G57960"	NA	chr5	-	23465534	23465651	23465144	23465259	23465806	23465949
58	"AT5G57940"	NA	chr5	+	23457323	23457906	23457015	23457144	23458067	23458280
59	"AT5G57940"	NA	chr5	+	23457344	23457906	23457115	23457144	23458067	23458280
60	"AT5G56950"	NA	chr5	+	23034843	23034861	23034545	23034747	23035230	23035693
61	"AT5G56870"	NA	chr5	+	23005146	23005213	23004928	23005041	23005320	23005413
63	"AT5G56020"	NA	chr5	+	22685514	22685619	22685147	22685406	22686095	22686300
64	"AT5G55810"	NA	chr5	-	22585942	22586016	22585461	22585547	22586189	22586347
65	"AT5G55280"	NA	chr5	-	22422031	22422131	22421708	22421938	22422233	22422649
67	"AT5G54770"	NA	chr5	+	22247155	22247644	22246518	22247032	22247729	22248332
68	"AT5G54750"	NA	chr5	+	22242403	22242501	22242063	22242136	22242750	22242850
69	"AT5G54750"	NA	chr5	+	22242403	22242540	22242063	22242136	22242750	22242850
70	"AT5G54290"	NA	chr5	+	22051513	22051645	22051036	22051169	22051836	22051895
71	"AT5G54290"	NA	chr5	+	22052585	22052617	22052391	22052477	22052845	22053007
72	"AT5G53900"	NA	chr5	-	21882590	21882734	21882328	21882434	21882856	21882907
73	"AT5G53530"	NA	chr5	-	21747805	21747880	21747642	21747715	21747978	21748053
74	"AT5G53530"	NA	chr5	-	21748153	21748192	21747978	21748053	21748463	21748719
78	"AT5G53080"	NA	chr5	+	21521515	21521666	21521169	21521428	21521755	21521978
79	"AT5G53050"	NA	chr5	-	21512347	21512443	21511912	21511966	21512643	21512744
81	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499888	21500829
82	"AT5G53010"	NA	chr5	-	21490162	21490300	21489956	21490060	21490445	21490544
84	"AT5G53010"	NA	chr5	-	21494982	21495052	21494804	21494875	21495320	21495410
85	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163726	21163968
87	"AT5G52070"	NA	chr5	+	21163578	21163968	21162095	21162208	21164079	21164196
88	"AT5G52070"	NA	chr5	+	21163726	21163968	21162095	21162208	21164079	21164196
89	"AT5G53350"	NA	chr5	+	21646259	21646330	21645907	21645964	21646430	21646530
90	"AT5G51230"	NA	chr5	+	20826836	20826890	20826675	20826728	20826973	20827033
91	"AT5G51230"	NA	chr5	+	20827453	20827500	20826973	20827033	20827583	20827684
92	"AT5G51200"	NA	chr5	+	20811921	20812040	20811158	20811356	20812248	20812399
93	"AT5G51200"	NA	chr5	+	20811921	20812043	20811158	20811356	20812248	20812399
94	"AT5G51200"	NA	chr5	+	20814501	20814594	20813897	20814101	20814667	20814781
95	"AT5G51140"	NA	chr5	-	20786359	20786437	20786172	20786273	20786515	20786559
96	"AT5G50780"	NA	chr5	+	20652460	20652559	20652118	20652247	20652652	20652754
98	"AT5G49730"	NA	chr5	-	20203457	20203692	20202957	20203285	20203778	20203976
99	"AT5G49390"	NA	chr5	+	20027353	20027415	20026901	20026988	20027587	20027665
101	"AT5G49030"	NA	chr5	-	19879726	19879871	19879315	19879547	19880180	19880288
102	"AT5G48730"	NA	chr5	+	19763773	19764180	19763109	19763556	19764421	19765272
103	"AT5G48640"	NA	chr5	-	19724984	19725029	19724671	19724790	19725386	19725493
104	"AT5G48640"	NA	chr5	-	19724984	19725236	19724671	19724790	19725386	19725493
105	"AT5G48640"	NA	chr5	-	19725196	19725236	19724984	19725029	19725386	19725493
106	"AT5G48620"	NA	chr5	+	19716989	19717075	19716103	19716609	19717341	19718282
107	"AT5G48620"	NA	chr5	+	19716996	19717075	19716142	19716609	19717341	19718282
108	"AT5G48610"	NA	chr5	+	19712080	19712244	19711540	19711696	19712335	19712691
