	CRR341295	CRR341296
AT1G01020;A5:1:8464-8571:8464-8594:-	0.578132877288323	0.471711516236861
AT1G01020;RI:1:7157:7232-7384:7450:-	0.578132877288323	0.471711516236861
AT1G01020;RI:1:8236:8325-8417:8464:-	0.0332708391487317	0.113062374444538
AT1G01030;RI:1:11649:12354-12424:13173:-	1	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.510190980706046	0.654880486850443
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	1	0.139616411781615
AT1G01060;RI:1:37023:37203-37373:37398:-	0	0
AT1G01060;RI:1:37373:37398-37569:37780:-	nan	0
AT1G01080;A5:1:46145-46373:46145-46376:-	0.596192309145424	0.581922036657071
AT1G01080;RI:1:44970:45559-45646:45954:-	0.163465964721752	0.167068254849024
AT1G01100;A5:1:50963-51123:50963-51126:-	0.0845956077490105	0.0480542823540787
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.969465378956585	0.982347136847149
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.874704867061022	0.918512956892269
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.835019020844689	0.789099349550216
AT1G01100;RI:1:50419:50447-50496:50631:-	0.895619748889189	0.935429952095046
AT1G01140;A5:1:64475-64570:64475-64582:-	0.174791963735617	0.338066709039158
AT1G01140;A5:1:65652-65733:65652-65739:-	0.221865086583464	0.235303053001005
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00828851536759699	0.0100557379478725
AT1G01170;A3:1:74455-74661:74449-74661:-	0.934039540333507	0.966802328161299
AT1G01220;A5:1:92089-92270:92070-92270:+	0.203112383336662	0.0667993266792969
AT1G01220;RI:1:91743:92070-92270:92501:+	nan	0
AT1G01220;RI:1:91743:92070-92270:92933:+	0	0
AT1G01220;RI:1:91743:92089-92270:92501:+	nan	nan
AT1G01220;RI:1:91743:92089-92270:92933:+	0	0
AT1G01220;RI:1:91743:92501-92569:92933:+	nan	nan
AT1G01220;RI:1:92270:92501-92569:92933:+	0.59649308713295	0.457661769892875
AT1G01240;A3:1:100031-100111:100031-100657:+	0	0
AT1G01240;A5:1:100220-100657:100031-100657:+	0.0630893729659729	0
AT1G01240;RI:1:99866:100031-100657:101987:+	0.101189767979685	0.0592870576998358
AT1G01240;RI:1:99866:100220-100657:101987:+	0.625734630071464	1
