Geneid	Chr	Start	End	Strand	Length	logFC	abs	exon.F	P.Value	FDR
AT2G41640+AT2G41650	2	17362891	17363788	+	898	-2.51762390110897	2.51762390110897	1429.86543002668	7.43688152458988E-46	9.78537434124012E-41
AT1G15125+AT1G15120	1	5205565	5205960	+	396	-2.34518185082093	2.34518185082093	742.896806477507	6.46027255091605E-40	4.25018100988491E-35
AT5G46410+AT5G46420	5	18826658	18827152	+	495	1.1601449115328	1.1601449115328	404.232386595429	9.62154712824376E-38	4.21997849862395E-33
AT5G46410+AT5G46420	5	18827427	18827764	+	338	1.16541234754096	1.16541234754096	358.178935662973	1.39924216181164E-35	4.60277211022535E-31
AT4G32590	4	15721808	15722015	+	208	2.51777952538887	2.51777952538887	723.460022101159	1.92794540891101E-35	5.07354257918203E-31
AT2G41640+AT2G41650	2	17362645	17362890	+	246	-2.40115451190066	2.40115451190066	564.536510990478	1.11207690622322E-33	2.10503473765547E-29
AT1G15125+AT1G15120	1	5204758	5205049	+	292	-2.15129015055719	2.15129015055719	477.106037009556	1.1198780324815E-33	2.10503473765547E-29
AT1G15125+AT1G15120	1	5205126	5205490	+	365	-2.34079354074709	2.34079354074709	442.632373718467	1.18596784563066E-32	1.95060578950295E-28
AT1G06680+AT1G06670	1	2046476	2047632	+	1157	0.649225386459641	0.649225386459641	242.067312596969	5.31235914819388E-31	7.7666100484467E-27
AT5G46410+AT5G46420	5	18825916	18826172	+	257	1.18707248942756	1.18707248942756	266.699689149409	1.47648196684254E-30	1.94274020715175E-26
AT1G06680+AT1G06670	1	2045873	2046391	+	519	0.742067062347946	0.742067062347946	219.951462029408	2.61147082836344E-29	3.12377018295666E-25
AT1G06680+AT1G06670	1	2044707	2045786	+	1080	0.710801004765271	0.710801004765271	213.487501640054	8.55028034470509E-29	9.37531114563292E-25
AT5G46410+AT5G46420	5	18827998	18828786	+	789	1.09043336314672	1.09043336314672	237.16377711453	1.15094277238984E-28	1.1649223003714E-24
AT1G06680+AT1G06670	1	2043590	2044576	+	987	0.746445570017034	0.746445570017034	209.390314091176	1.83498803100907E-28	1.72461350094387E-24
AT5G56100+AT5G56090	5	22716998	22717849	+	852	-1.53949087950665	1.53949087950665	366.155472688796	2.09624316927006E-27	1.83881053312924E-23
AT1G23080	1	8182206	8182217	-	12	0.979718866145813	0.979718866145813	276.250137699484	3.80252830906315E-27	3.12708045236388E-23
AT2G35390	2	14897108	14897215	-	108	1.3313490117039	1.3313490117039	300.015657087866	8.93106596236504E-27	6.91259251918841E-23
AT3G14415	3	4819755	4819772	+	18	1.16398574036451	1.16398574036451	245.105134206379	9.80503475385987E-27	7.16742593265626E-23
AT3G26890+AT3G26900	3	9910945	9911367	-	423	1.44332418522988	1.44332418522988	180.747971203189	1.53532052389359E-26	1.06324178533366E-22
AT4G26530+AT4G26520+AT4G26510	4	13387771	13388289	+	519	0.641636829587219	0.641636829587219	147.139975308227	9.47016356910023E-25	6.22987770850149E-21
AT5G22450+AT5G22460	5	7443508	7443949	-	442	0.82162477267844	0.82162477267844	161.759512969139	9.94288084561604E-25	6.22987770850149E-21
AT1G77060+AT1G77030	1	28951656	28952172	-	517	-0.630110276159709	0.630110276159709	188.227902199104	1.9996817292231E-24	1.19598237386112E-20
AT5G22450+AT5G22460	5	7444043	7444310	-	268	0.814421428938831	0.814421428938831	158.094909887628	2.2942217405543E-24	1.31248435826258E-20
AT4G34840+AT4G34850	4	16609293	16609720	+	428	6.66416442764936	6.66416442764936	198.43216139545	6.47514582347507E-24	3.54997171794594E-20
AT5G22450+AT5G22460	5	7444395	7444606	-	212	0.907762791405201	0.907762791405201	148.799504129995	2.00852488024485E-23	1.05711878087095E-19
AT2G35390	2	14897216	14897437	-	222	1.13949104367484	1.13949104367484	221.856504888027	3.30993164549479E-23	1.67506729224061E-19
AT4G31780+AT4G31790	4	15377972	15378873	+	902	0.673640674310201	0.673640674310201	179.801553089327	4.72152409776721E-23	2.30093858985226E-19
AT1G08900	1	2852604	2852715	+	112	2.20278860239068	2.20278860239068	149.27015779604	7.67081716106314E-23	3.60470875441259E-19
AT3G26890+AT3G26900	3	9909318	9910792	-	1475	0.450263401077656	0.450263401077656	141.087545483714	1.2847679370908E-22	5.8292579446369E-19
AT1G06680+AT1G06670	1	2041075	2041507	+	433	0.775215202472916	0.775215202472916	144.712187538086	1.32981603338341E-22	5.83252879521851E-19
AT1G06680+AT1G06670	1	2046392	2046475	+	84	0.749861576749536	0.749861576749536	144.244623666005	1.48303503089479E-22	6.29471826871306E-19
AT3G24180+AT3G24170	3	8735373	8736588	-	1216	-0.413490283663599	0.413490283663599	122.511501736696	2.33236303817932E-22	9.59031238126865E-19
AT4G26530+AT4G26520+AT4G26510	4	13387196	13387289	+	94	0.607817766524949	0.607817766524949	125.850969778518	3.55888969509904E-22	1.41901559754981E-18
AT1G78960	1	29696708	29696925	+	218	5.71320190493434	5.71320190493434	152.047557989539	4.03340328195061E-22	1.56091520716406E-18
AT5G46410+AT5G46420	5	18826498	18826579	+	82	1.24161376989671	1.24161376989671	150.636264534337	5.39287681330089E-22	2.02739810919234E-18
AT5G22450+AT5G22460	5	7445018	7445286	-	269	0.935139218993685	0.935139218993685	134.612155887325	6.36072605314417E-22	2.32482770374071E-18
AT2G39730	2	16571180	16571190	-	11	0.439216772543467	0.439216772543467	196.027862480031	8.23524947014406E-22	2.92861051360023E-18
AT4G26530+AT4G26520+AT4G26510	4	13385543	13385655	+	113	0.703089757460754	0.703089757460754	121.326783107002	1.32700034203981E-21	4.59487836855937E-18
AT1G59990+AT1G60000	1	22090916	22091222	-	307	0.605261652201085	0.605261652201085	156.070322928276	2.93269564908931E-21	9.89438873875698E-18
AT1G59990+AT1G60000	1	22091335	22091795	-	461	0.545183259376248	0.545183259376248	155.646827139273	3.16838243093793E-21	1.04223147970096E-17
AT5G46410+AT5G46420	5	18825103	18825239	+	137	1.22028305124251	1.22028305124251	136.992832712539	9.75012615078391E-21	3.12905328974145E-17
AT1G12900	1	4392486	4392609	-	124	0.596782689385352	0.596782689385352	153.617376161183	2.53942545800704E-20	7.95559672235972E-17
AT3G07040+AT3G07050	3	2225855	2229354	-	3500	-0.74654813503388	0.74654813503388	163.67914644538	2.68241605769738E-20	8.20813075478521E-17
AT1G06680+AT1G06670	1	2040433	2040669	+	237	0.813215171810329	0.813215171810329	121.331232609226	3.98561782202468E-20	1.19187183500951E-16
AT4G26530+AT4G26520+AT4G26510	4	13387571	13387653	+	83	0.610686817584211	0.610686817584211	108.349845317855	6.51856883328416E-20	1.90601504114377E-16
AT4G26530+AT4G26520+AT4G26510	4	13388784	13389037	+	254	0.554259454606372	0.554259454606372	107.915128556776	7.45074787463984E-20	2.13122164042877E-16
AT5G44020+AT5G44030	5	17717146	17717691	+	546	0.758773356887202	0.758773356887202	135.481381589318	7.80479664927138E-20	2.18499433683932E-16
AT5G44020+AT5G44030	5	17715739	17716351	+	613	0.898612602834504	0.898612602834504	133.465617547698	1.18115662438602E-19	3.23782098916849E-16
AT4G26530+AT4G26520+AT4G26510	4	13385142	13385211	+	70	0.657239325682541	0.657239325682541	104.167629797168	2.37961001908632E-19	6.38993278982366E-16
AT5G46410+AT5G46420	5	18826296	18826417	+	122	1.26553813073524	1.26553813073524	121.654771205673	3.09834793368275E-19	8.15355045532085E-16
AT5G60960+AT5G60950	5	24527283	24527715	-	433	-1.25371340979319	1.25371340979319	204.067624695733	4.76103957286824E-19	1.22421041851615E-15
AT4G26530+AT4G26520+AT4G26510	4	13389170	13389598	+	429	0.501117324695093	0.501117324695093	101.903255599547	4.83807763874479E-19	1.22421041851615E-15
AT1G72330+AT1G72340	1	27237964	27238205	+	242	-0.697927227098516	0.697927227098516	115.934338465004	5.07349064512827E-19	1.25955627470817E-15
AT1G77060+AT1G77030	1	28953157	28953580	-	424	-0.696249030797293	0.696249030797293	123.062566788191	6.16757881979847E-19	1.50282195098197E-15
AT4G26530+AT4G26520+AT4G26510	4	13387361	13387433	+	73	0.621480116699095	0.621480116699095	101.041687317531	6.34776844759769E-19	1.51860549921174E-15
AT1G77060+AT1G77030	1	28952254	28952429	-	176	-0.697472416122126	0.697472416122126	120.964166740425	9.84511833012943E-19	2.31323361564304E-15
AT1G06680+AT1G06670	1	2040881	2040971	+	91	0.832361051427006	0.832361051427006	108.026000203387	1.3150242719442E-18	3.03560664347625E-15
AT1G03130+AT1G03140	1	755381	756303	-	923	0.557251638845235	0.557251638845235	237.175675208508	1.38089150903921E-18	3.1326952391012E-15
AT3G53140+AT3G53130	3	19695643	19696069	+	427	1.38400199765284	1.38400199765284	130.747090491967	1.46426718589158E-18	3.26553918732928E-15
AT4G26530+AT4G26520+AT4G26510	4	13386397	13386591	+	195	0.697145925138653	0.697145925138653	96.374323084168	2.8078296664561E-18	6.15752366137711E-15
AT3G54500	3	20178941	20178982	-	42	-0.483624635953182	0.483624635953182	108.618015570215	4.73928061017449E-18	1.02227836623959E-14
AT3G06160+AT3G06170	3	1866137	1866659	+	523	1.27535157525224	1.27535157525224	132.024050907453	5.17558172674523E-18	1.09838365810227E-14
AT4G31780+AT4G31790	4	15377466	15377628	+	163	0.866308822323154	0.866308822323154	117.986742586207	5.60673327863483E-18	1.1709973937611E-14
AT2G41640+AT2G41650	2	17364033	17364518	+	486	0.491494411632592	0.491494411632592	141.820265318749	5.79185961331821E-18	1.190761087595E-14
AT1G15125+AT1G15120	1	5204495	5204675	+	181	-2.37302683613255	2.37302683613255	128.687929159708	9.44796332734792E-18	1.91254394869094E-14
AT4G26530+AT4G26520+AT4G26510	4	13387033	13387093	+	61	0.60370232770703	0.60370232770703	91.2647936844447	1.47509753738695E-17	2.94078574048238E-14
AT4G31780+AT4G31790	4	15377716	15377840	+	125	0.92126407546667	0.92126407546667	113.346334252874	1.54821691356803E-17	3.04049004881147E-14
AT1G72930	1	27439931	27439973	+	43	1.29398970007345	1.29398970007345	185.039754455118	1.66789474229361E-17	3.22735179847428E-14
AT3G06160+AT3G06170	3	1866932	1867192	+	261	1.44105428928954	1.44105428928954	124.360375602582	2.09409065500547E-17	3.99330948253573E-14
AT4G26630	4	13435596	13435651	-	56	-2.79014221091657	2.79014221091657	113.148937808466	2.80508398530617E-17	5.27271636718002E-14
AT1G77080	1	28955864	28958310	+	2447	1.3285766685551	1.3285766685551	102.974833971388	2.92830697437464E-17	5.42681272367945E-14
AT2G38170	2	15989509	15990228	-	720	0.488973937048316	0.488973937048316	118.762095820396	3.01601316609722E-17	5.51172217197092E-14
AT3G14010	3	4638933	4638938	+	6	-1.97935622142973	1.97935622142973	104.384528743661	3.06788070485603E-17	5.52970788033221E-14
AT4G00700+AT4G00690+AT4G00695	4	286200	288988	+	2789	-1.09672730660653	1.09672730660653	106.937486888583	4.55678009243451E-17	8.10238605111406E-14
AT4G32590	4	15721694	15721807	+	114	-0.596690648152565	0.596690648152565	134.353313741898	4.96153040087437E-17	8.70444278155532E-14
AT4G26530+AT4G26520+AT4G26510	4	13384762	13384853	+	92	0.610251524182028	0.610251524182028	87.2723286118958	5.52049705975381E-17	9.55765108717562E-14
AT1G56700+AT1G56690	1	21253686	21256024	+	2339	0.997585030685437	0.997585030685437	122.798771296711	6.00471063188372E-17	1.02609587043198E-13
AT5G44020+AT5G44030	5	17716862	17717074	+	213	1.04498919992633	1.04498919992633	104.728798329504	6.77178335795076E-17	1.14233908007154E-13
AT4G26530+AT4G26520+AT4G26510	4	13384490	13384659	+	170	0.574431664818587	0.574431664818587	83.7003897642683	1.83076943889917E-16	3.0492507848217E-13
AT1G67700	1	25375713	25375726	+	14	0.40556945858604	0.40556945858604	118.917208145276	2.67392622809863E-16	4.39790673958736E-13
AT5G46410+AT5G46420	5	18828891	18829221	+	331	1.13201321904261	1.13201321904261	94.4074199772166	2.71629889209169E-16	4.41244311015472E-13
AT4G24740	4	12755049	12755141	-	93	0.956806701999383	0.956806701999383	98.2782815053302	3.20529204369301E-16	5.14328197337906E-13
AT3G01500+AT3G01510	3	194724	194891	-	168	0.320883247656756	0.320883247656756	85.7031832634857	4.78218264767916E-16	7.58114229637321E-13
AT3G01500+AT3G01510	3	196848	197564	-	717	0.541552868555438	0.541552868555438	85.5804147561155	4.96606994531611E-16	7.77893473017558E-13
AT1G59990+AT1G60000	1	22090675	22090827	-	153	0.539255105135807	0.539255105135807	96.832410322157	7.04131817339659E-16	1.08418296442623E-12
AT1G10360+AT1G10370	1	3396486	3396882	-	397	-0.581625571196245	0.581625571196245	149.768767348455	7.086217021003E-16	1.08418296442623E-12
AT4G34840+AT4G34850	4	16608637	16609203	+	567	3.29083552599439	3.29083552599439	97.9609635166099	8.52678147176979E-16	1.27919144715221E-12
AT1G01060	1	37231	37372	-	142	1.06570678813239	1.06570678813239	94.315731678631	8.55522897646239E-16	1.27919144715221E-12
AT4G26530+AT4G26520+AT4G26510	4	13385862	13385958	+	97	0.767935361830132	0.767935361830132	78.6157034497841	1.04012115017769E-15	1.53773146987899E-12
AT5G37850	5	15065480	15065512	+	33	-1.02460594526988	1.02460594526988	92.8856273426039	1.22566980654204E-15	1.79191563861106E-12
AT4G26530+AT4G26520+AT4G26510	4	13388363	13388703	+	341	0.593746171928569	0.593746171928569	78.0329071715517	1.27227869173775E-15	1.83961712066111E-12
AT5G63510	5	25424966	25425046	+	81	1.83154034031497	1.83154034031497	155.846090203567	1.65281929542213E-15	2.36387293556901E-12
AT1G77060+AT1G77030	1	28949899	28951060	-	1162	0.480877545836485	0.480877545836485	89.1154633378238	2.22157039632543E-15	3.1431399051409E-12
AT1G53800	1	20082696	20082705	+	10	-1.97089799058963	1.97089799058963	96.8791823433038	2.98711052902811E-15	4.18128740743606E-12
AT1G59990+AT1G60000	1	22092565	22093060	-	496	0.616608330125187	0.616608330125187	90.5571706048688	3.29106786322132E-15	4.55826756183998E-12
AT2G02080	2	520977	520980	-	4	2.41730739441602	2.41730739441602	113.660009835033	3.616358505173E-15	4.95663370575164E-12
AT1G03130+AT1G03140	1	754263	754890	-	628	0.624983218068898	0.624983218068898	145.674893668216	4.91090082032253E-15	6.66156102100225E-12
AT3G26890+AT3G26900	3	9913002	9913084	-	83	-0.460772385710451	0.460772385710451	77.5017009952977	6.24756368803586E-15	8.38824676028643E-12
AT1G59990+AT1G60000	1	22092074	22092361	-	288	0.553276418048949	0.553276418048949	87.9478924110851	6.35127479493959E-15	8.44135743680158E-12
AT1G50460	1	18693644	18694302	+	659	0.59501315191889	0.59501315191889	98.2608497984591	6.9608246091234E-15	9.15898341243848E-12
AT1G29970+AT1G29965	1	10501137	10501427	-	291	-0.575518033577058	0.575518033577058	94.1319540119494	9.419076980284E-15	1.22708191087999E-11
AT4G23910	4	12426712	12426729	+	18	-1.3841876917115	1.3841876917115	99.8372658157623	9.61014463520318E-15	1.23969923623078E-11
AT3G53140+AT3G53130	3	19696179	19696515	+	337	1.04225819837112	1.04225819837112	88.9146926721523	1.15934780138772E-14	1.48102742095918E-11
AT1G10360+AT1G10370	1	3395551	3396100	-	550	-0.479455537432568	0.479455537432568	124.316008543216	1.66887065216121E-14	2.11142626481461E-11
AT3G09200+AT3G09210	3	2825620	2825971	-	352	-0.33439115395384	0.33439115395384	91.1754538883497	1.8166785493267E-14	2.27654044611294E-11
