ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
16	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466686	25466864
17	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087
55	"AT5G53020"	NA	chr5	+	21499290	21500829	21499888	21500829	21498423	21498605
57	"AT5G53020"	NA	chr5	+	21499888	21500829	21499966	21500829	21499416	21499440
63	"AT5G52070"	NA	chr5	+	21163578	21163968	21163726	21163968	21161131	21161353
75	"AT5G50240"	NA	chr5	+	20451631	20451902	20451640	20451902	20451532	20451544
80	"AT5G48640"	NA	chr5	-	19724984	19725236	19724984	19725029	19725386	19725493
83	"AT5G48545"	NA	chr5	+	19677544	19677747	19677693	19677747	19676967	19677034
94	"AT5G46250"	NA	chr5	+	18757246	18757315	18757250	18757315	18757110	18757158
106	"AT5G41700"	NA	chr5	+	16676482	16676619	16676491	16676619	16676053	16676141
107	"AT5G41700"	NA	chr5	+	16676781	16677509	16677079	16677509	16676491	16676619
110	"AT5G40910"	NA	chr5	+	16395536	16397169	16396097	16397169	16395210	16395275
116	"AT5G40280"	NA	chr5	+	16102637	16102870	16102816	16102870	16102244	16102280
130	"AT5G37340"	NA	chr5	-	14789165	14789236	14789165	14789219	14789342	14789409
162	"AT5G24350"	NA	chr5	+	8304631	8305566	8304644	8305566	8303289	8304256
175	"AT5G23080"	NA	chr5	-	7746183	7746258	7746183	7746255	7746432	7746519
187	"AT5G57300"	NA	chr5	-	23210517	23210660	23210517	23210654	23210874	23211002
201	"AT5G28020"	NA	chr5	-	10028127	10028179	10028127	10028172	10028485	10028525
202	"AT5G28020"	NA	chr5	-	10028127	10028185	10028127	10028172	10028485	10028525
203	"AT5G28020"	NA	chr5	-	10028127	10028185	10028127	10028179	10028485	10028525
207	"AT5G17170"	NA	chr5	+	5650623	5650692	5650628	5650692	5650434	5650520
216	"AT5G15540"	NA	chr5	-	5055961	5056217	5055961	5056209	5056550	5056646
238	"AT5G12290"	NA	chr5	-	3976383	3976578	3976383	3976574	3976699	3976865
258	"AT5G08535"	NA	chr5	+	2762441	2762940	2762709	2762940	2762028	2762261
272	"AT5G07570"	NA	chr5	+	2394758	2396329	2395118	2396329	2393102	2394677
285	"AT5G06690"	NA	chr5	-	2060871	2061047	2060871	2060889	2061135	2061210
290	"AT5G05310"	NA	chr5	+	1572220	1572322	1572225	1572322	1572080	1572149
307	"AT5G28770"	NA	chr5	-	10796456	10797113	10796456	10796920	10797195	10797271
314	"AT5G01470"	NA	chr5	+	192295	192769	192301	192769	192128	192227
318	"AT5G01010"	NA	chr5	-	1278	1646	1278	1459	1744	1780
326	"AT4G39140"	NA	chr4	-	18230996	18231374	18230996	18231301	18231906	18232020
327	"AT4G39140"	NA	chr4	-	18230996	18231378	18230996	18231301	18231906	18232020
328	"AT4G39140"	NA	chr4	-	18230996	18231378	18230996	18231374	18231906	18232020
346	"AT5G14780"	NA	chr5	+	4777602	4777933	4777733	4777933	4776732	4777129
348	"AT5G14780"	NA	chr5	+	4777733	4777933	4777758	4777933	4776732	4777129
349	"AT5G14780"	NA	chr5	+	4777733	4777933	4777758	4777933	4776732	4777646
352	"AT4G35920"	NA	chr4	-	17014306	17014522	17014306	17014409	17014760	17015099
353	"AT4G35920"	NA	chr4	-	17014306	17014522	17014306	17014409	17015075	17015493
369	"AT4G34090"	NA	chr4	-	16328397	16328493	16328397	16328479	16328564	16328663
370	"AT4G34090"	NA	chr4	-	16328397	16328493	16328397	16328479	16328568	16328663
371	"AT5G48000"	NA	chr5	-	19446761	19447008	19446761	19447004	19447121	19447149
372	"AT5G48000"	NA	chr5	-	19446761	19447008	19446761	19447004	19447705	19447866
373	"AT4G33770"	NA	chr4	-	16194666	16195038	16194666	16194787	16195121	16195203
381	"AT4G32850"	NA	chr4	+	15854043	15854241	15854164	15854241	15853669	15853753
384	"AT4G32850"	NA	chr4	+	15854317	15855186	15854362	15855186	15854164	15854211
385	"AT4G32850"	NA	chr4	+	15854317	15855194	15854326	15855194	15854164	15854245
387	"AT4G32600"	NA	chr4	+	15723919	15724677	15723957	15724677	15723344	15723674
412	"AT5G64460"	NA	chr5	-	25775044	25775115	25775044	25775106	25775394	25775429
427	"AT4G26300"	NA	chr4	-	13312195	13312270	13312195	13312266	13313019	13313109
429	"AT4G26070"	NA	chr4	+	13218146	13218231	13218153	13218231	13217794	13217867
466	"AT4G22540"	NA	chr4	-	11863760	11864126	11863760	11864123	11865712	11866475
470	"AT4G21760"	NA	chr4	+	11563298	11563401	11563332	11563401	11562967	11563227
497	"AT4G20010"	NA	chr4	+	10843219	10843329	10843223	10843329	10842918	10843027
548	"AT4G14385"	NA	chr4	-	8287347	8287544	8287347	8287430	8288078	8288148
553	"AT4G13590"	NA	chr4	-	7903341	7903498	7903341	7903494	7903650	7904042
576	"AT4G11410"	NA	chr4	-	6945404	6945866	6945404	6945451	6945965	6946044
580	"AT4G10430"	NA	chr4	-	6454874	6455374	6454874	6455241	6455796	6455883
585	"AT4G09680"	NA	chr4	+	6121464	6122407	6122087	6122407	6121178	6121395
614	"AT5G26040"	NA	chr5	-	9100377	9100442	9100377	9100428	9100528	9100695
619	"AT4G03230"	NA	chr4	-	1420535	1420891	1420535	1420879	1420958	1421444
624	"AT4G02885"	NA	chr4	+	6666372	6666456	6666379	6666456	6665857	6666001
634	"AT5G10490"	NA	chr5	-	3303927	3304104	3303927	3303981	3304532	3304759
657	"AT3G63280"	NA	chr3	+	23378543	23378667	23378581	23378667	23378310	23378448
664	"AT3G61440"	NA	chr3	+	22737383	22737599	22737518	22737599	22737225	22737305
665	"AT3G61070"	NA	chr3	-	22605967	22606167	22605967	22606164	22606711	22606822
667	"AT3G60600"	NA	chr3	+	22401501	22401990	22401912	22401990	22401284	22401440
668	"AT3G60600"	NA	chr3	+	22401521	22401990	22401912	22401990	22401284	22401440
670	"AT3G60286"	NA	chr3	-	22281722	22281990	22281722	22281987	22282179	22282255
671	"AT3G60260"	NA	chr3	+	22274255	22274387	22274258	22274387	22273842	22274108
683	"AT3G59470"	NA	chr3	-	21979542	21980132	21979542	21980122	21980527	21980839
716	"AT3G55880"	NA	chr3	+	20738259	20738967	20738625	20738967	20737315	20737584
750	"AT3G51370"	NA	chr3	+	19069956	19070812	19070444	19070812	19069652	19069719
751	"AT3G51270"	NA	chr3	+	19033801	19033934	19033805	19033934	19033614	19033696
762	"AT4G05210"	NA	chr4	+	2683401	2683617	2683406	2683617	2682612	2683017
768	"AT5G64520"	NA	chr5	+	25789986	25790540	25790218	25790540	25789874	25789911
774	"AT3G48870"	NA	chr3	-	18125374	18126024	18125374	18125958	18126367	18126664
776	"AT3G48190"	NA	chr3	+	17824593	17825075	17824934	17825075	17824427	17824517
792	"AT3G46210"	NA	chr3	-	16978383	16978502	16978383	16978499	16978851	16978892
793	"AT3G46210"	NA	chr3	-	16978383	16978502	16978383	16978499	16978864	16978916
798	"AT1G53780"	NA	chr1	-	20077199	20077316	20077199	20077292	20077441	20077543
809	"AT2G05520"	NA	chr2	+	2026670	2027117	2026733	2027117	2026523	2026610
810	"AT2G05520"	NA	chr2	+	2026712	2027117	2026733	2027117	2026523	2026610
811	"AT2G05520"	NA	chr2	+	2026670	2027117	2026712	2027117	2026523	2026628
812	"AT2G05520"	NA	chr2	+	2026670	2027117	2026733	2027117	2026523	2026628
813	"AT2G05520"	NA	chr2	+	2026712	2027117	2026733	2027117	2026523	2026628
815	"AT4G24230"	NA	chr4	-	12566630	12567144	12566630	12567138	12567237	12567362
816	"AT5G35330"	NA	chr5	-	13524824	13525279	13524824	13525275	13525641	13525834
818	"AT3G14230"	NA	chr3	-	4737574	4738454	4737574	4738451	4738699	4739136
828	"AT2G02780"	NA	chr2	-	782272	782504	782272	782387	782570	782764
834	"AT2G01460"	NA	chr2	+	211064	211190	211092	211190	210916	210971
837	"AT4G39460"	NA	chr4	-	18357852	18357929	18357852	18357925	18358051	18358138
838	"AT4G39460"	NA	chr4	-	18357852	18357929	18357852	18357925	18358055	18358138
855	"AT1G80190"	NA	chr1	+	30159435	30159550	30159439	30159550	30158922	30159245
884	"AT5G55550"	NA	chr5	-	22503436	22503846	22503436	22503669	22503926	22504076
893	"AT3G11945"	NA	chr3	-	3782140	3782265	3782140	3782253	3782673	3782981
899	"AT1G73177"	NA	chr1	-	27516571	27516782	27516571	27516777	27516926	27517194
900	"AT1G73177"	NA	chr1	-	27516571	27516782	27516571	27516777	27517140	27517194
908	"AT1G70830"	NA	chr1	-	26710004	26710283	26710004	26710244	26710817	26711053
917	"AT1G69210"	NA	chr1	-	26018437	26019081	26018437	26018882	26019179	26019355
919	"AT1G68890"	NA	chr1	+	25899314	25899395	25899326	25899395	25899134	25899191
920	"AT1G68890"	NA	chr1	+	25899314	25899395	25899326	25899395	25899195	25899208
957	"AT2G46800"	NA	chr2	+	19237292	19238032	19237968	19238032	19235373	19235659
958	"AT1G64790"	NA	chr1	-	24072965	24073036	24072965	24073022	24073129	24073252
983	"AT2G30740"	NA	chr2	+	13095848	13096492	13096351	13096492	13095355	13095484
984	"AT2G30740"	NA	chr2	+	13095848	13096492	13096351	13096492	13095650	13095700
999	"AT4G31570"	NA	chr4	+	15298134	15303824	15298145	15303824	15297330	15297997
1011	"AT1G59750"	NA	chr1	+	21983071	21983541	21983080	21983541	21982823	21982989
1015	"AT1G59560"	NA	chr1	+	21883197	21883427	21883348	21883427	21882979	21883111
1018	"AT4G33050"	NA	chr4	-	15945246	15945661	15945246	15945477	15945749	15945838
1020	"AT1G09060"	NA	chr1	-	2924648	2925264	2924648	2925248	2925711	2925826
1026	"AT4G15563"	NA	chr4	+	8890942	8891249	8891164	8891249	8890418	8890849
1038	"AT2G25950"	NA	chr2	+	11070340	11070661	11070481	11070661	11070151	11070260
1042	"AT1G55325"	NA	chr1	+	20644143	20644439	20644159	20644439	20643932	20644011
1045	"AT1G56340"	NA	chr1	-	21090162	21090282	21090162	21090272	21090490	21090538
1052	"AT1G73280"	NA	chr1	-	27553266	27553576	27553266	27553380	27553666	27553738
1063	"AT5G09900"	NA	chr5	-	3092144	3092339	3092144	3092335	3092427	3092566
1074	"AT5G06800"	NA	chr5	+	2104699	2104888	2104833	2104888	2104539	2104616
1077	"AT5G07100"	NA	chr5	+	2204629	2205165	2204812	2205165	2204205	2204539
1078	"AT5G07100"	NA	chr5	+	2204629	2205165	2204812	2205165	2204247	2204465
1083	"AT1G50730"	NA	chr1	+	18796043	18796253	18796068	18796253	18795923	18795954
1084	"AT1G50730"	NA	chr1	+	18796043	18796253	18796071	18796253	18795923	18795954
1088	"AT1G20060"	NA	chr1	-	6953145	6953300	6953145	6953289	6953469	6953515
1101	"AT4G17310"	NA	chr4	-	9685185	9685710	9685185	9685454	9686443	9686616
1103	"AT4G17310"	NA	chr4	-	9685185	9686024	9685185	9685710	9686443	9686616
1111	"AT1G59520"	NA	chr1	+	21863530	21863605	21863534	21863605	21863391	21863451
1117	"AT2G03480"	NA	chr2	+	1053270	1053574	1053313	1053574	1053007	1053169
1125	"AT1G29040"	NA	chr1	+	10135050	10135356	10135057	10135356	10134726	10134797
1133	"AT1G44125"	NA	chr1	-	16783003	16783921	16783003	16783197	16786374	16786828
1169	"AT1G09195"	NA	chr1	-	2967939	2968254	2967939	2968199	2968652	2968758
1170	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968199	2968652	2968758
1171	"AT1G09195"	NA	chr1	-	2967939	2968536	2967939	2968254	2968652	2968758
1177	"AT5G66005"	NA	chr5	-	26398726	26398817	26398726	26398814	26398909	26399001
1192	"AT2G28310"	NA	chr2	+	12085688	12085792	12085697	12085792	12085506	12085521
1193	"AT1G10590"	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437
1239	"AT4G02550"	NA	chr4	-	1121275	1121648	1121275	1121631	1121723	1121796
1259	"AT3G04600"	NA	chr3	+	1244816	1244897	1244820	1244897	1244653	1244750
1260	"AT1G02960"	NA	chr1	-	667150	667437	667150	667281	667540	667641
1261	"AT1G02960"	NA	chr1	-	667150	667464	667150	667281	667540	667641
