ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
614	AT5G01570		chr5	+	222243	222515	222265	222515	222067	222141	614	2,2	8,6	14,13	2,2	171	149	4.71283845671e-06	0.0019392423768833	0.179,0.225	0.859,0.85	-0.653
642	AT4G02430		chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	642	113,103	70,56	40,69	78,118	160	149	0.000106052058347	0.0200968650567564	0.601,0.631	0.323,0.353	0.278
776	AT4G05210		chr4	+	2683401	2683617	2683406	2683617	2682612	2683017	776	2,5	0,2	1,0	2,14	154	149	6.33584942478e-06	0.0020582459417071	1.0,0.708	0.326,0.0	0.691
955	AT5G60170		chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	955	103,144	29,47	36,75	41,113	155	149	1.43855234946e-07	0.0003271268042672	0.773,0.747	0.458,0.39	0.336
1011	AT3G45020		chr3	-	16469859	16469901	16469859	16469898	16470080	16470199	1011	0,2	3,4	1,6	0,1	152	149	5.11673450365e-06	0.0019392423768833	0.0,0.329	1.0,0.855	-0.763
1121	AT4G17310		chr4	-	9685185	9685710	9685185	9685454	9686443	9686616	1121	28,43	36,31	31,51	4,2	405	149	4.14514747415e-07	0.0004713032678108	0.222,0.338	0.74,0.904	-0.542
1122	AT4G17310		chr4	-	9685185	9686024	9685185	9685454	9686443	9686616	1122	93,135	36,31	80,111	4,2	719	149	2.07224959503e-06	0.0011780738947745	0.349,0.474	0.806,0.92	-0.452
1217	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1217	12,12	57,83	9,11	1,6	194	149	4.2940616933e-05	0.0097646962905642	0.139,0.1	0.874,0.585	-0.61
1517	AT3G52170		chr3	-	19348965	19349146	19348965	19349132	19349393	19349527	1517	12,18	41,36	12,33	4,15	163	149	5.53615304986e-05	0.0114447382139833	0.211,0.314	0.733,0.668	-0.438
1716	AT4G11900		chr4	-	7150629	7150942	7150629	7150780	7151059	7151297	1716	4,2	21,24	23,44	22,26	311	149	1.4767313689e-05	0.0041976089160982	0.084,0.038	0.334,0.448	-0.33
2254	AT1G29357		chr1	-	10273930	10275219	10273930	10275147	10275293	10275765	2254	157,150	142,154	37,68	115,185	221	149	0.000274161785897	0.047957223163829	0.427,0.396	0.178,0.199	0.223
2272	AT2G32700		chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2272	349,366	370,316	74,132	210,379	155	149	1.37993868399e-06	0.0010459935224644	0.476,0.527	0.253,0.251	0.25
2327	AT2G37480		chr2	+	15739249	15739848	15739252	15739848	15738603	15738899	2327	1129,1287	432,513	730,1433	85,172	152	149	2.7818767055e-05	0.0070288751425633	0.719,0.711	0.894,0.891	-0.178
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
68	AT5G46740		chr5	-	18967802	18967923	18967822	18967923	18967606	18967717	68	35,24	1,4	4,6	4,7	169	149	0.000710457898062	0.0167858933228678	0.969,0.841	0.469,0.43	0.456
72	AT5G44290		chr5	-	17843414	17843806	17843432	17843806	17842764	17843307	72	84,97	289,336	6,15	195,312	167	149	0.000112606870054	0.0032410304599178	0.206,0.205	0.027,0.041	0.171
89	AT5G37340		chr5	-	14789310	14789409	14789342	14789409	14789165	14789219	89	4,3	0,0	4,0	4,8	181	149	9.9505181117e-07	4.773233385097303e-05	1.0,1.0	0.452,0.0	0.774
98	AT5G27630		chr5	+	9779718	9779904	9779718	9779844	9780007	9780154	98	10,5	8,9	15,17	1,1	209	149	2.97906824057e-05	0.0009431730049644	0.471,0.284	0.914,0.924	-0.542
