ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	1295,1328	0,0	1785,1961	4,4	238	149	1	1.0	1.0,1.0	0.996,0.997	0.004
2	"AT5G66410"	NA	chr5	+	26521011	26521073	26520860	26520933	26521171	26521269	2	166,230	0,0	224,291	0,2	211	149	1	1.0	1.0,1.0	1.0,0.99	0.005
3	"AT5G66040"	NA	chr5	+	26410731	26410805	26410343	26410645	26410868	26410993	3	2865,2902	0,0	3631,3729	0,2	223	149	1	1.0	1.0,1.0	1.0,0.999	0.0
4	"AT5G65970"	NA	chr5	-	26388864	26388914	26388740	26388781	26388993	26389082	4	20,32	0,0	21,40	0,10	199	149	0.720099193715	1.0	1.0,1.0	1.0,0.75	0.125
5	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	5	236,227	0,0	271,321	4,0	229	149	1	1.0	1.0,1.0	0.978,1.0	0.011
6	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	6	0,2	34,31	0,2	40,22	170	149	1	1.0	0.0,0.054	0.0,0.074	-0.01
7	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	7	29,27	10,0	23,21	14,14	207	149	0.0359537754187	1.0	0.676,1.0	0.542,0.519	0.308
9	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052	9	186,114	2,0	146,198	0,0	269	149	1	1.0	0.981,1.0	1.0,1.0	-0.01
10	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823	10	10,6	2,6	14,20	0,10	279	149	0.479065822207	1.0	0.728,0.348	1.0,0.516	-0.22
13	"AT5G63200"	NA	chr5	+	25352245	25352393	25351735	25352020	25352519	25353039	13	80,84	0,0	97,129	0,1	297	149	1	1.0	1.0,1.0	1.0,0.985	0.008
14	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973	14	4,0	6,2	0,0	4,0	279	149	1	1.0	0.263,0.0	0.0,NA	0.132
15	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310674	25311019	15	0,0	2,2	0,2	4,6	208	149	1	1.0	0.0,0.0	0.0,0.193	-0.097
16	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310678	25310973	16	4,0	6,2	0,0	4,0	208	149	1	1.0	0.323,0.0	0.0,NA	0.162
17	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436	17	148,121	6,18	203,140	0,8	219	149	1	1.0	0.944,0.821	1.0,0.923	-0.079
