ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	3	1,0	105,168	5,0	99,45	180	99	1	1.0	0.005,0.0	0.027,0.0	-0.011
4	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	4	2,5	1,1	3,2	2,1	158	99	0.230062416515	1.0	0.556,0.758	0.485,0.556	0.137
5	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	5	1,0	4,13	0,0	3,1	120	99	1	1.0	0.171,0.0	0.0,0.0	0.086
7	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	7	0,0	12,16	1,0	5,17	150	99	1	1.0	0.0,0.0	0.117,0.0	-0.059
8	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	8	87,48	6,6	79,43	9,7	134	99	1	1.0	0.915,0.855	0.866,0.819	0.042
9	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	9	9,2	228,304	15,6	122,77	309	99	1	1.0	0.012,0.002	0.038,0.024	-0.024
10	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571	10	2,0	508,566	0,0	426,242	106	99	1	1.0	0.004,0.0	0.0,0.0	0.002
13	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170	13	217,266	1,0	207,80	0,2	233	99	1	1.0	0.989,1.0	1.0,0.944	0.022
15	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	15	8,4	8,9	3,2	8,1	192	99	1	1.0	0.34,0.186	0.162,0.508	-0.072
16	"AT5G61960"	NA	chr5	-	24883691	24883955	24883907	24883955	24883550	24883573	16	9,6	9,11	2,1	11,2	315	99	0.510172492984	1.0	0.239,0.146	0.054,0.136	0.098
