ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	2903,3049	4,10	2068,1064	4,2	238	149	1	1.0	0.998,0.995	0.997,0.997	-0.001
1	"AT5G67260"	NA	chr5	+	26838296	26838388	26837395	26837630	26839494	26839597	1	2,0	0,0	0,0	1,0	241	149	1	1.0	1.0,NA	0.0,NA	1.0
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	203,250	2,1	230,116	0,0	298	149	1	1.0	0.981,0.992	1.0,1.0	-0.014
4	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	4	6132,6501	1,0	6011,2806	0,0	227	149	1	1.0	1.0,1.0	1.0,1.0	0.0
5	"AT5G66040"	NA	chr5	+	26410731	26410805	26410343	26410645	26410868	26410993	5	6919,7251	0,0	6517,3927	1,0	223	149	1	1.0	1.0,1.0	1.0,1.0	0.0
6	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	6	154,123	0,0	98,39	3,0	190	149	1	1.0	1.0,1.0	0.962,1.0	0.019
7	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	7	113,158	0,1	78,49	0,0	238	149	1	1.0	1.0,0.99	1.0,1.0	-0.005
8	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243	8	956,1068	1,0	839,414	0,0	285	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
9	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	9	663,666	1,0	550,278	0,0	210	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
10	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	10	729,707	0,0	579,271	0,1	229	149	1	1.0	1.0,1.0	1.0,0.994	0.003
11	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235	11	652,710	0,0	569,304	0,1	230	149	1	1.0	1.0,1.0	1.0,0.995	0.002
12	"AT5G65460"	NA	chr5	-	26167163	26167295	26166889	26167068	26167726	26167833	12	100,117	0,1	64,32	0,0	281	149	1	1.0	1.0,0.984	1.0,1.0	-0.008
13	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	13	5,4	45,57	0,0	26,17	170	149	1	1.0	0.089,0.058	0.0,0.0	0.073
14	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206	14	1231,1596	0,2	759,382	0,0	213	149	1	1.0	1.0,0.998	1.0,1.0	-0.001
15	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	15	193,233	133,138	57,34	119,64	207	149	3.24819222526e-05	0.024881152445491602	0.511,0.549	0.256,0.277	0.264
17	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052	17	1014,1013	9,3	712,317	4,1	269	149	1	1.0	0.984,0.995	0.99,0.994	-0.002
18	"AT5G64500"	NA	chr5	+	25783204	25783283	25782923	25783052	25783376	25783753	18	697,787	1,1	450,253	0,0	228	149	1	1.0	0.998,0.998	1.0,1.0	-0.002
19	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823	19	13,8	8,2	20,10	3,3	279	149	0.453458569166	1.0	0.465,0.681	0.781,0.64	-0.137
20	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630	20	107,146	1,0	95,49	0,0	298	149	1	1.0	0.982,1.0	1.0,1.0	-0.009
21	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946	21	486,510	0,2	373,175	0,1	262	149	1	1.0	1.0,0.993	1.0,0.99	0.001
24	"AT5G63200"	NA	chr5	+	25352245	25352393	25351735	25352020	25352519	25353039	24	358,338	0,1	212,117	0,2	297	149	1	1.0	1.0,0.994	1.0,0.967	0.013
25	"AT5G63180"	NA	chr5	-	25341451	25341590	25340913	25341333	25341953	25342700	25	246,201	0,0	150,97	0,1	288	149	1	1.0	1.0,1.0	1.0,0.98	0.01
26	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973	26	4,0	5,6	0,0	8,0	279	149	1	1.0	0.299,0.0	0.0,NA	0.149
27	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310678	25310973	27	2,0	5,6	0,0	8,0	208	149	1	1.0	0.223,0.0	0.0,NA	0.112
28	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436	28	272,288	3,2	245,94	0,1	219	149	1	1.0	0.984,0.99	1.0,0.985	-0.005
29	"AT5G62820"	NA	chr5	-	25224107	25224243	25223726	25224022	25224335	25225052	29	51,40	0,0	28,11	2,0	285	149	1	1.0	1.0,1.0	0.88,1.0	0.06
31	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735	31	431,452	0,6	255,150	0,0	252	149	1	1.0	1.0,0.978	1.0,1.0	-0.011
32	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603	32	75,88	0,1	56,21	0,2	202	149	1	1.0	1.0,0.985	1.0,0.886	0.049
