gene	event	dpsi_Cai	p_val_Cai	dpsi_Parker20c	p_val_Parker20c
AT1G01020	A5:1:8464-8571:8464-8594:-	0.4831529104	0.005994006	0.3862512272	0.0044955045
AT1G02260	RI:1:441398:442620-442718:442972:-	0.2849267148	0.0474525475	0.1479815008	0.027972028
AT1G02500	A3:1:518378-519033:518378-519036:+	0.0270994602	0.043956044	0.0467143102	0.0174825175
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4507000005	0.0	-0.4403807361	0.000999001
AT1G06890	A3:1:2111605-2111761:2111602-2111761:-	0.1808845272	0.032967033	0.1218654009	0.0134865135
AT1G06890	RI:1:2111323:2111602-2111761:2111859:-	0.1952106044	0.0404595405	0.0939256801	0.0134865135
AT1G07700	A5:1:2379798-2380104:2379729-2380104:+	0.2406670585	0.0004995005	0.1751925578	0.0074925075
AT1G07820	RI:1:2421089:2421783-2421903:2422066:-	0.0737987303	0.0154845155	0.0933756133	0.010989011
AT1G08040	A5:1:2497998-2498480:2497998-2498484:-	-0.2919159315	0.005994006	-0.3240991865	0.002997003
AT1G08570	A5:1:2713010-2713096:2712985-2713096:+	-0.1146871445	0.0204795205	-0.1849336035	0.0044955045
AT1G09060	A5:1:2925248-2925688:2925248-2925712:-	0.1857330901	0.030969031	0.1849451694	0.004995005
AT1G10570	A3:1:3487974-3488329:3487974-3488332:+	0.2660742377	0.015984016	0.1517793517	0.044955045
AT1G10590	A5:1:3503004-3503370:3503004-3503374:-	0.1526526001	0.005994006	0.1308295915	0.007992008
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	-0.3624001276	0.000999001	0.1870593615	0.008991009
AT1G10910	RI:1:3643454:3643582-3643732:3644187:+	-0.1193183699	0.0214785215	-0.0793950986	0.03996004
AT1G13450	RI:1:4613286:4613516-4613755:4613889:-	-0.1634617446	0.0164835165	-0.105715985	0.008991009
AT1G13460	A5:1:4616059-4616428:4615978-4616428:+	0.1872829852	0.0444555445	0.171501415	0.016983017
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2564870458	0.010989011	-0.2581393271	0.001998002
AT1G13940	RI:1:4766396:4766470-4766594:4766852:-	0.1897475539	0.0334665335	0.1393195346	0.0374625375
AT1G13980	A3:1:4788654-4789461:4788654-4789492:+	-0.1348029116	0.041958042	-0.14296835	0.0104895105
AT1G14710	RI:1:5064148:5064811-5064972:5065303:-	-0.0978440828	0.0244755245	-0.1285546474	0.005994006
AT1G14970	A5:1:5164347-5164532:5164347-5164537:-	-0.3606305875	0.0324675325	-0.4110862053	0.037962038
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1921149217	0.0034965035	-0.2117187769	0.0024975025
AT1G16780_and_AT1G16800	A5:1:5743829-5744112:5743829-5744139:-	0.3841958062	0.008991009	0.4616165065	0.005994006
AT1G17110	A5:1:5848119-5848200:5848119-5848212:-	-0.1340927325	0.045954046	-0.1226002688	0.041958042
AT1G17130	A3:1:5854461-5854865:5854461-5854886:+	-0.0645296077	0.048951049	-0.1153353061	0.013986014
AT1G18660	RI:1:6420975:6421303-6421398:6421501:+	-0.2123105394	0.005994006	-0.3172664871	0.001998002
AT1G18730	A3:1:6460808-6460896:6460808-6460899:+	-0.0901391947	0.017982018	-0.1103356751	0.021978022
AT1G18840	A5:1:6503950-6504071:6503950-6504081:-	-0.1860495672	0.012987013	-0.2026668653	0.00999001
AT1G18950	A3:1:6550669-6550763:6550669-6550769:+	0.2173972157	0.025974026	0.2691677022	0.0084915085
AT1G18950	A5:1:6550681-6550763:6550669-6550763:+	-0.6217520006	0.0	-0.5461762214	0.000999001
AT1G19650	A3:1:6797311-6797410:6797268-6797410:-	0.1860883609	0.0124875125	0.2074016883	0.0294705295
