gene	event	dpsi_Parker20c	p_val_Parker20c	dpsi_Wang	p_val_Wang
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4403807361	0.000999001	-0.2958404251	0.011988012
AT1G05400	A5:1:1584588-1584681:1584581-1584681:+	0.2814840039	0.043956044	-1.0	0.0
AT1G06960	RI:1:2137067:2137146-2137264:2137838:+	-0.2835139299	0.005994006	-0.4789525842	0.020979021
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	0.1870593615	0.008991009	0.7598260836	0.0034965035
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2581393271	0.001998002	-0.2905004079	0.02997003
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.2117187769	0.0024975025	-0.1517016687	0.035964036
AT1G17110	A5:1:5848119-5848200:5848119-5848212:-	-0.1226002688	0.041958042	-0.2656201094	0.031968032
AT1G18840	A5:1:6503950-6504071:6503950-6504081:-	-0.2026668653	0.00999001	-0.2210178408	0.02997003
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4583543155	0.0	-0.3161140986	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.2354848745	0.0034965035	-0.1862494428	0.0344655345
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.1014520978	0.004995005	0.0730955461	0.040959041
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.1301533323	0.0044955045	-0.1225820204	0.0274725275
AT1G49340	A5:1:18253869-18254042:18253848-18254042:+	0.164039255	0.0084915085	0.3195298603	0.0184815185
AT1G51160	A3:1:18949663-18950007:18949663-18950014:+	-0.0685551798	0.026973027	-0.1242790346	0.044955045
AT1G51840	A3:1:19250211-19250605:19250199-19250605:-	0.2094954943	0.014985015	-0.57633882	0.017982018
AT1G51840	A5:1:19250211-19250291:19250211-19250605:-	-0.2368572255	0.014985015	0.4412683094	0.0434565435
AT1G55000	A5:1:20516205-20516272:20516178-20516272:+	0.1208302311	0.0284715285	0.5072187649	0.047952048
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2870261118	0.0	-0.2069172612	0.000999001
AT1G68910	A3:1:25910538-25911043:25910492-25911043:-	-0.1361061311	0.016983017	-0.4060748273	0.020979021
AT1G68910	A5:1:25908380-25908565:25908380-25908569:-	-0.1456700094	0.016983017	-0.2556868328	0.031968032
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.052115473	0.0264735265	0.05709493	0.047952048
AT1G71240	A3:1:26855998-26856087:26855998-26856090:+	-0.1121921369	0.0444555445	0.5273849587	0.0184815185
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.1446008392	0.0097402597	-0.1630060715	0.0097402597
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1778187476	0.0097402597	0.1727673805	0.0097402597
AT1G72740	A5:1:27380901-27381147:27380901-27381165:-	0.1883408038	0.001998002	0.1649165437	0.0414585415
AT1G73490	A3:1:27634292-27634522:27634289-27634522:-	-0.0806522351	0.0184815185	-0.1602668839	0.0324675325
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3495297986	0.0	-0.2750388337	0.010989011
AT2G02390	A3:2:629353-629518:629353-629539:+	0.0828675277	0.0134865135	0.1202278201	0.0474525475
