ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67540"	NA	chr5	-	26945172	26945782	26945172	26945699	26946015	26946377	0	33,14	9,10	12,18	20,8	232	149	0.507456351786	1.0	0.702,0.473	0.278,0.591	0.153
2	"AT5G66850"	NA	chr5	-	26695567	26696171	26695567	26696142	26696300	26696380	2	1,4	75,76	0,5	91,82	178	149	1	1.0	0.011,0.042	0.0,0.049	0.002
3	"AT5G66720"	NA	chr5	-	26639669	26639979	26639669	26639970	26640048	26640545	3	179,143	0,6	151,178	11,10	158	149	1	1.0	1.0,0.957	0.928,0.944	0.042
4	"AT5G66240"	NA	chr5	+	26467906	26467956	26467912	26467956	26467723	26467808	4	259,309	13,12	280,385	11,9	155	149	1	1.0	0.95,0.961	0.961,0.976	-0.013
8	"AT5G65640"	NA	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422	8	107,72	2,0	129,122	0,2	159	149	1	1.0	0.98,1.0	1.0,0.983	-0.002
10	"AT5G65210"	NA	chr5	+	26059313	26059394	26059317	26059394	26059019	26059201	10	150,158	2,0	175,193	0,2	153	149	1	1.0	0.986,1.0	1.0,0.989	-0.001
11	"AT5G65060"	NA	chr5	+	25990083	25990183	25990116	25990183	25989941	25990003	11	8,17	8,3	10,10	0,7	182	149	0.803320263225	1.0	0.45,0.823	1.0,0.539	-0.133
13	"AT5G63870"	NA	chr5	-	25562512	25562924	25562512	25562913	25563158	25563316	13	16,4	31,21	4,16	42,44	160	149	1	1.0	0.325,0.151	0.081,0.253	0.071
14	"AT5G63680"	NA	chr5	+	25490313	25490764	25490474	25490764	25490064	25490165	14	0,0	35,27	0,3	54,55	298	149	1	1.0	0.0,0.0	0.0,0.027	-0.013
15	"AT5G63670"	NA	chr5	+	25488992	25489054	25488997	25489054	25488635	25488691	15	407,400	4,4	639,648	0,0	154	149	1	1.0	0.99,0.99	1.0,1.0	-0.01
16	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087	16	85,88	0,0	183,115	2,0	156	149	1	1.0	1.0,1.0	0.989,1.0	0.006
