chr	5’SS 1	5’SS 2	3’SS	gene	strand	diff
5	18967802	18967822	18967717	AT5G46740	-	0.337
5	17843414	17843432	17843307	AT5G44290	-	0.214
4	18556501	18556506	18556417	AT4G40030	-	-0.322
4	6249104	6249115	6248662	AT4G09980	-	-0.39
4	18561988	18561992	18561884	AT4G40050	-	-0.383
3	23442677	23442689	23442601	AT3G63480	-	-0.626
3	23434943	23434949	23434825	AT3G63460	-	0.347
3	23392347	23392378	23392246	AT3G63340	-	0.395
3	20178157	20178160	20178064	AT3G54500	-	0.166
5	13525620	13525641	13525279	AT5G35330	-	0.258
2	520976	520980	520660	AT2G02080	-	-0.545
1	26565290	26565317	26565161	AT1G70490	-	-0.752
1	26565301	26565317	26565161	AT1G70490	-	-0.654
3	19314052	19314090	19313532	AT3G52072	-	-0.628
1	27594494	27594498	27594166	AT1G73390	-	0.4
1	6952305	6952308	6952224	AT1G20060	-	0.602
1	6952652	6952655	6952571	AT1G20060	-	0.478
2	182004	182016	181847	AT2G01420	-	-0.363
3	21114161	21114206	21114059	AT3G57050	-	0.208
1	274166	274170	274083	AT1G01740	-	0.463
3	2326718	2326724	2326220	AT3G07300	-	-0.391
1	8570	8593	8464	AT1G01020	-	0.455
1	1804951	1804962	1804882	AT1G05950	-	0.345
2	18058044	18058056	18057937	AT2G43490	-	0.381
5	19816922	19817772	19816805	AT5G48880	-	0.284
1	8594806	8594809	8594697	AT1G24260	-	0.431
2	16571179	16571190	16571066	AT2G39730	-	-0.248
1	5744111	5744138	5743829	AT1G16780	-	0.361
4	9785983	9785995	9785903	AT4G17570	-	-0.511
1	8182205	8182217	8182128	AT1G23080	-	-0.491
2	12226968	12227119	12226861	AT2G28550	-	-0.166
2	6481827	6481870	6481656	AT2G15000	-	0.443
2	16186904	16186915	16186823	AT2G38710	-	0.882
2	12988669	12988673	12988582	AT2G30480	-	0.308
3	3611723	3611728	3611402	AT3G11470	-	0.474
5	18403494	18403511	18403303	AT5G45410	-	-0.305
3	7006705	7006733	7006635	AT3G20070	-	0.312
5	3740877	3740942	3741503	AT5G11630	+	0.336
4	18315838	18315860	18316262	AT4G39390	+	-0.337
5	15065479	15065512	15065604	AT5G37850	+	0.267
4	8552747	8552769	8552923	AT4G14965	+	0.198
4	693500	693515	693612	AT4G01600	+	0.162
5	17699285	17699345	17699457	AT5G43990	+	-0.465
1	22046226	22046241	22046501	AT1G59890	+	0.262
1	29792210	29792228	29792308	AT1G79190	+	-0.403
1	29597210	29597235	29597315	AT1G78690	+	-0.48
2	1679886	1679909	1680014	AT2G04790	+	0.256
1	29815873	29816510	29816606	AT1G79270	+	-0.478
1	29815873	29816515	29816606	AT1G79270	+	-0.519
1	29816510	29816515	29816606	AT1G79270	+	-0.556
1	25866864	25866882	25866961	AT1G68820	+	-0.197
2	1646031	1646066	1646154	AT2G04690	+	-0.219
