Name	Score	Freq
AT1G30690:10887827:10887850	1.01305170874963e-12	4
AT1G29040_and_AT1G29041:10134536:10134581	1.15856761586567e-10	3
AT1G29040_and_AT1G29041:10134777:10134797	2.74610149855259e-10	3
AT1G29040_and_AT1G29041:10135051:10135058	5.36322001638e-10	3
AT1G29850:10448846:10448849	9.26719581899434e-10	3
AT1G67700:25375712:25375726	2.97852293320939e-09	4
AT1G69510:26126772:26126777	3.96403867733815e-09	4
AT1G72640:27346899:27346919	5.87686622449710e-09	4
AT1G72640:27347658:27347661	6.12558837452538e-09	4
AT1G31420:11252756:11252759	7.41160448250585e-09	3
AT1G31550:11295991:11296000	1.17682142241758e-08	3
AT1G10740:3568316:3568324	1.63586557572392e-08	4
AT1G33470:12145684:12145687	1.75648466979858e-08	3
AT1G13880:4749835:4749838	2.23089980873116e-08	4
AT1G15280:5253546:5253549	2.81328836655972e-08	4
AT1G35515_and_AT1G35516:13078915:13078929	2.94091279519384e-08	3
AT1G03310:813581:813604	5.51185773633497e-08	4
AT1G23080:8182206:8182218	5.6442688394824e-08	4
AT1G23360:8296342:8296419	5.77905141496332e-08	4
AT1G26850:9303845:9303909	6.34246188374105e-08	4
AT1G28960:10109811:10109926	9.98100647967704e-08	2
AT1G49950:18497084:18497129	1.27659766847477e-07	3
AT1G51840:19250199:19250211	1.40409942727877e-07	3
AT2G39730:16571180:16571191	1.80507241492431e-07	4
AT2G01420:182005:182017	2.37313441084854e-07	4
AT1G53310:19888229:19888305	2.95195755045175e-07	3
AT1G54030:20169029:20169100	3.40503677558686e-07	3
AT1G54310:20274535:20274561	4.16799107976842e-07	3
AT2G17500:7606823:7606870	4.19254454778305e-07	4
AT1G55000:20516178:20516205	4.73516252567552e-07	3
AT1G55340:20652902:20652932	5.03707436234349e-07	3
AT3G04630:1259567:1259570	7.16512225616148e-07	4
AT3G01340:128880:128892	7.25539040061371e-07	4
AT1G59890:22046226:22046241	9.24298387623592e-07	3
AT1G62250:22995919:22996058	1.12153824812687e-06	3
AT3G57050:21114162:21114207	1.17514019256486e-06	4
AT3G62840:23236111:23236114	1.38296838615067e-06	4
AT3G63460:23434944:23434950	1.44276387389889e-06	4
AT1G07700:2379729:2379798	1.4670396124141e-06	3
AT3G07510:2394568:2394574	1.47337848723265e-06	4
AT1G07820:2421783:2421903	1.53074090867449e-06	3
AT3G11930:3776910:3776916	1.65055908092686e-06	4
AT3G11930:3776913:3776916	1.6674228938358e-06	4
AT1G08040:2498480:2498484	1.87699023897802e-06	3
AT3G21175:7423328:7423334	2.25744195897004e-06	4
AT1G68820:25866864:25866882	2.53332199470896e-06	3
AT3G24530:8947208:8947286	2.61706934672891e-06	4
AT1G68910:25908565:25908569	2.62475166802109e-06	3
AT1G70610:26622786:26622797	3.21980110240858e-06	3
AT4G23910:12426711:12426729	3.29100388562983e-06	4
AT1G08570:2712985:2713010	3.32695747915251e-06	3
AT4G26400:13346388:13346405	3.67304139031069e-06	4
AT4G26630:13435596:13435652	3.70374585360217e-06	4
AT4G26965:13539828:13539832	3.76573188670341e-06	4
AT1G72740:27381147:27381165	4.02008630525028e-06	3
AT1G72930:27439930:27439973	4.2708560665844e-06	3
AT1G73390:27594495:27594499	4.53182605702356e-06	3
AT4G33650:16164960:16164963	4.68103164612029e-06	4
AT4G39100:18218733:18218753	5.02030732842795e-06	4
AT4G40050:18561989:18561993	5.13739412583025e-06	4
AT1G77890_and_AT1G77910:29293272:29293278	5.37795672549484e-06	3
AT1G77930:29302163:29302249	5.52846308080438e-06	3
