ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	6,3	11,11	0,0	5,1	175	99	0.408380742387	1.0	0.236,0.134	0.0,0.0	0.185
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	180,147	411,378	78,55	330,184	198	99	1	1.0	0.18,0.163	0.106,0.13	0.053
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	77,56	440,436	42,27	273,176	198	99	1	1.0	0.08,0.06	0.071,0.071	-0.001
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	9,14	47,20	12,4	14,7	177	99	0.790116502739	1.0	0.097,0.281	0.324,0.242	-0.094
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	78,51	204,168	37,11	119,76	198	99	1	1.0	0.16,0.132	0.135,0.067	0.045
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	25,26	230,183	10,17	115,58	196	99	1	1.0	0.052,0.067	0.042,0.129	-0.026
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	20,46	10,22	24,15	9,9	198	99	1	1.0	0.5,0.511	0.571,0.455	-0.007
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	54,45	4,8	26,20	2,5	191	99	1	1.0	0.875,0.745	0.871,0.675	0.037
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	965,614	190,162	442,201	127,75	188	99	1	1.0	0.728,0.666	0.647,0.585	0.081
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351	9	26,3	0,1	22,4	2,2	192	99	0.488232831001	1.0	1.0,0.607	0.85,0.508	0.124
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	260,286	726,725	114,120	521,339	178	99	1	1.0	0.166,0.18	0.108,0.164	0.037
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	322,287	5409,4792	275,161	4030,2524	162	99	1	1.0	0.035,0.035	0.04,0.038	-0.004
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	71,57	85,135	40,30	67,33	198	99	1	1.0	0.295,0.174	0.23,0.312	-0.037
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	176,100	678,546	87,33	425,222	175	99	1	1.0	0.128,0.094	0.104,0.078	0.02
14	"AT5G65690"	NA	chr5	+	26268827	26269249	26268827	26268997	26269080	26269249	14	6,5	75,80	8,1	37,17	182	99	1	1.0	0.042,0.033	0.105,0.031	-0.03
15	"AT5G65460"	NA	chr5	-	26161623	26162539	26161623	26162283	26162380	26162539	15	39,37	76,87	19,15	37,23	196	99	1	1.0	0.206,0.177	0.206,0.248	-0.035
16	"AT5G65460"	NA	chr5	-	26162380	26162778	26162380	26162539	26162637	26162778	16	5,19	92,75	6,6	46,26	197	99	1	1.0	0.027,0.113	0.062,0.104	-0.013
17	"AT5G65440"	NA	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463	17	219,174	13,29	77,52	23,10	198	99	0.318862353801	1.0	0.894,0.75	0.626,0.722	0.148
18	"AT5G65440"	NA	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169	18	0,3	103,127	0,1	69,37	198	99	1	1.0	0.0,0.012	0.0,0.013	-0.0
19	"AT5G65440"	NA	chr5	+	26156305	26156655	26156305	26156500	26156583	26156655	19	70,54	140,156	36,28	74,43	182	99	1	1.0	0.214,0.158	0.209,0.262	-0.049
20	"AT5G65180"	NA	chr5	+	26045326	26046134	26045326	26045700	26045886	26046134	20	4,12	108,83	3,10	69,39	198	99	1	1.0	0.018,0.067	0.021,0.114	-0.025
21	"AT5G65120"	NA	chr5	+	26014001	26014313	26014001	26014055	26014131	26014313	21	5,0	37,31	5,3	18,15	175	99	1	1.0	0.071,0.0	0.136,0.102	-0.083
22	"AT5G65060"	NA	chr5	+	25990613	25991412	25990613	25990655	25990963	25991412	22	28,22	266,219	11,14	145,79	198	99	1	1.0	0.05,0.048	0.037,0.081	-0.01
23	"AT5G64700"	NA	chr5	-	25865418	25865824	25865418	25865570	25865665	25865824	23	6,0	26,15	2,3	9,5	194	99	1	1.0	0.105,0.0	0.102,0.234	-0.116
24	"AT5G64630"	NA	chr5	+	25835674	25836400	25835674	25835775	25835841	25836400	24	7,10	18,14	7,1	11,2	165	99	1	1.0	0.189,0.3	0.276,0.231	-0.009
26	"AT5G64360"	NA	chr5	-	25736244	25736890	25736244	25736550	25736688	25736890	26	131,97	126,118	102,52	61,50	198	99	1	1.0	0.342,0.291	0.455,0.342	-0.082
27	"AT5G64330"	NA	chr5	+	25727802	25728563	25727802	25727872	25727954	25728563	27	15,16	425,444	15,7	288,154	181	99	1	1.0	0.019,0.019	0.028,0.024	-0.007
28	"AT5G64170"	NA	chr5	-	25672465	25673005	25672465	25672718	25672810	25673005	28	12,22	0,0	33,15	0,1	191	99	1	1.0	1.0,1.0	1.0,0.886	0.057
29	"AT5G64130"	NA	chr5	-	25664981	25665167	25664981	25665029	25665104	25665167	29	88,78	3639,3295	55,25	1829,1189	174	99	1	1.0	0.014,0.013	0.017,0.012	-0.001
