ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"AT5G66620"	NA	chr5	+	26589195	26589279	26589195	26589223	26589385	26590167
1	"AT5G66620"	NA	chr5	+	26591323	26591442	26591323	26591389	26591519	26591578
2	"AT5G66060"	NA	chr5	+	26420734	26420922	26420734	26420836	26421044	26421130
3	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315
4	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050
5	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266
6	"AT5G64630"	NA	chr5	+	25833650	25833772	25833650	25833762	25833856	25833883
7	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540
8	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515877	25516074
10	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764
11	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571
12	"AT5G63090"	NA	chr5	-	25309799	25309929	25309870	25309929	25308571	25309302
13	"AT5G62640"	NA	chr5	-	25151497	25151583	25151512	25151583	25151331	25151387
14	"AT5G62480"	NA	chr5	-	25089239	25089626	25089373	25089626	25088526	25089170
15	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967840	24967882
16	"AT5G61960"	NA	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955
17	"AT5G61960"	NA	chr5	-	24883691	24883955	24883907	24883955	24883550	24883573
18	"AT5G61960"	NA	chr5	-	24883691	24884174	24883872	24884174	24883550	24883573
19	"AT5G61960"	NA	chr5	-	24883872	24884174	24883907	24884174	24883550	24883573
20	"AT5G61540"	NA	chr5	+	24745459	24745631	24745459	24745625	24745717	24746276
21	"AT5G61330"	NA	chr5	-	24660319	24661241	24660904	24661241	24660022	24660120
22	"AT5G60120"	NA	chr5	+	24209970	24210095	24209970	24210074	24210295	24210409
23	"AT5G60120"	NA	chr5	+	24209970	24210161	24209970	24210074	24210295	24210409
24	"AT5G60120"	NA	chr5	+	24209970	24210161	24209970	24210095	24210295	24210409
25	"AT5G59710"	NA	chr5	+	24057377	24058171	24057377	24057584	24058279	24058388
26	"AT5G59610"	NA	chr5	+	24014317	24014350	24014317	24014346	24014483	24014578
27	"AT5G59480"	NA	chr5	-	23980392	23980480	23980395	23980480	23980020	23980299
28	"AT5G59480"	NA	chr5	-	23981278	23981590	23981422	23981590	23981095	23981174
29	"AT5G59390"	NA	chr5	+	23956031	23956115	23956031	23956100	23956200	23956482
30	"AT5G57960"	NA	chr5	-	23465534	23465949	23465806	23465949	23465144	23465259
31	"AT5G57870"	NA	chr5	+	23440763	23440871	23440763	23440859	23440961	23441171
32	"AT5G57270"	NA	chr5	-	23203317	23203375	23203347	23203375	23202745	23203152
33	"AT5G57060"	NA	chr5	+	23090077	23090496	23090077	23090286	23090626	23090675
34	"AT5G57060"	NA	chr5	+	23090626	23090714	23090626	23090675	23091000	23091108
35	"AT5G56240"	NA	chr5	-	22764253	22764587	22764412	22764587	22763414	22763649
36	"AT5G55910"	NA	chr5	-	22641862	22642414	22642108	22642414	22640999	22641745
37	"AT5G55520"	NA	chr5	-	22489451	22489505	22489463	22489505	22488593	22489364
38	"AT5G55100"	NA	chr5	-	22363849	22364235	22364074	22364235	22362891	22363626
39	"AT5G54750"	NA	chr5	+	22242403	22242540	22242403	22242501	22242750	22242850
40	"AT5G54670"	NA	chr5	+	22209402	22209691	22209402	22209572	22209852	22210106
41	"AT5G54440"	NA	chr5	+	22106311	22106498	22106311	22106486	22106910	22107212
42	"AT5G54130"	NA	chr5	+	21963295	21963401	21963295	21963395	21963492	21963704
43	"AT5G53550"	NA	chr5	+	21755250	21755725	21755250	21755558	21755823	21755903
44	"AT5G53180"	NA	chr5	-	21569970	21570072	21569998	21570072	21569515	21569611
45	"AT5G53180"	NA	chr5	-	21570833	21571253	21571043	21571253	21570165	21570228
46	"AT5G53050"	NA	chr5	-	21511417	21511543	21511425	21511543	21510837	21510925
47	"AT5G53020"	NA	chr5	+	21498423	21499440	21498423	21498605	21499888	21500829
48	"AT5G52710"	NA	chr5	+	21376706	21377399	21376706	21377315	21377566	21378172
49	"AT5G52070"	NA	chr5	+	21162095	21163968	21162095	21162208	21164079	21164196
50	"AT5G51200"	NA	chr5	+	20808646	20808790	20808646	20808772	20809043	20809160
51	"AT5G51200"	NA	chr5	+	20811921	20812043	20811921	20812040	20812248	20812399
52	"AT5G50665"	NA	chr5	+	20613454	20613907	20613454	20613835	20614197	20614300
53	"AT5G50020"	NA	chr5	+	20352841	20353141	20352841	20353120	20353329	20353563
54	"AT5G48640"	NA	chr5	-	19725196	19725493	19725386	19725493	19724984	19725029
55	"AT5G48610"	NA	chr5	+	19713874	19714879	19713874	19714760	19715052	19716059
56	"AT5G48545"	NA	chr5	+	19676967	19677600	19676967	19677034	19677693	19677747
57	"AT5G47690"	NA	chr5	+	19317667	19318153	19317667	19317991	19318653	19318857
58	"AT5G47620"	NA	chr5	-	19304056	19304280	19304064	19304280	19302658	19303718
59	"AT5G47620"	NA	chr5	-	19304365	19304453	19304367	19304453	19304056	19304280
60	"AT5G47455"	NA	chr5	+	19251077	19251251	19251077	19251196	19251657	19252491
61	"AT5G47455"	NA	chr5	+	19251077	19251251	19251077	19251196	19251934	19252379
62	"AT5G46800"	NA	chr5	-	18990270	18990867	18990494	18990867	18989418	18989812
63	"AT5G46740"	NA	chr5	-	18967802	18967923	18967822	18967923	18967606	18967717
64	"AT5G46250"	NA	chr5	+	18757110	18757162	18757110	18757158	18757250	18757315
65	"AT5G44750"	NA	chr5	+	18056513	18056585	18056513	18056573	18056667	18056754
66	"AT5G44740"	NA	chr5	-	18051099	18051211	18051140	18051211	18050834	18051005
67	"AT5G44290"	NA	chr5	-	17843414	17843806	17843432	17843806	17842764	17843307
68	"AT5G44250"	NA	chr5	-	17825290	17825356	17825298	17825356	17825135	17825216
69	"AT5G43880"	NA	chr5	-	17643072	17643980	17643448	17643980	17642721	17642859
70	"AT5G43270"	NA	chr5	-	17362817	17363678	17362901	17363678	17361499	17362163
71	"AT5G41700"	NA	chr5	+	16676053	16676141	16676053	16676135	16676482	16676619
72	"AT5G41690"	NA	chr5	-	16674167	16674493	16674361	16674493	16674001	16674075
73	"AT5G40910"	NA	chr5	+	16395210	16395973	16395210	16395275	16396097	16397169
74	"AT5G40910"	NA	chr5	+	16395210	16396001	16395210	16395275	16396097	16397169
75	"AT5G40910"	NA	chr5	+	16395210	16396001	16395210	16395973	16396097	16397169
76	"AT5G39580"	NA	chr5	-	15848005	15848172	15848009	15848172	15847077	15847684
77	"AT5G38590"	NA	chr5	-	15452627	15453505	15453020	15453505	15452410	15452551
78	"AT5G38470"	NA	chr5	+	15406994	15407105	15406994	15407101	15407194	15407273
79	"AT5G37380"	NA	chr5	-	14819034	14819105	14819062	14819105	14816744	14818453
80	"AT5G37380"	NA	chr5	-	14819062	14819346	14819191	14819346	14816744	14818453
81	"AT5G37380"	NA	chr5	-	14819034	14819105	14819062	14819105	14816760	14818457
