ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	1193,1679,1427,1198,1600,1528	2,0,1,3,0,5	1215,812,1044,1557,1546,488	1,3,1,1,4,0	238	149	1	1.0	0.997,1.0,0.999,0.996,1.0,0.995	0.999,0.994,0.998,0.999,0.996,1.0	0.0
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	2	26,30,8,22,23,14	0,0,0,0,0,1	10,4,4,41,34,4	0,0,0,1,0,0	215	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.907	1.0,1.0,1.0,0.966,1.0,1.0	-0.01
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	99,164,141,109,192,137	0,0,1,0,2,0	167,108,141,142,201,67	5,1,0,0,1,0	346	149	1	1.0	1.0,1.0,0.984,1.0,0.976,1.0	0.935,0.979,1.0,1.0,0.989,1.0	0.009
4	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	4	156,231,194,119,253,143	0,0,0,1,0,0	164,136,127,268,199,62	0,0,0,0,0,0	237	149	1	1.0	1.0,1.0,1.0,0.987,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
5	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	5	2577,4182,3037,2745,3497,3283	0,0,1,0,0,0	3390,2418,3024,4273,4610,1383	0,0,0,0,0,0	227	149	1	1.0	1.0,1.0,0.999,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
6	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669	6	56,56,73,57,71,79	0,0,0,2,0,0	39,39,47,64,72,25	0,0,0,0,0,0	185	149	1	1.0	1.0,1.0,1.0,0.958,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
7	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	7	56,112,85,56,86,63	0,1,0,0,0,0	66,35,49,78,77,22	2,1,1,0,0,0	190	149	1	1.0	1.0,0.989,1.0,1.0,1.0,1.0	0.963,0.965,0.975,1.0,1.0,1.0	0.014
8	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	8	14,23,17,8,15,17	0,0,0,0,0,0	9,10,16,12,16,2	0,0,1,0,0,0	199	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.923,1.0,1.0,1.0	0.013
9	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	9	60,87,65,49,85,89	0,0,0,0,0,2	44,33,30,49,74,20	0,0,0,0,0,0	238	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.965	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
10	"AT5G65970"	NA	chr5	-	26389497	26389558	26389335	26389424	26389630	26389747	10	40,74,55,42,77,79	0,0,0,0,0,0	44,41,34,62,83,20	2,0,0,0,0,0	210	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.94,1.0,1.0,1.0,1.0,1.0	0.01
11	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	11	246,338,335,221,426,345	0,0,1,0,0,0	286,211,290,381,409,148	0,0,0,0,0,0	210	149	1	1.0	1.0,1.0,0.996,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
12	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	12	314,382,325,322,416,369	0,0,2,1,0,0	342,258,279,437,439,130	0,1,0,2,2,1	229	149	1	1.0	1.0,1.0,0.991,0.995,1.0,1.0	1.0,0.994,1.0,0.993,0.993,0.988	0.003
13	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235	13	286,394,295,299,467,376	0,1,0,0,0,0	368,214,287,360,397,139	0,0,0,0,0,1	230	149	1	1.0	1.0,0.996,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.989	0.001
