ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	2904,3247	4,3	2069,3250	4,7	238	149	1	1.0	0.998,0.999	0.997,0.997	0.001
1	"AT5G67260"	NA	chr5	+	26838296	26838388	26837395	26837630	26839494	26839597	1	2,0	0,0	0,0	1,0	241	149	1	1.0	1.0,NA	0.0,NA	1.0
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	260,389	2,3	286,381	0,2	346	149	1	1.0	0.982,0.982	1.0,0.988	-0.012
4	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	4	360,423	0,1	282,397	0,0	237	149	1	1.0	1.0,0.996	1.0,1.0	-0.002
5	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	5	6133,7071	1,0	6011,9218	0,0	227	149	1	1.0	1.0,1.0	1.0,1.0	0.0
6	"AT5G66040"	NA	chr5	+	26410731	26410805	26410343	26410645	26410868	26410993	6	6920,9481	0,0	6518,10150	1,0	223	149	1	1.0	1.0,1.0	1.0,1.0	0.0
7	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669	7	137,142	0,0	80,147	0,2	185	149	1	1.0	1.0,1.0	1.0,0.983	0.008
8	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	8	154,175	0,1	98,115	3,0	190	149	1	1.0	1.0,0.993	0.962,1.0	0.015
9	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	9	34,29	0,0	30,27	0,1	199	149	1	1.0	1.0,1.0	1.0,0.953	0.024
10	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	10	113,164	0,3	78,126	0,0	238	149	1	1.0	1.0,0.972	1.0,1.0	-0.014
11	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243	11	959,1102	1,0	846,1352	0,0	285	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
12	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	12	664,748	1,0	550,869	0,0	210	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
13	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	13	729,851	0,1	579,941	0,0	229	149	1	1.0	1.0,0.998	1.0,1.0	-0.001
14	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235	14	653,826	0,1	569,823	0,0	230	149	1	1.0	1.0,0.998	1.0,1.0	-0.001
