ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	0	5,15	262,286	5,6	117,223	233	341	1	1.0	0.027,0.071	0.059,0.038	0.0
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	1	53,70	262,286	33,62	117,223	212	341	1	1.0	0.246,0.282	0.312,0.309	-0.046
2	"AT5G48640"	NA	chr5	-	19724984	19725029	19725196	19725236	19724671	19724790	19725386	19725493	2	34,37	49,54	19,37	28,67	139	144	1	1.0	0.418,0.415	0.413,0.364	0.028
3	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	3	19,13	99,129	9,13	44,98	180	180	1	1.0	0.161,0.092	0.17,0.117	-0.017
5	"AT5G36180"	NA	chr5	+	14239654	14239731	14239820	14239943	14239403	14239580	14240035	14240138	5	120,123	258,255	40,93	87,186	176	222	1	1.0	0.37,0.378	0.367,0.387	-0.003
6	"AT5G21930"	NA	chr5	+	7246262	7246368	7246569	7246636	7245976	7246086	7247050	7247130	6	353,323	248,271	231,322	183,282	205	166	1	1.0	0.535,0.491	0.505,0.48	0.021
8	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210	8	691,664	78,51	334,634	25,59	166	117	1	1.0	0.862,0.902	0.904,0.883	-0.011
10	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617	10	38,38	62,65	34,49	26,58	138	156	0.609587644725	1.0	0.409,0.398	0.596,0.488	-0.139
11	"AT4G21534"	NA	chr4	+	11457604	11457682	11457806	11457877	11457422	11457509	11458004	11458268	11	143,153	247,213	59,125	116,210	177	170	1	1.0	0.357,0.408	0.328,0.364	0.036
12	"AT4G10030"	NA	chr4	-	6271156	6271222	6271406	6271508	6270915	6271028	6271584	6271637	12	495,493	276,261	344,471	207,255	201	165	1	1.0	0.596,0.608	0.577,0.603	0.012
13	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994	13	64,61	134,123	60,104	85,169	147	168	1	1.0	0.353,0.362	0.447,0.413	-0.073
14	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	14	32,34	109,90	12,38	94,116	119	152	1	1.0	0.273,0.325	0.14,0.295	0.082
15	"AT3G60340"	NA	chr3	+	22304387	22304482	22304674	22304759	22304158	22304258	22304845	22304897	15	96,90	477,491	50,121	269,478	194	184	1	1.0	0.16,0.148	0.15,0.194	-0.018
16	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	16	106,123	298,313	73,166	192,432	170	240	1	1.0	0.334,0.357	0.349,0.352	-0.005
17	"AT3G56160"	NA	chr3	-	20839374	20839488	20839888	20839947	20839033	20839055	20840318	20840397	17	56,34	133,103	29,36	85,110	158	213	1	1.0	0.362,0.308	0.315,0.306	0.024
19	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	19	1071,1782	1635,2407	1407,2294	2002,3316	525	525	1	1.0	0.396,0.425	0.413,0.409	-0.001
20	"AT1G75670"	NA	chr1	-	28416069	28416221	28416395	28416519	28415847	28415957	28416744	28416867	20	127,133	121,142	76,143	72,145	223	251	1	1.0	0.542,0.513	0.543,0.526	-0.007
21	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	21	36,46	100,87	15,50	42,78	143	216	1	1.0	0.352,0.444	0.35,0.492	-0.023
