ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G62575"	NA	chr5	+	25117686	25117755	25118053	25118156	25117413	25117601	25118494	25118892
1	"AT5G62575"	NA	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735
2	"AT5G54750"	NA	chr5	+	22242063	22242136	22242403	22242501	22241477	22241585	22242750	22242850
3	"AT5G54750"	NA	chr5	+	22242063	22242136	22242403	22242540	22241480	22241585	22242750	22242850
4	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196
5	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968
6	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163968	21161131	21161353	21164079	21164196
7	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196
10	"AT5G27950"	NA	chr5	+	9986489	9986527	9986646	9986774	9986134	9986353	9986851	9988018
11	"AT5G23050"	NA	chr5	-	7732406	7732623	7732890	7732985	7732008	7732308	7733197	7733418
13	"AT5G63000"	NA	chr5	-	25280591	25280847	25281035	25281140	25280398	25280476	25281424	25281652
14	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210
15	"AT5G06690"	NA	chr5	-	2060871	2061047	2061135	2061210	2060442	2060749	2061582	2062081
16	"AT5G06690"	NA	chr5	-	2060980	2061047	2061135	2061210	2060871	2060889	2061582	2062081
17	"AT5G01010"	NA	chr5	-	1571	1646	1744	1780	1033	1459	1913	1961
18	"AT4G32360"	NA	chr4	+	15622202	15622251	15622382	15622499	15621970	15622084	15622643	15622753
19	"AT4G32360"	NA	chr4	+	15622382	15622499	15622643	15622753	15622154	15622251	15622854	15622928
20	"AT4G30690"	NA	chr4	+	14961508	14961558	14961672	14961706	14961360	14961413	14961810	14961883
21	"AT4G29940"	NA	chr4	-	14648754	14648835	14648992	14649073	14648138	14648600	14649234	14649315
22	"AT4G29940"	NA	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548
23	"AT4G24770"	NA	chr4	-	12766994	12767096	12767412	12768142	12766385	12766667	12769403	12769419
24	"AT4G11960"	NA	chr4	-	7176042	7176094	7176195	7176272	7175825	7175936	7176398	7176455
25	"AT4G03205"	NA	chr4	+	1413426	1413502	1413581	1413676	1412784	1413338	1413759	1413843
26	"AT4G02760"	NA	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256
27	"AT4G00180"	NA	chr4	-	73447	73523	73658	73707	72989	73067	74267	74427
28	"AT3G62750"	NA	chr3	+	23215853	23216083	23216168	23216194	23215673	23215789	23216267	23216355
29	"AT4G27800"	NA	chr4	-	13852251	13852298	13852382	13852415	13851776	13852133	13852509	13852564
30	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994
31	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
32	"AT3G59660"	NA	chr3	-	22037585	22037661	22037891	22037989	22037186	22037315	22038072	22038123
33	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
34	"AT3G56160"	NA	chr3	-	20839374	20839488	20839733	20839802	20839033	20839055	20839888	20839947
35	"AT3G56160"	NA	chr3	-	20839733	20839802	20839888	20839947	20839374	20839488	20840318	20840397
