ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
82	AT5G48520		chr5	+	19663926	19663984	19663929	19663984	19663712	19663794	82	8,5	54,60	28,27	28,39	102	99	1.14787949632e-05	0.0063047281335376	0.126,0.075	0.493,0.402	-0.347
724	AT3G54870		chr3	+	20333778	20333958	20333781	20333958	20333433	20333568	724	13,19	0,2	5,3	6,8	102	99	5.55386690082e-06	0.0049461460365606	1.0,0.902	0.447,0.267	0.594
909	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	909	97,111	192,258	91,90	645,775	102	99	4.46730332694e-05	0.0140209505846959	0.329,0.295	0.12,0.101	0.202
986	AT2G30740		chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	986	6,13	17,17	19,45	5,12	142	99	0.0001432795295	0.03147851263115	0.197,0.348	0.726,0.723	-0.452
1200	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1200	8,20	38,69	13,16	5,5	144	99	1.72624306982e-06	0.0037925560243945	0.126,0.166	0.641,0.688	-0.518
1324	AT1G27720		chr1	-	9646645	9646874	9646645	9646833	9647148	9647215	1324	0,0	1,1	3,2	0,1	140	99	3.54430745223e-05	0.0133699707171019	0.0,0.0	1.0,0.586	-0.793
1739	AT1G37150		chr1	-	14176682	14176754	14176682	14176744	14176826	14177100	1739	1,2	4,7	5,2	0,1	109	99	3.65133474295e-05	0.0133699707171019	0.185,0.206	1.0,0.645	-0.627
1942	AT5G06265		chr5	+	1906563	1906766	1906566	1906766	1905778	1906424	1942	5,14	0,3	8,8	16,16	102	99	7.86035940331e-05	0.0191880106767467	1.0,0.819	0.327,0.327	0.583
1944	AT1G60545		chr1	+	22303963	22304128	22303978	22304128	22302305	22303894	1944	7,11	2,1	3,0	9,6	114	99	6.75395453331e-06	0.0049461460365606	0.752,0.905	0.224,0.0	0.717
2228	AT2G32700		chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2228	157,255	158,217	89,89	212,244	105	99	5.59278837281e-05	0.0153591950688294	0.484,0.526	0.284,0.256	0.235
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
62	AT5G46740		chr5	-	18967802	18967923	18967822	18967923	18967606	18967717	62	16,17	0,2	4,3	10,6	119	99	9.74021052702e-08	5.6980231583067e-06	1.0,0.876	0.25,0.294	0.666
