ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	3,4,2,0,8,0	3,9,2,4,10,8	0,0,1,0,0,0	5,4,8,7,6,1	98	49	1	1.0	0.333,0.182,0.333,0.0,0.286,0.0	0.0,0.0,0.059,0.0,0.0,0.0	0.179
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	62,103,86,58,88,88	124,182,176,111,169,187	44,52,41,94,95,22	178,150,103,202,201,83	98	49	1	1.0	0.2,0.221,0.196,0.207,0.207,0.19	0.11,0.148,0.166,0.189,0.191,0.117	0.05
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	21,33,53,39,29,23	126,200,158,112,209,179	36,20,34,41,62,16	125,126,122,151,178,88	98	49	1	1.0	0.077,0.076,0.144,0.148,0.065,0.06	0.126,0.074,0.122,0.12,0.148,0.083	-0.017
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	10,6,12,14,7,8	14,23,11,17,13,9	20,10,17,11,2,2	17,9,12,24,18,4	98	49	1	1.0	0.263,0.115,0.353,0.292,0.212,0.308	0.37,0.357,0.415,0.186,0.053,0.2	-0.006
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	29,41,28,32,47,39	64,73,55,63,90,74	20,22,16,43,27,3	50,69,50,65,86,26	98	49	1	1.0	0.185,0.219,0.203,0.203,0.207,0.209	0.167,0.137,0.138,0.249,0.136,0.055	0.057
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	29,22,15,5,16,28	67,96,72,73,89,73	13,9,15,22,18,16	56,58,55,83,70,32	98	49	1	1.0	0.178,0.103,0.094,0.033,0.082,0.161	0.104,0.072,0.12,0.117,0.114,0.2	-0.013
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	22,33,45,32,46,57	12,5,8,11,7,6	25,20,37,40,45,16	4,7,4,8,8,2	98	49	1	1.0	0.478,0.767,0.738,0.593,0.767,0.826	0.758,0.588,0.822,0.714,0.738,0.8	-0.042
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	16,32,19,31,20,27	7,4,12,5,9,8	17,17,21,11,24,9	2,2,2,7,9,4	98	49	1	1.0	0.533,0.8,0.442,0.756,0.526,0.628	0.81,0.81,0.84,0.44,0.571,0.529	-0.052
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	371,555,474,340,527,394	110,127,133,103,139,121	304,259,247,339,406,106	91,101,72,105,136,56	98	49	1	1.0	0.628,0.686,0.641,0.623,0.655,0.619	0.626,0.562,0.632,0.617,0.599,0.486	0.055
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351	9	8,20,19,8,8,2	0,0,0,0,0,0	10,13,6,15,18,4	0,0,0,2,0,2	98	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.789,1.0,0.5	0.119
