ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67540"	NA	chr5	-	26945172	26945782	26945172	26945699	26946015	26946377	0	21,18,13,16,23,20	13,20,20,22,28,31	12,8,10,17,20,5	23,10,16,24,16,12	232	149	1	1.0	0.509,0.366,0.295,0.318,0.345,0.293	0.251,0.339,0.286,0.313,0.445,0.211	0.047
1	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785917	26785989	1	21,27,10,15,16,14	0,0,0,0,0,1	11,9,9,36,24,3	0,0,0,1,0,0	293	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.877	1.0,1.0,1.0,0.948,1.0,1.0	-0.012
2	"AT5G66850"	NA	chr5	-	26695567	26696171	26695567	26696142	26696300	26696380	2	4,4,8,4,4,9	58,74,59,78,90,88	3,3,2,5,9,1	65,52,41,105,98,28	178	149	1	1.0	0.055,0.043,0.102,0.041,0.036,0.079	0.037,0.046,0.039,0.038,0.071,0.029	0.016
3	"AT5G66720"	NA	chr5	-	26639669	26639979	26639669	26639970	26640048	26640545	3	189,265,231,216,304,212	13,28,26,23,28,18	275,160,199,239,291,78	24,15,10,15,14,4	158	149	1	1.0	0.932,0.899,0.893,0.899,0.911,0.917	0.915,0.91,0.949,0.938,0.951,0.948	-0.027
4	"AT5G66240"	NA	chr5	+	26467906	26467956	26467912	26467956	26467723	26467808	4	223,378,288,254,379,307	8,12,9,13,22,15	257,166,185,260,333,126	11,9,6,14,16,5	155	149	1	1.0	0.964,0.968,0.969,0.949,0.943,0.952	0.957,0.947,0.967,0.947,0.952,0.96	0.002
5	"AT5G66190"	NA	chr5	-	26452349	26452483	26452349	26452478	26452571	26452800	5	1496,2323,1806,1601,2061,2090	1,0,0,0,0,0	1892,1326,1720,2444,2603,956	0,0,0,1,0,0	154	149	1	1.0	0.999,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
7	"AT5G65930"	NA	chr5	-	26375107	26375207	26375107	26375204	26375292	26375859	7	35,59,38,57,58,51	0,0,0,0,1,0	41,32,19,75,45,15	1,0,0,0,0,0	152	149	1	1.0	1.0,1.0,1.0,1.0,0.983,1.0	0.976,1.0,1.0,1.0,1.0,1.0	0.001
8	"AT5G65640"	NA	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422	8	83,118,92,57,84,98	0,2,0,0,0,0	59,46,56,124,79,36	0,0,1,1,0,0	159	149	1	1.0	1.0,0.982,1.0,1.0,1.0,1.0	1.0,1.0,0.981,0.991,1.0,1.0	0.002
10	"AT5G65210"	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	43,68,33,25,58,50	11,23,13,18,16,13	53,27,42,50,55,26	2,3,5,3,3,1	574	149	2.98642430008e-06	0.0017873749435978802	0.504,0.434,0.397,0.265,0.485,0.5	0.873,0.7,0.686,0.812,0.826,0.871	-0.364
11	"AT5G65210"	NA	chr5	+	26059313	26059394	26059317	26059394	26059019	26059201	11	500,722,463,363,613,641	0,0,0,0,0,0	361,236,332,367,509,157	0,1,2,1,2,0	153	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.996,0.994,0.997,0.996,1.0	0.003
12	"AT5G65060"	NA	chr5	+	25990083	25990183	25990116	25990183	25989941	25990003	12	12,24,30,17,25,26	8,5,3,5,4,6	9,9,7,6,21,2	2,4,0,3,9,0	182	149	1	1.0	0.551,0.797,0.891,0.736,0.837,0.78	0.787,0.648,1.0,0.621,0.656,1.0	-0.02
13	"AT5G63950"	NA	chr5	-	25596101	25596230	25596101	25596179	25596486	25596541	13	30,25,41,25,40,37	0,2,0,0,0,1	14,20,23,29,30,11	0,0,0,0,0,0	200	149	1	1.0	1.0,0.903,1.0,1.0,1.0,0.965	1.0,1.0,1.0,1.0,1.0,1.0	-0.022
14	"AT5G63870"	NA	chr5	-	25562512	25562924	25562512	25562913	25563158	25563316	14	10,19,21,3,14,11	88,115,105,109,126,113	7,4,6,18,11,7	105,73,99,110,147,43	160	149	1	1.0	0.096,0.133,0.157,0.025,0.094,0.083	0.058,0.049,0.053,0.132,0.065,0.132	0.016
15	"AT5G63680"	NA	chr5	+	25490313	25490764	25490474	25490764	25490064	25490165	15	2,1,6,5,7,0	75,112,115,94,134,163	2,2,4,9,7,2	91,55,67,111,84,44	310	149	1	1.0	0.013,0.004,0.024,0.025,0.024,0.0	0.01,0.017,0.028,0.038,0.039,0.021	-0.01
16	"AT5G63670"	NA	chr5	+	25488992	25489054	25488997	25489054	25488635	25488691	16	162,250,231,191,233,230	1,0,0,2,2,0	188,166,207,255,292,86	0,1,1,1,1,2	154	149	1	1.0	0.994,1.0,1.0,0.989,0.991,1.0	1.0,0.994,0.995,0.996,0.996,0.977	0.003
18	"AT5G63620"	NA	chr5	-	25466127	25466571	25466127	25466564	25466693	25467087	18	296,485,376,321,516,390	3,4,2,1,10,4	439,288,339,391,529,174	2,3,4,7,1,2	156	149	1	1.0	0.99,0.991,0.994,0.997,0.98,0.989	0.995,0.989,0.988,0.982,0.998,0.988	0.0
19	"AT5G63550"	NA	chr5	+	25446543	25446612	25446546	25446612	25446392	25446473	19	2,14,12,2,12,3	23,35,47,28,51,37	5,2,1,8,7,1	21,24,23,46,39,7	152	149	1	1.0	0.079,0.282,0.2,0.065,0.187,0.074	0.189,0.076,0.041,0.146,0.15,0.123	0.027
20	"AT5G63440"	NA	chr5	+	25407020	25407135	25407028	25407135	25406301	25406474	20	45,23,60,42,42,52	5,11,4,9,8,13	34,18,18,50,35,12	3,3,2,8,9,6	157	149	1	1.0	0.895,0.665,0.934,0.816,0.833,0.792	0.915,0.851,0.895,0.856,0.787,0.655	-0.004
22	"AT5G62640"	NA	chr5	-	25150537	25150911	25150537	25150893	25151011	25151093	22	84,137,144,132,160,142	4,1,6,3,2,6	149,80,115,137,133,54	7,1,4,0,3,3	167	149	1	1.0	0.949,0.992,0.955,0.975,0.986,0.955	0.95,0.986,0.962,1.0,0.975,0.941	-0.0
23	"AT5G62290"	NA	chr5	+	25020537	25020603	25020540	25020603	25020385	25020445	23	84,88,108,83,121,106	0,0,0,0,0,0	96,77,76,114,102,35	0,0,1,0,0,0	152	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.987,1.0,1.0,1.0	0.002
24	"AT5G62165"	NA	chr5	+	24965037	24965256	24965049	24965256	24964645	24964959	24	1,1,2,0,5,2	3,3,4,0,2,1	0,0,0,0,1,0	2,0,0,0,2,0	161	149	1	1.0	0.236,0.236,0.316,NA,0.698,0.649	0.0,NA,NA,NA,0.316,NA	0.269
25	"AT5G62165"	NA	chr5	+	24967694	24967882	24967840	24967882	24967327	24967427	25	5,13,4,3,16,5	0,4,0,0,0,0	1,4,0,1,1,1	0,0,0,0,0,0	295	149	1	1.0	1.0,0.621,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,1.0	-0.063
26	"AT5G61410"	NA	chr5	-	24683605	24683858	24683605	24683852	24684044	24684134	26	1425,2168,1672,1655,2478,2002	205,316,228,245,365,302	2022,1608,1830,2618,2882,914	459,350,403,585,559,237	155	149	1	1.0	0.87,0.868,0.876,0.867,0.867,0.864	0.809,0.815,0.814,0.811,0.832,0.788	0.057
27	"AT5G61310"	NA	chr5	-	24653323	24653761	24653323	24653752	24654769	24654940	27	2,13,8,5,3,3	11,8,10,7,11,15	0,7,4,3,5,0	5,3,1,2,7,0	158	149	1	1.0	0.146,0.605,0.43,0.402,0.205,0.159	0.0,0.688,0.79,0.586,0.402,NA	-0.169
28	"AT5G60590"	NA	chr5	+	24357944	24358248	24357956	24358248	24357702	24357878	28	7,10,15,7,15,10	37,49,35,26,34,43	4,7,3,8,4,1	55,23,30,40,35,19	161	149	0.847337916699	1.0	0.149,0.159,0.284,0.199,0.29,0.177	0.063,0.22,0.085,0.156,0.096,0.046	0.099
29	"AT5G60580"	NA	chr5	+	24356204	24356305	24356225	24356305	24356052	24356143	29	9,16,9,4,14,3	49,53,58,41,58,60	18,7,5,8,20,9	42,24,45,41,49,20	170	149	1	1.0	0.139,0.209,0.12,0.079,0.175,0.042	0.273,0.204,0.089,0.146,0.263,0.283	-0.082
30	"AT5G60570"	NA	chr5	+	24348169	24350164	24348367	24350164	24347782	24348026	30	27,33,21,17,50,21	10,11,16,6,11,18	15,26,27,28,28,16	26,18,10,29,42,8	347	149	0.266692548624	1.0	0.537,0.563,0.36,0.549,0.661,0.334	0.199,0.383,0.537,0.293,0.223,0.462	0.151
31	"AT5G60570"	NA	chr5	+	24348169	24350164	24348379	24350164	24347782	24348026	31	28,40,22,19,53,23	68,79,108,69,116,103	17,27,29,34,31,18	49,46,50,67,83,24	359	149	1	1.0	0.146,0.174,0.078,0.103,0.159,0.085	0.126,0.196,0.194,0.174,0.134,0.237	-0.053
32	"AT5G60570"	NA	chr5	+	24348367	24350164	24348379	24350164	24347782	24348026	32	11,18,17,8,14,20	68,79,108,69,116,103	28,19,12,35,45,10	49,46,50,67,83,24	161	149	0.0164112728426	0.741294097833668	0.13,0.174,0.127,0.097,0.1,0.152	0.346,0.277,0.182,0.326,0.334,0.278	-0.161
