gene	event	dpsi_Cai	p_val_Cai	dpsi_Parker	p_val_Parker
AT1G01020	A5:1:8464-8571:8464-8594:-	0.4831529104	0.005994006	0.3543740524	0.023976024
AT1G02260	RI:1:441398:442620-442718:442972:-	0.2849267148	0.0474525475	0.1741729092	0.0354645355
AT1G02500	A3:1:518378-519033:518378-519036:+	0.0270994602	0.043956044	0.0660980174	0.026973027
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4507000005	0.0	-0.4758888265	0.003996004
AT1G06890	A3:1:2111605-2111761:2111602-2111761:-	0.1808845272	0.032967033	0.1067534752	0.0484515485
AT1G06890	RI:1:2111323:2111602-2111761:2111859:-	0.1952106044	0.0404595405	0.089300093	0.0484515485
AT1G07700	A5:1:2379798-2380104:2379729-2380104:+	0.2406670585	0.0004995005	0.1862866655	0.0174825175
AT1G07820	RI:1:2421089:2421783-2421903:2422066:-	0.0737987303	0.0154845155	0.0975119676	0.03996004
AT1G08040	A5:1:2497998-2498480:2497998-2498484:-	-0.2919159315	0.005994006	-0.3320780281	0.0224775225
AT1G08570	A5:1:2713010-2713096:2712985-2713096:+	-0.1146871445	0.0204795205	-0.1494459851	0.0204795205
AT1G10590	A5:1:3503004-3503370:3503004-3503374:-	0.1526526001	0.005994006	0.1458739989	0.018981019
AT1G13460	A5:1:4616059-4616428:4615978-4616428:+	0.1872829852	0.0444555445	0.1932840674	0.031968032
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2564870458	0.010989011	-0.2527152791	0.011988012
AT1G13940	RI:1:4766396:4766470-4766594:4766852:-	0.1897475539	0.0334665335	0.1720746221	0.0474525475
AT1G14710	RI:1:5064148:5064811-5064972:5065303:-	-0.0978440828	0.0244755245	-0.1040464176	0.046953047
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1921149217	0.0034965035	-0.1944875549	0.0074925075
AT1G16780_and_AT1G16800	A5:1:5743829-5744112:5743829-5744139:-	0.3841958062	0.008991009	0.3532743055	0.023976024
AT1G17130	A3:1:5854461-5854865:5854461-5854886:+	-0.0645296077	0.048951049	-0.1452215956	0.0244755245
AT1G18660	RI:1:6420975:6421303-6421398:6421501:+	-0.2123105394	0.005994006	-0.290389128	0.004995005
AT1G18840	A5:1:6503950-6504071:6503950-6504081:-	-0.1860495672	0.012987013	-0.2109307646	0.0344655345
AT1G18950	A3:1:6550669-6550763:6550669-6550769:+	0.2173972157	0.025974026	0.2197582733	0.0364635365
AT1G18950	A5:1:6550681-6550763:6550669-6550763:+	-0.6217520006	0.0	-0.5265052104	0.002997003
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4502530475	0.0	-0.4188939893	0.0004995005
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.1848437046	0.0114885115	-0.2093016006	0.015984016
AT1G24160	A5:1:8555849-8556140:8555849-8556145:-	-0.0711349716	0.045954046	-0.0886164589	0.0474525475
AT1G24793_and_AT1G24800	A5:1:8768836-8768903:8768808-8768903:+	0.2549810674	0.0464535465	0.2155186167	0.034965035
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.0747633111	0.0144855145	0.1056323629	0.013986014
AT1G27770	RI:1:9673281:9675232-9675309:9675363:-	-0.1828780283	0.012987013	-0.1698542612	0.023976024
AT1G27900	RI:1:9716179:9716339-9716538:9716607:-	-0.2388069147	0.044955045	-0.3177932269	0.0224775225
AT1G29040_and_AT1G29041	A3:1:10134777-10135051:10134777-10135058:+	-0.3150104097	0.007992008	-0.4530091203	0.0014985015
AT1G29040_and_AT1G29041	A5:1:10134797-10135051:10134777-10135051:+	0.1822884359	0.007992008	0.2557794664	0.0112387612
AT1G29850	A3:1:10448745-10448846:10448745-10448849:+	-0.1371837377	0.008991009	-0.1296606766	0.044955045
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.0573009336	0.0444555445	-0.1248838738	0.0314685315
AT1G31420	A3:1:11252680-11252756:11252680-11252759:+	0.1534970119	0.004995005	0.1456616541	0.026973027
AT1G35515_and_AT1G35516	A5:1:13078929-13079305:13078915-13079305:+	-0.2243494542	0.002997003	-0.1681073611	0.010989011
AT1G53310	A5:1:19888088-19888229:19888088-19888305:-	-0.0742824375	0.0454545455	-0.1006344912	0.0444555445
AT1G54030	RI:1:20168777:20169029-20169100:20169684:+	-0.1463482667	0.00999001	-0.1324844379	0.0234765235
AT1G54310	A5:1:20274561-20274642:20274535-20274642:+	-0.2243770189	0.0134865135	-0.2145225416	0.0194805195
AT1G55340	A3:1:20652822-20652902:20652822-20652932:+	0.1103597241	0.0184815185	0.1192840844	0.038961039
AT1G59890	A5:1:22046241-22046502:22046226-22046502:+	0.2650869857	0.020979021	0.2944997718	0.0314685315
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2757009132	0.0	-0.280385126	0.000999001
AT1G68820	A5:1:25866882-25866962:25866864-25866962:+	-0.2839293888	0.030969031	-0.2317119085	0.014985015
AT1G68910	A5:1:25908380-25908565:25908380-25908569:-	-0.1319917917	0.044955045	-0.1633611719	0.043956044
AT1G70410	A5:1:26536517-26536604:26536517-26537404:-	0.0360968132	0.0424575425	0.0926846085	0.026973027
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.222148023	0.0004995005	-0.113405219	0.0464535465
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.086553894	0.017982018	-0.115815048	0.0374625375
