ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT5G65970"	NA	chr5	-	26388353	26388669	26388495	26388669	26388166	26388234	3	123,152,175,102,151,169	0,0,0,2,0,0	118,107,102,188,132,65	0,0,0,0,0,0	241	99	1	1.0	1.0,1.0,1.0,0.954,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
4	"AT5G65770"	NA	chr5	+	26312838	26313190	26312838	26313109	26313231	26313315	4	6,2,1,0,4,1	150,263,184,187,249,234	0,0,5,1,0,0	114,120,150,214,188,66	180	99	1	1.0	0.022,0.004,0.003,0.0,0.009,0.002	0.0,0.0,0.018,0.003,0.0,0.0	0.003
5	"AT5G65440"	NA	chr5	+	26151421	26151806	26151421	26151747	26151996	26152050	5	1,16,2,5,6,6	4,1,1,2,9,2	7,8,6,9,13,3	0,0,4,8,8,2	158	99	0.920961796369	1.0	0.135,0.909,0.556,0.61,0.295,0.653	1.0,1.0,0.485,0.413,0.505,0.485	-0.122
6	"AT5G64990"	NA	chr5	-	25964350	25964442	25964371	25964442	25964177	25964266	6	0,0,1,0,0,0	7,14,7,12,17,16	1,0,0,0,0,0	2,4,4,6,14,1	120	99	1	1.0	0.0,0.0,0.105,0.0,0.0,0.0	0.292,0.0,0.0,0.0,0.0,0.0	-0.031
7	"AT5G64630"	NA	chr5	+	25833650	25833772	25833650	25833762	25833856	25833883	7	1,2,0,3,0,0	12,21,21,21,17,17	1,0,0,0,0,0	10,11,10,46,15,0	109	99	1	1.0	0.07,0.08,0.0,0.115,0.0,0.0	0.083,0.0,0.0,0.0,0.0,NA	0.028
8	"AT5G63960"	NA	chr5	+	25601114	25601303	25601114	25601252	25601462	25601540	8	0,0,0,0,1,0	16,31,23,27,26,24	1,0,1,1,0,0	18,17,11,37,23,20	150	99	1	1.0	0.0,0.0,0.0,0.0,0.025,0.0	0.035,0.0,0.057,0.018,0.0,0.0	-0.014
9	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515745	25516081	9	83,165,128,85,188,81	7,19,13,13,17,10	126,95,119,164,170,63	16,11,14,20,18,7	134	99	1	1.0	0.898,0.865,0.879,0.828,0.891,0.857	0.853,0.865,0.863,0.858,0.875,0.869	0.006
10	"AT5G63760"	NA	chr5	-	25516184	25516918	25516219	25516918	25515877	25516074	10	76,152,118,75,177,76	0,1,0,0,0,0	115,89,109,155,145,61	0,0,1,0,0,0	134	99	1	1.0	1.0,0.991,1.0,1.0,1.0,1.0	1.0,1.0,0.988,1.0,1.0,1.0	0.001
11	"AT5G63680"	NA	chr5	+	25490064	25490375	25490064	25490165	25490474	25490764	11	7,11,13,6,13,6	221,385,339,302,372,424	14,18,20,57,35,8	274,152,187,327,277,117	309	99	1	1.0	0.01,0.009,0.012,0.006,0.011,0.005	0.016,0.037,0.033,0.053,0.039,0.021	-0.024
12	"AT5G63620"	NA	chr5	-	25466686	25466864	25466693	25466864	25466127	25466571	12	2,5,2,0,3,0	573,1036,746,621,1103,854	1,1,1,0,1,0	818,598,676,796,1071,357	106	99	1	1.0	0.003,0.004,0.002,0.0,0.003,0.0	0.001,0.002,0.001,0.0,0.001,0.0	0.001
