ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	3,7	20,30	1,0	10,7	225	149	1	1.0	0.09,0.134	0.062,0.0	0.081
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	151,134	349,313	57,139	285,415	252	149	1	1.0	0.204,0.202	0.106,0.165	0.068
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	58,42	481,484	37,97	316,520	251	149	1	1.0	0.067,0.049	0.065,0.1	-0.025
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	7,6	65,26	7,6	20,40	227	149	1	1.0	0.066,0.132	0.187,0.09	-0.04
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	53,42	209,166	24,36	114,221	273	149	1	1.0	0.122,0.121	0.103,0.082	0.029
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	27,14	228,179	7,31	104,145	246	149	1	1.0	0.067,0.045	0.039,0.115	-0.021
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	18,21	10,14	16,19	5,19	296	149	1	1.0	0.475,0.43	0.617,0.335	-0.023
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	37,21	2,8	21,36	1,8	241	149	1	1.0	0.92,0.619	0.928,0.736	-0.062
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	690,666	132,138	316,490	87,132	238	149	1	1.0	0.766,0.751	0.695,0.699	0.061
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351	9	18,12	0,0	14,16	0,2	242	149	1	1.0	1.0,1.0	1.0,0.831	0.085
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	240,253	647,754	86,174	458,717	228	149	1	1.0	0.195,0.18	0.109,0.137	0.065
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	274,358	5326,5982	240,361	4020,6533	212	149	1	1.0	0.035,0.04	0.04,0.037	-0.001
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	62,52	97,109	39,58	56,118	255	149	1	1.0	0.272,0.218	0.289,0.223	-0.011
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	154,120	525,513	78,137	338,612	225	149	1	1.0	0.163,0.134	0.133,0.129	0.018
14	"AT5G65690"	NA	chr5	+	26268827	26269249	26268827	26268997	26269080	26269249	14	7,9	72,42	5,10	39,64	232	149	1	1.0	0.059,0.121	0.076,0.091	0.007
15	"AT5G65460"	NA	chr5	-	26161623	26162539	26161623	26162283	26162380	26162539	15	31,26	64,78	10,41	31,78	246	149	1	1.0	0.227,0.168	0.163,0.241	-0.005
16	"AT5G65460"	NA	chr5	-	26162380	26162778	26162380	26162539	26162637	26162778	16	5,10	96,75	7,13	48,92	247	149	1	1.0	0.03,0.074	0.081,0.079	-0.028
17	"AT5G65440"	NA	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463	17	235,234	29,48	101,208	28,44	272	149	1	1.0	0.816,0.728	0.664,0.721	0.08
18	"AT5G65440"	NA	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169	18	1,0	97,107	0,1	55,87	251	149	1	1.0	0.006,0.0	0.0,0.007	-0.001
19	"AT5G65440"	NA	chr5	+	26156305	26156655	26156305	26156500	26156583	26156655	19	61,83	123,167	39,76	77,139	232	149	1	1.0	0.242,0.242	0.245,0.26	-0.011
20	"AT5G65180"	NA	chr5	+	26045326	26046134	26045326	26045700	26045886	26046134	20	2,7	85,95	4,27	56,109	298	149	1	1.0	0.012,0.036	0.034,0.11	-0.048
21	"AT5G65120"	NA	chr5	+	26014001	26014313	26014001	26014055	26014131	26014313	21	1,2	50,31	1,1	14,28	225	149	1	1.0	0.013,0.041	0.045,0.023	-0.007
22	"AT5G65060"	NA	chr5	+	25990613	25991412	25990613	25990655	25990963	25991412	22	28,26	323,233	7,25	150,275	298	149	1	1.0	0.042,0.053	0.023,0.043	0.014
23	"AT5G64700"	NA	chr5	-	25865418	25865824	25865418	25865570	25865665	25865824	23	7,8	25,16	3,0	6,5	244	149	0.946332122031	1.0	0.146,0.234	0.234,0.0	0.073
24	"AT5G64630"	NA	chr5	+	25835674	25836400	25835674	25835775	25835841	25836400	24	5,11	15,12	5,10	9,19	215	149	1	1.0	0.188,0.388	0.278,0.267	0.016
26	"AT5G64360"	NA	chr5	-	25736244	25736890	25736244	25736550	25736688	25736890	26	117,132	121,110	69,150	53,110	287	149	1	1.0	0.334,0.384	0.403,0.415	-0.05
27	"AT5G64330"	NA	chr5	+	25727802	25728563	25727802	25727872	25727954	25728563	27	6,1	576,581	13,13	372,623	231	149	1	1.0	0.007,0.001	0.022,0.013	-0.013
28	"AT5G64170"	NA	chr5	-	25672465	25673005	25672465	25672718	25672810	25673005	28	13,17	0,0	25,32	0,4	241	149	1	1.0	1.0,1.0	1.0,0.832	0.084
29	"AT5G64130"	NA	chr5	-	25664981	25665167	25664981	25665029	25665104	25665167	29	72,88	3993,4309	36,71	1973,4138	224	149	1	1.0	0.012,0.013	0.012,0.011	0.001
30	"AT5G64130"	NA	chr5	-	25665104	25665372	25665104	25665167	25665258	25665372	30	98,111	3175,3652	49,122	1581,3300	240	149	1	1.0	0.019,0.019	0.019,0.022	-0.001
31	"AT5G63870"	NA	chr5	-	25561704	25562434	25561704	25561851	25561939	25562434	31	9,21	268,335	4,19	174,247	237	149	1	1.0	0.021,0.038	0.014,0.046	-0.001
32	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516184	25516918	32	183,219	8,2	92,220	2,0	259	149	1	1.0	0.929,0.984	0.964,1.0	-0.025
